Game_ID,Session_ID,LineUp_ID,Player_ID,Game_Status_ID,Min,Lineup_Score,Oppo_Score,Plus_Minus,Oppo_FGA,Oppo_FGmade,Oppo_FGmiss,Oppo_Two_FGA,Oppo_Two_FGMade,Oppo_Two_Fgmiss,Oppo_Three_FGA,Oppo_Three_FGMade,Oppo_Three_Fgmiss,Oppo_DefReb,Oppo_OffReb,Oppo_TtlReb,Oppo_FTA,Oppo_Ftmiss,Oppo_FTMade,Oppo_Ast,Oppo_Stl,Pts,OffReb,DefReb,TtlReb,FGA,FGMade,FGmiss,Two_FGA,Two_FGMade,Two_FGmiss,Three_FGA,Three_FGMade,Three_Fgmiss,Ast,Stl,FTA,FTMade,FTmiss
1,1,1,318,1,6,11,1,10,8,0,8,6,0,6,2,0,2,1,1,2,4,3,1,0,2,4,1,3,4,4,2,2,4,2,2,0,0,0,1,0,0,0,0
1,1,2,318,1,3.433333333,7,6,1,7,2,5,5,1,4,2,1,1,3,2,5,2,1,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,318,1,1.4,3,0,3,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,318,1,1,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,318,1,2.166666667,2,2,0,3,1,2,3,1,2,0,0,0,1,1,2,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
1,1,7,318,1,3.766666667,6,6,0,4,2,2,3,2,1,1,0,1,3,0,3,2,0,2,1,0,4,0,1,1,3,2,1,3,2,1,0,0,0,0,0,0,0,0
1,2,1,318,1,6.116666667,12,8,4,10,4,6,10,4,6,0,0,0,3,3,6,3,3,0,2,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,318,1,1.183333333,3,1,2,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3,318,1,1.783333333,1,2,-1,3,0,3,1,0,1,2,0,2,2,3,5,4,2,2,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,2,1,1
1,2,4,318,1,0.7,0,2,-2,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,8,318,1,3.683333333,13,8,5,9,4,5,8,4,4,1,0,1,1,3,4,0,0,0,1,0,4,1,1,2,3,2,1,3,2,1,0,0,0,0,0,0,0,0
3,1,1,318,1,2.3,2,2,0,2,0,2,1,0,1,1,0,1,3,0,3,2,0,2,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
