,Game_ID,Session_ID,LineUp_ID,Game_Status_ID,Min,Lineup_Score,Oppo_Score,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_DefReb,Oppo_OffReb,Oppo_TtlReb,Oppo_FTA,Oppo_FTm,Oppo_FTM,Oppo_Ast,Oppo_Stl,Player_Name,Pts,OffReb,DefReb,TtlReb,FGA,FGM,FGm,Two_FGA,Two_FGM,Two_FGm,Three_FGA,Three_FGM,Three_FGm,Ast,Stl,FTA,FTM,FTm
456,7,2,7,1,1.283333333,2,4,1,1,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,7,2,7,1,1.283333333,2,4,1,1,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,7,2,7,1,1.283333333,2,4,1,1,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,7,2,7,1,1.283333333,2,4,1,1,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,Max Hisatake,2,1,0,1,1,0,1,1,0,1,0,0,0,0,0,2,2,0
460,7,2,8,1,0.5166666670000001,0,4,1,1,0,1,1,0,0,0,0,1,0,1,2,0,2,1,1,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,7,2,8,1,0.5166666670000001,0,4,1,1,0,1,1,0,0,0,0,1,0,1,2,0,2,1,1,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,7,2,8,1,0.5166666670000001,0,4,1,1,0,1,1,0,0,0,0,1,0,1,2,0,2,1,1,Anthony Mosley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,7,2,8,1,0.5166666670000001,0,4,1,1,0,1,1,0,0,0,0,1,0,1,2,0,2,1,1,Malik Howze,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
464,7,2,8,1,0.5166666670000001,0,4,1,1,0,1,1,0,0,0,0,1,0,1,2,0,2,1,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,7,2,9,1,0.833333333,0,2,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,7,2,9,1,0.833333333,0,2,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,7,2,9,1,0.833333333,0,2,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,Anthony Mosley,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
468,7,2,9,1,0.833333333,0,2,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,7,2,9,1,0.833333333,0,2,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,7,2,10,1,5.816666667000001,11,13,7,3,4,4,2,2,3,1,2,3,1,4,6,0,6,1,1,Jake Digiorgio,3,2,1,3,1,1,0,1,1,0,0,0,0,0,0,1,1,0
471,7,2,10,1,5.816666667000001,11,13,7,3,4,4,2,2,3,1,2,3,1,4,6,0,6,1,1,Jake Bruns,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0
472,7,2,10,1,5.816666667000001,11,13,7,3,4,4,2,2,3,1,2,3,1,4,6,0,6,1,1,Anthony Mosley,4,0,0,0,5,2,3,5,2,3,0,0,0,0,1,0,0,0
473,7,2,10,1,5.816666667000001,11,13,7,3,4,4,2,2,3,1,2,3,1,4,6,0,6,1,1,Malik Howze,4,0,1,1,3,1,2,2,1,1,1,0,1,0,0,2,2,0
474,7,2,10,1,5.816666667000001,11,13,7,3,4,4,2,2,3,1,2,3,1,4,6,0,6,1,1,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,7,3,1,1,2.8,10,4,3,1,2,3,1,2,0,0,0,0,0,0,2,0,2,0,0,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,7,3,1,1,2.8,10,4,3,1,2,3,1,2,0,0,0,0,0,0,2,0,2,0,0,Jake Digiorgio,3,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,1,1
477,7,3,1,1,2.8,10,4,3,1,2,3,1,2,0,0,0,0,0,0,2,0,2,0,0,Anthony Mosley,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,2,2,0
478,7,3,1,1,2.8,10,4,3,1,2,3,1,2,0,0,0,0,0,0,2,0,2,0,0,Malik Howze,3,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0
479,7,3,1,1,2.8,10,4,3,1,2,3,1,2,0,0,0,0,0,0,2,0,2,0,0,Parker Joncus,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,2,2,0
480,7,3,2,1,2.133333333,4,4,6,2,4,5,2,3,1,0,1,0,1,1,0,0,0,1,0,Capriest Gardner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,7,3,2,1,2.133333333,4,4,6,2,4,5,2,3,1,0,1,0,1,1,0,0,0,1,0,Jake Digiorgio,4,2,1,3,1,1,0,1,1,0,0,0,0,0,0,2,2,0
482,7,3,2,1,2.133333333,4,4,6,2,4,5,2,3,1,0,1,0,1,1,0,0,0,1,0,Anthony Mosley,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
483,7,3,2,1,2.133333333,4,4,6,2,4,5,2,3,1,0,1,0,1,1,0,0,0,1,0,Malik Howze,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0
484,7,3,2,1,2.133333333,4,4,6,2,4,5,2,3,1,0,1,0,1,1,0,0,0,1,0,Parker Joncus,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,9,1,1,1,9.6,12,13,12,5,7,7,4,3,5,1,4,6,1,7,2,0,2,3,2,Jake Digiorgio,2,0,3,3,2,1,1,2,1,1,0,0,0,1,2,0,0,0
486,9,1,1,1,9.6,12,13,12,5,7,7,4,3,5,1,4,6,1,7,2,0,2,3,2,Max Hisatake,0,0,2,2,3,0,3,3,0,3,0,0,0,1,0,2,0,2
487,9,1,1,1,9.6,12,13,12,5,7,7,4,3,5,1,4,6,1,7,2,0,2,3,2,Anthony Mosley,5,0,0,0,2,2,0,2,2,0,0,0,0,0,0,2,1,1
488,9,1,1,1,9.6,12,13,12,5,7,7,4,3,5,1,4,6,1,7,2,0,2,3,2,Malik Howze,3,0,0,0,3,1,2,0,0,0,3,1,2,1,0,0,0,0
489,9,1,1,1,9.6,12,13,12,5,7,7,4,3,5,1,4,6,1,7,2,0,2,3,2,Parker Joncus,2,0,1,1,2,1,1,1,1,0,1,0,1,0,0,0,0,0
490,9,1,2,1,3.016666667,5,5,3,2,1,2,1,1,1,1,0,3,0,3,0,0,0,1,0,Capriest Gardner,3,1,0,1,3,1,2,2,1,1,1,0,1,0,0,2,1,1
491,9,1,2,1,3.016666667,5,5,3,2,1,2,1,1,1,1,0,3,0,3,0,0,0,1,0,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,9,1,2,1,3.016666667,5,5,3,2,1,2,1,1,1,1,0,3,0,3,0,0,0,1,0,Max Hisatake,2,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0
493,9,1,2,1,3.016666667,5,5,3,2,1,2,1,1,1,1,0,3,0,3,0,0,0,1,0,Anthony Mosley,0,0,0,0,1,0,1,1,0,1,0,0,0,2,1,0,0,0
494,9,1,2,1,3.016666667,5,5,3,2,1,2,1,1,1,1,0,3,0,3,0,0,0,1,0,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,9,1,3,1,1.083333333,2,4,3,2,1,3,2,1,0,0,0,1,0,1,0,0,0,0,0,Jake Digiorgio,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
496,9,1,3,1,1.083333333,2,4,3,2,1,3,2,1,0,0,0,1,0,1,0,0,0,0,0,Calvin Schmitz,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
497,9,1,3,1,1.083333333,2,4,3,2,1,3,2,1,0,0,0,1,0,1,0,0,0,0,0,Capriest Gardner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,9,1,3,1,1.083333333,2,4,3,2,1,3,2,1,0,0,0,1,0,1,0,0,0,0,0,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,9,1,3,1,1.083333333,2,4,3,2,1,3,2,1,0,0,0,1,0,1,0,0,0,0,0,Anthony Mosley,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
500,9,1,4,1,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,9,1,4,1,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jake Digiorgio,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
502,9,1,4,1,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,9,1,4,1,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jake Bruns,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
504,9,1,4,1,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anthony Mosley,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
505,9,1,5,1,2.8,5,3,2,1,1,1,0,1,1,1,0,2,0,2,0,0,0,0,0,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
506,9,1,5,1,2.8,5,3,2,1,1,1,0,1,1,1,0,2,0,2,0,0,0,0,0,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,9,1,5,1,2.8,5,3,2,1,1,1,0,1,1,1,0,2,0,2,0,0,0,0,0,Jake Digiorgio,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
508,9,1,5,1,2.8,5,3,2,1,1,1,0,1,1,1,0,2,0,2,0,0,0,0,0,Calvin Schmitz,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
509,9,1,5,1,2.8,5,3,2,1,1,1,0,1,1,1,0,2,0,2,0,0,0,0,0,Jake Bruns,3,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,0,0
510,9,1,6,1,1.45,4,0,2,0,2,1,0,1,1,0,1,0,1,1,0,0,0,0,0,Jake Digiorgio,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
511,9,1,6,1,1.45,4,0,2,0,2,1,0,1,1,0,1,0,1,1,0,0,0,0,0,Capriest Gardner,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
512,9,1,6,1,1.45,4,0,2,0,2,1,0,1,1,0,1,0,1,1,0,0,0,0,0,Jake Bruns,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
513,9,1,6,1,1.45,4,0,2,0,2,1,0,1,1,0,1,0,1,1,0,0,0,0,0,Anthony Mosley,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
514,9,1,6,1,1.45,4,0,2,0,2,1,0,1,1,0,1,0,1,1,0,0,0,0,0,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,9,1,7,1,1.25,2,3,2,1,1,1,1,0,1,0,1,0,1,1,2,1,1,0,0,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,9,1,7,1,1.25,2,3,2,1,1,1,1,0,1,0,1,0,1,1,2,1,1,0,0,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,9,1,7,1,1.25,2,3,2,1,1,1,1,0,1,0,1,0,1,1,2,1,1,0,0,Jake Bruns,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
518,9,1,7,1,1.25,2,3,2,1,1,1,1,0,1,0,1,0,1,1,2,1,1,0,0,Anthony Mosley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,9,1,7,1,1.25,2,3,2,1,1,1,1,0,1,0,1,0,1,1,2,1,1,0,0,Malik Howze,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
520,9,2,1,1,6.583333333,15,10,6,4,2,3,2,1,3,2,1,4,0,4,0,0,0,3,0,Jake Digiorgio,2,2,0,2,3,1,2,3,1,2,0,0,0,0,1,0,0,0
521,9,2,1,1,6.583333333,15,10,6,4,2,3,2,1,3,2,1,4,0,4,0,0,0,3,0,Max Hisatake,5,2,2,4,5,2,3,5,2,3,0,0,0,0,0,1,1,0
522,9,2,1,1,6.583333333,15,10,6,4,2,3,2,1,3,2,1,4,0,4,0,0,0,3,0,Anthony Mosley,3,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1
523,9,2,1,1,6.583333333,15,10,6,4,2,3,2,1,3,2,1,4,0,4,0,0,0,3,0,Malik Howze,5,0,0,0,4,1,3,1,0,1,3,1,2,0,0,2,2,0
524,9,2,1,1,6.583333333,15,10,6,4,2,3,2,1,3,2,1,4,0,4,0,0,0,3,0,Parker Joncus,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0,0
525,9,2,2,1,2.2833333330000003,5,0,2,0,2,1,0,1,1,0,1,1,0,1,0,0,0,0,0,Capriest Gardner,2,1,0,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0
526,9,2,2,1,2.2833333330000003,5,0,2,0,2,1,0,1,1,0,1,1,0,1,0,0,0,0,0,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,9,2,2,1,2.2833333330000003,5,0,2,0,2,1,0,1,1,0,1,1,0,1,0,0,0,0,0,Max Hisatake,3,1,2,3,1,1,0,1,1,0,0,0,0,0,0,2,1,1
528,9,2,2,1,2.2833333330000003,5,0,2,0,2,1,0,1,1,0,1,1,0,1,0,0,0,0,0,Malik Howze,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0
529,9,2,2,1,2.2833333330000003,5,0,2,0,2,1,0,1,1,0,1,1,0,1,0,0,0,0,0,Parker Joncus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
