#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1318,UC Santa Cruz Banana Slugs,25,100%,85.4,76.9,0.901,34.3,28.2,62.6,45.1%,51.5%,15.6%,13.4%,9.1%,41.7%
1319,UCF Knights,32,100%,73.6,61.9,0.84,29.3,21.3,50.7,42.1%,47.4%,17.2%,16.4%,11%,40.2%
1320,UCLA Bruins,33,100%,83.1,80.9,0.974,33.2,28.1,61.2,45.8%,53.5%,14.3%,14%,9.1%,44.3%
1321,UMass Boston Beacons,25,100%,85.2,68.5,0.803,39,24.5,63.6,38.6%,44.4%,15.5%,11.7%,7.6%,37%
1322,UMass Dartmouth,13,100%,89.8,74.5,0.829,37.8,27.8,65.7,42.4%,47.5%,17.8%,11.2%,7.5%,38.6%
1323,UMBC Retrievers,36,100%,78.5,72.6,0.925,32.5,25.6,58.1,44.1%,52.7%,15.2%,12.4%,7.8%,41%
1324,UMKC Kangaroos,32,100%,79.9,69.9,0.874,34.7,23.5,58.3,40.4%,48%,15.5%,13.3%,9.4%,39.6%
1325,UNC Greensboro Spartans,35,100%,80.4,73.1,0.91,33.1,26.4,59.5,44.4%,52.3%,16.9%,10.5%,6.3%,40.5%
1326,UNC Pembroke Braves,33,100%,86.4,78.1,0.904,34.2,27.9,62.1,44.9%,50.3%,15.7%,14.2%,9.9%,43%
1327,Union (KY) Bulldogs,23,100%,89.7,79.3,0.884,36.8,28.6,65.4,43.8%,50.4%,16.2%,12.6%,8.3%,41%
1328,Union (NY) Dutchmen,27,100%,86,76.1,0.885,35.7,25.9,61.6,42%,47.4%,14.9%,15.3%,9.1%,41.9%
1329,Union (TN) Bulldogs,28,100%,79.3,73.5,0.928,31.2,26.2,57.4,45.6%,53.9%,17.8%,11.7%,8.9%,41.7%
1330,Union College (NE),1,100%,82,31,0.378,53,12,65,18.5%,23.8%,20.7%,0%,0%,14.6%
1331,Unity College,1,100%,84,56,0.667,36,21,57,36.8%,40.4%,22.6%,9.5%,9.5%,33.3%
1332,University of Dallas,24,100%,86.6,78.1,0.902,31.5,27.6,59.1,46.7%,51.2%,18.6%,16.3%,11.1%,43.5%
1333,University of Quebec at Montreal,23,100%,94.7,66,0.697,43.3,25,68.3,36.6%,41.3%,20.9%,7.9%,6%,32.4%
1334,University of the Sciences,29,100%,79.8,63.7,0.798,34,23.1,57.1,40.5%,43.8%,17.1%,12.9%,9%,38.7%
1335,University Virgin Islands,12,100%,84.5,62.9,0.745,35.7,21.8,57.4,37.9%,44.4%,19.8%,14.1%,9.9%,35.2%
1336,UNLV Rebels,33,100%,84.9,82,0.966,30.3,29.1,59.4,49%,53.7%,16.3%,17.1%,11.4%,46.1%
1337,Upper Iowa Peacocks,32,100%,81.1,80.3,0.99,31.6,28.8,60.4,47.7%,54.8%,15.1%,13.6%,9.6%,44.6%
1338,Urbana Blue Knights,26,100%,79.3,69.4,0.875,32.7,25.5,58.2,43.9%,50.8%,18.3%,10.1%,7%,39.3%
1339,Ursinus Bears,27,100%,83.5,76,0.91,32.4,27.5,59.9,45.9%,52.4%,17.1%,13.2%,9%,42.5%
1340,US Merchant Marine Academy,8,100%,82.3,74.8,0.909,33.4,27.9,61.3,45.5%,52.4%,16.4%,11.1%,8.4%,41.3%
1341,USC Trojans,36,100%,78.9,77,0.975,32.2,28.2,60.4,46.7%,53.4%,13.1%,12.4%,8.8%,44.6%
1342,USC Upstate Spartans,31,100%,80.5,75,0.931,36.3,27.5,63.7,43.1%,51.1%,13.6%,9.6%,8%,40.4%
1343,Utah State Aggies,34,100%,77,72.7,0.943,30.9,25.4,56.2,45.1%,53.4%,16.3%,13.1%,9.4%,42.4%
1344,Utah Utes,35,100%,74.9,72.9,0.973,29.7,25,54.7,45.8%,54.2%,15.3%,13.1%,8%,43.6%
1345,Utah Valley Wolverines,34,100%,79.8,77.4,0.97,29.6,27.2,56.8,47.9%,54.8%,17%,14.6%,10.1%,44.5%
1346,UTEP Miners,31,100%,76.1,66.9,0.878,32,24.1,56.1,42.9%,49.3%,15.9%,12.6%,8.9%,40.6%
1347,Utica,27,100%,81.6,71.3,0.873,32.3,25.7,58,44.4%,49.9%,17.8%,14%,9.4%,41%
1348,Valdosta State Blazers,31,100%,87.2,90.1,1.033,33.6,31.5,65.1,48.4%,57.2%,14%,13.7%,9.8%,46.1%
1349,Valley City State University Vikings,31,100%,75.2,70.6,0.939,29.8,25.5,55.3,46.2%,52.4%,16.3%,12.9%,7.6%,43%
1350,Valley Forge Christian College Patriots,6,100%,85.2,72.2,0.847,37.5,28.3,65.8,43%,48.7%,17.2%,8.6%,7.8%,37.8%
1351,Valparaiso Crusaders,31,100%,78.1,69.3,0.887,30.3,24.2,54.5,44.4%,50.4%,18.1%,14.6%,9.5%,41.4%
1352,Vancouver Island University Mariners,7,100%,98.3,76.9,0.782,41.3,27.3,68.6,39.8%,44.4%,19.9%,13.2%,9.3%,36.5%
1353,Vanderbilt Commodores,32,100%,75.9,71.7,0.944,31.6,24.1,55.7,43.3%,51.3%,14.6%,14.6%,10.6%,42.2%
1354,Vanguard Lions,26,100%,88.6,75.3,0.849,37.2,27.2,64.4,42.2%,47.7%,16.8%,12.9%,8.9%,39.8%
1355,Vassar Brewers,26,100%,80,69.8,0.872,31.4,25.3,56.7,44.7%,50.7%,18.1%,13.1%,9.7%,40.7%
1356,Vaughn College Warriors,1,100%,84,57,0.679,34,23,57,40.4%,41.2%,23.8%,9.5%,9.5%,35.7%
1357,Vermont Catamounts,35,100%,71.9,73.1,1.017,26.6,24.9,51.5,48.3%,55.5%,14.8%,16.3%,11.2%,46.7%
1358,Vermont Tech Knights,4,100%,89.8,73.5,0.819,33,26.5,59.5,44.5%,52.9%,24.5%,10.6%,7.2%,37%
1359,Victoria Vikes,24,100%,90,79.6,0.884,39.9,28.7,68.6,41.8%,48.4%,14.8%,11.6%,9.4%,39.8%
1360,Villa Maria Vikings,5,100%,99,88,0.889,35.8,29.6,65.4,45.3%,49.8%,18.2%,18%,11.9%,43.8%
1361,Villanova Wildcats,40,100%,78.4,86.3,1.1,30.4,30.4,60.8,50%,59.5%,12.5%,12.9%,8.9%,48%
1362,Virginia Cavaliers,34,100%,68.1,66.8,0.98,29.4,24.9,54.2,45.8%,52.5%,11.7%,10.9%,7.8%,44%
1363,Virginia Commonwealth Rams,33,100%,82.2,75.6,0.92,33.5,27.9,61.4,45.4%,52.1%,16%,11.6%,8.2%,41.8%
1364,Virginia Military Keydets,30,100%,78.8,63.9,0.811,34.8,22.4,57.2,39.1%,45.6%,18.1%,10.9%,8.5%,36.7%
1365,Virginia State Trojans,26,100%,79.2,67.3,0.849,32.1,24.7,56.8,43.5%,49.4%,18.2%,12.1%,8.2%,39.4%
1366,Virginia Tech Hokies,33,100%,76.5,78.4,1.024,28.2,27.7,55.8,49.6%,57.2%,15.2%,14.8%,11.5%,46.6%
1367,Virginia Union Panthers,30,100%,82.3,70.2,0.853,31.9,25.8,57.7,44.7%,48.8%,18.1%,13.9%,9.8%,41.4%
1368,Virginia Wesleyan Marlins,25,100%,84.3,73.9,0.877,35.8,26.3,62.1,42.3%,49.4%,15.6%,12.9%,9.1%,39.8%
1369,Virginia-(Wise) Cavs,29,100%,86.5,77,0.89,38,27.2,65.2,41.7%,48.3%,13.8%,12.8%,8.8%,41%
1370,Viterbo Hawks,27,100%,78.5,71.8,0.915,33.3,26,59.3,43.8%,50.8%,14.6%,11.4%,7.5%,41.4%
1371,Voorhees Tigers,13,100%,92,79,0.859,37.1,28.8,65.8,43.7%,49.8%,18.7%,12%,8.9%,40.1%
1372,Wabash College Little Giants,26,100%,80.1,70.9,0.885,34.7,23.7,58.5,40.6%,47.1%,15.1%,14.2%,8%,40.1%
1373,Wagner Seahawks,33,100%,83,73.5,0.886,34.4,25.3,59.7,42.4%,49.2%,16%,13.9%,8.5%,40.9%
1374,Wake Forest Demon Deacons,31,100%,80.3,73,0.909,33.5,25.8,59.3,43.5%,50%,15.7%,12.9%,9.4%,41.1%
1375,Waldorf University Warriors,28,100%,82.1,67.9,0.826,35.5,24.4,59.9,40.7%,45.9%,15.7%,12.8%,8.6%,39%
1376,Walla Walla Wolves,28,100%,83.9,69.3,0.826,35.5,24.6,60.2,40.9%,47.7%,19%,10.6%,7.5%,37.4%
1377,Walsh Cavaliers,27,100%,83.7,80.7,0.964,33.3,30.6,64,47.9%,53.7%,13.3%,12.9%,9.7%,45.1%
1378,Warner Pacific Knights,34,100%,85,83,0.977,32.9,31.6,64.5,49%,54.9%,14.4%,11.9%,8.4%,45.3%
1379,Warner Royals,33,100%,86,83,0.965,34.5,30.3,64.8,46.8%,52.5%,13.5%,13.1%,9.5%,45%
1380,Warren Wilson Owls,23,100%,104,100.8,0.969,44.2,34.9,79,44.1%,53.5%,14.4%,11.8%,8.4%,41.8%
1381,Wartburg Knights,26,100%,82.2,75.5,0.919,31.6,26.3,57.9,45.5%,52.2%,17.1%,14.5%,9.2%,42.4%
1382,Washburn Ichabods,31,100%,81.5,77.5,0.951,30,27.9,57.9,48.2%,53.9%,16.6%,15.4%,10%,44.9%
1383,Washington & Jefferson Presidents,25,100%,77.5,64,0.825,32.9,22.2,55.2,40.3%,46.6%,16.8%,14.1%,10.3%,38.6%
1384,Washington (MD)  Shoremen,26,100%,83.3,66.3,0.797,35.4,23.3,58.7,39.7%,45%,17.5%,13.9%,8.8%,37.6%
1385,Washington (St. Louis) Bears,26,100%,88.5,85.3,0.964,35.4,31.3,66.7,46.9%,53.1%,13.8%,13.3%,9.1%,44.6%
1386,Washington Adventist Shock,6,100%,82.3,60.5,0.735,36.8,22.2,59,37.6%,43.8%,19%,10.3%,7.7%,34.4%
1387,Washington and Lee Generals,27,100%,88.4,82.2,0.93,36.1,29.3,65.4,44.7%,51.8%,14.7%,14.1%,10.8%,42.4%
1388,Washington Huskies,34,100%,80.7,74.2,0.919,31.5,26.4,57.9,45.6%,51.5%,16.2%,14.5%,9.9%,43%
1389,Washington State Cougars,31,100%,77.5,72.7,0.939,32.4,25.8,58.2,44.3%,53.7%,16.7%,10.1%,6.6%,40.3%
1390,Waterloo Warriors,29,100%,93.6,79.5,0.849,41,28.6,69.6,41.1%,46.1%,16.1%,11.8%,9.2%,39.4%
1391,Wayland Baptist Pioneers,30,100%,84.3,77.3,0.918,30.9,26.7,57.6,46.4%,53.5%,18.2%,15.1%,8.7%,43%
1392,Wayne State (MI) Warriors,26,100%,75.9,69.6,0.917,31.2,25.9,57,45.4%,49.9%,14.3%,12.6%,9%,43.3%
1393,Wayne State (NE) Wildcats,30,100%,77.6,73.4,0.946,31.9,27.3,59.2,46.1%,51.7%,13.9%,12.5%,9.2%,43.6%
1394,Waynesburg,26,100%,86.1,70,0.813,37.3,26,63.3,41.1%,47.4%,18.2%,9.7%,7.3%,36.8%
1395,Webber International Warriors,30,100%,90.4,74.6,0.825,38.5,26.9,65.4,41.1%,46.9%,18%,11.2%,8.4%,38.2%
1396,Weber State Wildcats,31,100%,75.7,77.5,1.024,28.1,27,55.1,49%,57.1%,15.5%,13.9%,9.5%,45.7%
1397,Webster University,19,100%,82.5,71.5,0.866,35.1,27.9,63,44.3%,48.9%,15.6%,9.2%,6.3%,40.6%
1398,Welch College Flames,2,100%,77.5,53,0.684,27,20.5,47.5,43.2%,47.9%,30.3%,9.7%,3.9%,31.6%
1399,Wells,12,100%,86.4,68.2,0.789,38.8,24,62.8,38.2%,44.8%,17.6%,11.6%,7.3%,36%
1400,Wentworth Leopards,26,100%,80.6,65.8,0.816,32.5,23.6,56.1,42%,46.8%,18.7%,14.2%,9.9%,38.9%
1401,Wesley Wolverines,26,100%,83.2,72.7,0.875,33.7,25.4,59.1,43%,48.9%,17.3%,13.8%,9.7%,40.6%
1402,Wesleyan (CT),28,100%,85.6,74.6,0.871,34.9,26.9,61.7,43.5%,49.7%,17.4%,12.1%,8.4%,40.4%
1403,West Alabama Tigers,28,100%,83.4,78.5,0.941,32.6,26.8,59.4,45%,51.4%,15.1%,15.7%,9.5%,44.2%
1404,West Chester Golden Rams,29,100%,90,83.2,0.925,32.9,29,61.9,46.9%,52.6%,18.2%,15.9%,11.2%,43.6%
1405,West Coast Baptist Eagles,16,100%,84.9,62.1,0.732,42.5,21.9,64.4,34%,41.2%,16.1%,9.6%,6.6%,32%
1406,West Florida Argonauts,32,100%,83.9,77.9,0.929,32.2,27.9,60,46.4%,52%,15.7%,15.8%,10.7%,44.1%
1407,West Georgia Wolves,27,100%,92.3,84.4,0.914,39,29.5,68.5,43.1%,48.8%,13.7%,14.2%,10.4%,42.8%
1408,West Liberty Hilltoppers,30,100%,97.1,102.9,1.059,40.1,36.7,76.8,47.8%,56.1%,10.6%,12.5%,9.5%,47.2%
1409,West Texas A&M Buffaloes,36,100%,85.9,86.6,1.008,35,28.5,63.5,44.9%,53.9%,13.2%,15.5%,8.6%,44.5%
1410,West Virginia Mountaineers,37,100%,83.8,79,0.943,36.4,27.8,64.2,43.4%,50.1%,12.8%,12.5%,8.4%,42.7%
1411,West Virginia State Yellow Jackets,29,100%,90.2,83.9,0.93,37.1,30.7,67.8,45.3%,51.2%,14.6%,12.7%,8.8%,42.6%
1412,West Virginia Tech Golden Bears,32,100%,89.3,84.1,0.941,34.4,30.6,65,47%,53.9%,16.8%,12.3%,9%,43.2%
1413,West Virginia Wesleyan Bobcats,29,100%,77.4,65.9,0.851,30.9,24.5,55.3,44.2%,49.6%,18.8%,11.9%,8.8%,40.1%
1414,Westcliff University,13,100%,91.2,65.5,0.719,40.3,24.5,64.8,37.8%,41.7%,19.1%,12.5%,9.5%,34.2%
1415,Western Carolina Catamounts,32,100%,81.5,67.5,0.828,35,23.9,58.9,40.6%,46.7%,17.5%,12.4%,9%,37.9%
1416,Western Connecticut State,15,100%,87.1,74.3,0.853,38.8,27,65.8,41%,46.6%,15.5%,11.5%,8.4%,39.1%
1417,Western Illinois Leathernecks,28,100%,76.5,71.1,0.929,30.9,26.5,57.4,46.2%,52%,15.4%,11.4%,8.4%,43.3%
1418,Western Kentucky Hilltoppers,38,100%,79,77.3,0.979,29.9,28.1,58,48.4%,53%,14%,15.3%,11.1%,46.7%
1419,Western Michigan Broncos,32,100%,79.9,74.6,0.934,34.1,26.3,60.4,43.6%,49.6%,12.8%,13.5%,9.7%,43.4%
1420,Western New Eng.,26,100%,85.1,79.1,0.93,36.3,28.7,65,44.1%,51.2%,14.4%,11.4%,7.8%,41.9%
1421,Western New Mexico Mustangs,28,100%,88.9,68.9,0.775,38.4,24.1,62.5,38.6%,43.2%,17.1%,14.7%,9.5%,37.3%
1422,Western Ontario Mustangs,28,100%,93.4,77.1,0.826,42.9,28.5,71.4,39.9%,46.2%,15.8%,9.5%,8%,37.6%
1423,Western Oregon Wolves,33,100%,80.5,81.4,1.011,31.2,30.7,61.9,49.6%,57.1%,14.6%,10.8%,7.4%,45.2%
1424,Western State Mountaineers,31,100%,81.6,80.9,0.992,31.4,27.8,59.3,47%,54.9%,15.8%,14.4%,9.6%,44.5%
1425,Western Washington Vikings,29,100%,83.6,82.9,0.991,31,29.4,60.4,48.7%,54.6%,15.8%,15.1%,10.2%,45.7%
1426,Westfield State Owls,8,100%,93,63.9,0.687,44.4,22.4,66.8,33.5%,37.5%,16.5%,12.8%,8.9%,33.6%
1427,Westminster (MO) Blue Jays,18,100%,82.7,72.5,0.876,36.7,25.6,62.3,41.1%,47.6%,13.3%,12.8%,8.1%,40.2%
1428,Westminster (PA) Titans,27,100%,84.9,75.5,0.889,36.4,27.3,63.7,42.8%,50%,15.8%,11.3%,8.6%,39.8%
1429,Westminster (UT) College Griffins,26,100%,74.3,74.9,1.007,27.5,26.3,53.8,48.9%,54.8%,15.2%,15.1%,9.5%,46.6%
1430,Westmont Warriors,29,100%,84.7,79.4,0.938,32,27.3,59.3,46%,52.2%,16.4%,15.9%,10.1%,43.9%
1431,Wheaton (IL),26,100%,81.1,80.2,0.989,30.8,27.5,58.3,47.2%,55.3%,14.9%,15.2%,8.9%,45.4%
1432,Wheaton (MA) Lyons,26,100%,78.4,74.5,0.95,30.5,25.9,56.4,45.9%,52.2%,15%,15.4%,9.5%,44.4%
1433,Wheeling Jesuit,32,100%,82.4,78.5,0.953,32.1,26.9,59.1,45.6%,51.6%,13.7%,16.7%,11.6%,45.1%
1434,Wheelock,7,100%,89.3,65,0.728,38.3,23.3,61.6,37.8%,42.8%,21.8%,11%,6.6%,33.9%
1435,Whitman Blues,31,100%,102.2,96.2,0.941,40,35.6,75.6,47.1%,53.1%,14.3%,13.5%,8.7%,44.2%
1436,Whittier College Poets,23,100%,91.8,80.9,0.881,39.4,28.8,68.2,42.2%,49.4%,16%,12.3%,9.1%,39.3%
1437,Whitworth Pirates,29,100%,85.6,83.9,0.98,32.3,29.2,61.5,47.5%,55%,16%,14.7%,10.2%,44.8%
1438,Wichita State Shockers,33,100%,82.2,82.2,0.999,32.3,28.9,61.2,47.2%,54.6%,13.9%,14.2%,9.8%,45.2%
1439,Widener,27,100%,83.1,77,0.927,32.7,29.3,62,47.2%,53.5%,15.5%,11.5%,7.7%,42.9%
1440,Wilberforce Bulldogs,8,100%,84,75.3,0.896,35,27.9,62.9,44.3%,49.8%,15.2%,11.8%,9.7%,41.5%
1441,Wiley (TX) Wildcats,19,100%,91.7,84,0.916,33.7,29.8,63.5,46.9%,53.2%,17.8%,14.6%,9.1%,43.3%
1442,Wilfrid Laurier,31,100%,94.6,79.1,0.836,41.2,29.1,70.3,41.3%,47.6%,17.5%,10.1%,7.8%,38.1%
1443,Wilkes,27,100%,82.2,73,0.887,32.1,25.3,57.4,44%,50.3%,17.8%,14.7%,9.9%,41.4%
1444,Willamette Bearcats,25,100%,83.8,69.3,0.826,32.9,25,57.9,43.1%,49%,20.8%,11.9%,7.3%,38.5%
1445,William & Mary Tribe,31,100%,78,84.5,1.083,28.2,29.2,57.4,50.9%,60.4%,15.4%,12.9%,8.8%,47.8%
1446,William Carey,29,100%,85.9,78.3,0.912,31.7,27.5,59.2,46.5%,52%,17.7%,16.2%,10.2%,43.7%
1447,William Jessup,32,100%,89.7,83.3,0.929,36.9,30.6,67.4,45.3%,51.7%,14.6%,12.4%,8.8%,42.4%
1448,William Jewell Cardinals,30,100%,83.8,84,1.003,34.2,28.7,62.9,45.6%,54.1%,13.8%,13.6%,9.4%,44.3%
1449,William Paterson Pioneers,29,100%,85,74,0.871,36.7,26.6,63.2,42%,48.4%,15%,12.5%,7.5%,39.9%
1450,William Peace,27,100%,89.7,73.1,0.815,40.6,25.8,66.4,38.9%,47.1%,18.2%,9.5%,6.7%,35.5%
1451,William Penn University Statesmen,34,100%,98.8,98.1,0.994,37.9,35.9,73.7,48.6%,55.1%,13.4%,14.9%,10.5%,46.1%
1452,William Woods University Owls,31,100%,81.6,69.7,0.855,31.8,24.3,56.1,43.2%,47.9%,18.4%,15.2%,10.2%,41%
1453,Williams Baptist Eagles,30,100%,84.8,76.1,0.898,36.4,27.6,64,43.1%,49.6%,13.8%,13.3%,9.8%,41.4%
1454,Williams College Ephs,29,100%,76.7,74.7,0.974,30.7,25.8,56.4,45.7%,54.2%,14.5%,14.6%,9.1%,43.7%
1455,Wilmington (DE) Wildcats,29,100%,83.8,73.5,0.877,37,27.4,64.4,42.5%,48.8%,14.7%,10.5%,8.5%,39.5%
1456,Wilmington (OH) Quakers,25,100%,86.5,79.6,0.921,36,26.3,62.3,42.2%,49.7%,15.8%,14.2%,8.6%,41.5%
1457,Wilson,17,100%,86.5,75.6,0.874,35.7,25.6,61.3,41.7%,50%,17.1%,14.2%,9.3%,39.2%
1458,Windsor Lancers,28,100%,92.8,82.1,0.885,43.6,29,72.6,40%,47.7%,13%,10.8%,7.9%,39.4%
1459,Wingate University Bulldogs,30,100%,81.6,71,0.87,35.5,25.1,60.6,41.4%,48.3%,15.4%,12.3%,7.9%,39.2%
1460,Winnipeg Wesmen,23,100%,95.9,77.5,0.808,43.6,28.8,72.4,39.8%,45.6%,16.4%,10%,8%,37.2%
1461,Winona State Warriors,29,100%,76.7,78.1,1.018,32.1,28.5,60.6,47%,55.1%,11.9%,11.1%,8.3%,45.2%
1462,Winston-Salem Rams,24,100%,85,71.7,0.843,32.5,24.4,56.9,42.9%,48.1%,19.4%,16.7%,13.1%,40.1%
1463,Winthrop Eagles,29,100%,80.4,77.2,0.96,30.5,27,57.5,46.9%,54.8%,17.2%,13.7%,9.5%,43.2%
1464,Wisconsin Badgers,33,100%,72.1,66.5,0.923,29.8,23.9,53.8,44.5%,50.6%,14.2%,13.5%,8.4%,42.7%
1465,Wisconsin Lutheran Warriors,25,100%,88.6,77,0.869,36,27,63,42.9%,47.9%,17.1%,13.6%,8.7%,41%
1466,Wisconsin-(Eau Claire) Blugold,25,100%,70.8,65.4,0.924,30.6,25.6,56.2,45.5%,51.4%,14%,8.4%,6.8%,42%
1467,Wisconsin-(Green Bay) Phoenix,33,100%,83.9,75.4,0.899,35.5,25.9,61.4,42.2%,49.4%,16.1%,13%,9%,40.5%
1468,Wisconsin-(La Crosse) Eagles,26,100%,78.5,68.1,0.867,33.2,26,59.2,43.9%,49.6%,16.6%,9.8%,7.2%,39.7%
1469,Wisconsin-(Milwaukee) Panthers,33,100%,76.4,68.2,0.893,31.7,25.2,56.9,44.4%,50.6%,15.7%,11.6%,7.7%,41%
1470,Wisconsin-(Oshkosh) Titans,33,100%,78.3,74.8,0.955,31.1,25.8,56.8,45.3%,53.3%,15.2%,13.7%,8.1%,43.4%
1471,Wisconsin-(Parkside) Rangers,30,100%,70.3,65,0.924,29.5,23.4,52.9,44.3%,51.9%,15.5%,11.8%,8.3%,41%
1472,Wisconsin-(Platteville) Pioneers,29,100%,76.3,76.3,1,28.3,27.1,55.4,49%,56.2%,16.1%,13.5%,8.2%,45.5%
1473,Wisconsin-(River Falls) Falcons,27,100%,78.1,71.3,0.913,31.1,24.3,55.4,43.9%,50.5%,16.6%,14.7%,9.8%,41.9%
1474,Wisconsin-(Stevens Point) Pointers,30,100%,70.5,68,0.965,28,23.7,51.7,45.9%,54.2%,15.6%,12.8%,7.9%,43.1%
1475,Wisconsin-(Stout) Blue Devils,25,100%,74.2,69.3,0.934,31.4,24.3,55.7,43.6%,50%,13.8%,13.9%,10.3%,42.4%
1476,Wisconsin-(Superior) Yellowjackets,27,100%,70.1,67.4,0.961,28.7,24.7,53.5,46.3%,53%,14.7%,11.4%,9.3%,43.6%
1477,Wisconsin-(Whitewater) Warhawks,25,100%,74.8,70.7,0.945,29.8,23.8,53.6,44.5%,52.6%,15.4%,14.8%,9.3%,43.2%
1478,Wittenberg,30,100%,80.6,80.5,0.999,30.5,30.1,60.6,49.6%,55.1%,14.3%,13.1%,9.1%,46.3%
1479,Wofford Terriers,34,100%,75.4,75.4,1,29.9,26.5,56.4,46.9%,56.2%,15.8%,11.2%,7.6%,43.5%
1480,Wooster Fighting Scots,28,100%,82.4,75.1,0.912,35.3,27.9,63.2,44.1%,49.4%,13.2%,11.8%,7.7%,42.8%
1481,Worcester Polytechnic Engineers,28,100%,81.8,76.9,0.94,32.6,29.4,62,47.5%,54.1%,15.5%,10.4%,7.3%,43.1%
1482,Worcester State Lancers,9,100%,88.8,70.7,0.796,38.6,25.6,64.1,39.9%,45.5%,19%,10.6%,7.4%,36.4%
1483,Wright State Raiders,35,100%,80.2,70.8,0.882,33.2,24.9,58.1,42.8%,48.6%,15.9%,13.9%,8.4%,41.2%
1484,Wright State-Lake,10,100%,94.2,60.8,0.645,46.5,22.7,69.2,32.8%,37.7%,19.4%,7.6%,5.2%,29.2%
1485,Wyoming Cowboys,33,100%,82.8,78.5,0.947,32.9,26.2,59.1,44.3%,52.1%,15.5%,15.3%,10%,43.4%
1486,Xavier (LA) Gold Rush,32,100%,80.7,70.3,0.872,29.7,25.1,54.8,45.8%,51.5%,19.2%,15.7%,11%,41.3%
1487,Xavier Musketeers,35,100%,81.5,82.8,1.016,29.7,28.5,58.3,48.9%,55.6%,15.2%,15.7%,9.6%,47%
1488,Yale Bulldogs,31,100%,78.5,73.9,0.942,31.1,26.6,57.7,46.1%,53.1%,16.2%,12.5%,8.5%,42.7%
1489,Yellowstone Christian College,17,100%,86,55.5,0.646,42.8,19.6,62.4,31.4%,37.2%,20.9%,8.3%,6.8%,28.7%
1490,Yeshiva Maccabees,11,100%,83.6,73.9,0.884,34.5,25.8,60.3,42.8%,50.9%,18.5%,11.8%,8.4%,38.7%
1491,York (NE) Panthers,29,100%,95,82.2,0.866,40.9,30.4,71.3,42.6%,48.6%,15%,11.8%,8%,39.9%
1492,York (NY) Cardinals,18,100%,89.8,72.6,0.808,37.2,26.5,63.7,41.6%,47%,18.9%,12.5%,8.6%,38%
1493,York (ONT) Lions,29,100%,93.6,69,0.737,43.1,24.4,67.5,36.1%,41.4%,18.3%,11.1%,9.2%,34.5%
1494,York (PA) Spartans,30,100%,86.5,81.6,0.943,31.8,27.4,59.2,46.3%,54%,18%,15.7%,9.3%,43.8%
1495,Young Harris Mountain Lions,28,100%,87.5,76.1,0.87,35.3,27.3,62.5,43.6%,48.3%,16.7%,14.2%,11.7%,41.6%
1496,Youngstown State Penguins,32,100%,89.1,74.9,0.841,38.4,28.1,66.4,42.2%,47.8%,16%,11.4%,8.2%,39.1%
