#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
1212,St. Mary's (MD) Seahawks,26,100%,82,67.4,0.821,30.8,25.1,55.9,44.9%,49.8%,20.8%,13.4%,9.8%,39.2%
1213,St. Mary's (TX) Rattlers,27,100%,78.4,64.4,0.822,33.4,22.9,56.3,40.7%,45.7%,17.5%,12.5%,8.5%,38.4%
1214,St. Norbert Green Knights,16,100%,73.7,67.8,0.919,30.9,24.3,55.1,44%,50.8%,14.8%,11.6%,6.3%,42.2%
1215,St. Olaf Oles,28,100%,74.6,70.9,0.951,29.8,25.6,55.4,46.2%,53.7%,16.6%,11.5%,7.4%,42.5%
1216,St. Scholastica Saints,26,100%,81.3,79,0.972,34.2,28.1,62.3,45.1%,52.7%,13.7%,12.7%,9.1%,42.8%
1217,St. Thomas (FL) Bobcats,32,100%,87.1,82.2,0.943,31.6,30,61.7,48.7%,55.4%,17.6%,14%,9%,44.1%
1218,St. Thomas (MN) Tommies,26,100%,79.1,73.9,0.934,33.1,27.5,60.7,45.4%,53%,14.5%,11.6%,9.2%,41.5%
1219,St. Thomas (TX) Celts,22,100%,87.3,73.6,0.843,35.8,26.3,62.1,42.4%,49%,19.2%,11.4%,7.7%,38.2%
1220,St. Thomas Aquinas Spartans,33,100%,87.8,79.1,0.901,33.4,27.7,61.1,45.4%,51%,18.7%,13.9%,9%,41.9%
1221,Stanford Cardinal,35,100%,83.1,75.3,0.906,31.4,26.4,57.8,45.7%,51.4%,17.5%,15.4%,11.2%,43.1%
1222,Staten Island Dolphins,28,100%,89.2,77,0.863,36.4,28.4,64.8,43.9%,49.5%,17.5%,11.5%,7.4%,40.3%
1223,Stephen F. Austin Lumberjacks,35,100%,84.5,79.5,0.941,30.8,28.3,59.1,47.9%,53.8%,17.4%,15.1%,10.5%,44.2%
1224,Sterling College (KS) Warriors,29,100%,84.4,76.4,0.905,34,27,61,44.3%,51.9%,17.6%,12.2%,8.9%,40.6%
1225,Stetson Hatters,32,100%,81.3,73.6,0.904,35.8,27.8,63.5,43.7%,49.7%,13%,10.8%,7.9%,41.4%
1226,Stevens (NJ) Ducks,26,100%,89.4,79.8,0.893,37.3,28.2,65.5,43%,49.4%,15.8%,13%,8.2%,41.1%
1227,Stevenson Mustangs,25,100%,85.8,76.2,0.888,35.7,26.6,62.3,42.6%,49.8%,16.9%,12.8%,8.5%,40%
1228,Stillman Tigers,15,100%,88.1,83.6,0.949,33.9,32.1,66,48.6%,55.2%,17%,10%,7.8%,43.4%
1229,Stockton University,25,100%,84.7,73.9,0.873,36.7,24.9,61.6,40.4%,47.6%,15.5%,13.9%,9.1%,39.4%
1230,Stonehill College Skyhawks,29,100%,78.7,78.1,0.993,32.7,28,60.7,46.1%,55.6%,14.5%,9.9%,6.8%,42.7%
1231,Stony Brook Seawolves,32,100%,81.6,68.8,0.844,34.5,24.3,58.8,41.4%,48%,16.9%,12.6%,8.6%,38.9%
1232,Stratford Cardinals,1,100%,109,74,0.679,58,27,85,31.8%,33.5%,9.2%,13.8%,11%,34.9%
1233,Suffolk Rams,17,100%,75.7,67.2,0.887,31.9,23.4,55.4,42.3%,50.6%,16.6%,11.8%,7.3%,39.3%
1234,Sul Ross State Lobos,29,100%,86.1,79.8,0.926,33.5,28.6,62.1,46.1%,52.3%,16.9%,13.2%,8.6%,42.8%
1235,SUNY Canton Kangaroos,22,100%,88.9,66.2,0.745,38.8,23.5,62.3,37.7%,42.2%,19.1%,13.1%,9.1%,35.4%
1236,SUNY Cobleskill Fighting Tigers,11,100%,85.4,65.4,0.766,40.9,23.4,64.3,36.4%,42.2%,16%,10.4%,8.2%,34.6%
1237,SUNY Cortland Dragons,24,100%,77.5,75.8,0.978,33.9,27.1,61,44.4%,53.6%,12.9%,10.5%,7.6%,41.7%
1238,SUNY Delhi Broncos,12,100%,90.6,74.3,0.82,43.1,25.8,68.9,37.5%,44.1%,12.9%,12.6%,7.7%,37.4%
1239,SUNY Geneseo Knights,26,100%,78.8,75,0.951,30.4,26.5,56.9,46.6%,53.5%,16.4%,12.7%,7.8%,43.7%
1240,SUNY Maritime Privateers,8,100%,88.3,64,0.725,37.8,22.4,60.1,37.2%,42.4%,21.1%,11.9%,7.6%,34%
