#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
973,Holy Names Hawks,33,100%,78.4,72.9,0.93,30.7,26.3,57,46.1%,52.1%,16.1%,13.1%,8.8%,43.4%
974,Holy Family University Tigers,27,100%,84.3,75.1,0.891,34.3,27.5,61.8,44.5%,51.1%,17%,11.4%,8.3%,40.8%
975,Holy Cross Crusaders,31,100%,74,67.4,0.911,30.3,23,53.3,43.1%,51%,17%,13.4%,8.8%,40.8%
976,Holy Cross (IN) Saints,29,100%,75.6,64.6,0.855,32.2,24.3,56.6,43%,49.2%,17.3%,10.1%,7.3%,38.5%
977,Holland College Hurricanes,1,100%,98,79,0.806,40,32,72,44.4%,47.2%,20.4%,13.3%,12.2%,38.8%
978,Hofstra Pride,31,100%,78.9,76.7,0.973,31,28.1,59.1,47.6%,53.9%,14.5%,13%,8.4%,44.9%
979,Hobart College Statesmen,26,100%,84.4,69.1,0.819,36.6,24.5,61.1,40.1%,45.8%,17.5%,11.9%,8.1%,37.8%
980,Hiwassee College Tigers,10,100%,84.7,82.5,0.974,33.5,29,62.5,46.4%,53.8%,13.3%,15.7%,11.9%,44.9%
981,Hiram Terriers,26,100%,76.4,70.5,0.923,31.8,24.2,56,43.2%,50.1%,14.7%,14.2%,9.3%,42.1%
982,Hillsdale Chargers,31,100%,77.2,64.8,0.84,33.8,23.8,57.6,41.3%,47.4%,16.8%,10.2%,7.1%,38.3%
983,Hilbert Hawks,26,100%,86,72.8,0.847,37,27.7,64.7,42.8%,47.4%,16%,10.7%,8.6%,39.8%
984,High Point Panthers,30,100%,76.4,66,0.864,30.6,22.4,53,42.2%,48.8%,18.7%,13.9%,8.8%,39.6%
985,Hendrix College,30,100%,90.5,86.1,0.951,35,31.1,66.1,47%,53.6%,16.1%,13.9%,9.7%,43.7%
986,Henderson State Reddies,29,100%,83,79.9,0.962,32.1,28.7,60.7,47.2%,55.3%,16.9%,12%,7.8%,43.1%
987,Heidelberg,25,100%,87,81,0.93,35.7,27.2,63,43.3%,51%,14.8%,14.3%,9.1%,42.7%
988,Hawaii Warriors,30,100%,76.5,68.1,0.891,30.4,23.7,54.1,43.8%,49.8%,17.4%,14.6%,9.3%,41%
989,Hawaii Pacific,27,100%,79.1,70,0.884,33.9,25.8,59.7,43.2%,50%,15.6%,10.6%,7.3%,39.8%
990,Hawaii Hilo Vulcans,27,100%,82.9,83,1.002,32.3,29.3,61.7,47.6%,54%,12.7%,15.1%,11.1%,46.7%
991,Haverford Fords,24,100%,82.9,76.3,0.921,31.5,26.5,58,45.8%,52.9%,17.3%,15.2%,10.2%,42.5%
992,Hastings College Broncos,30,100%,83.4,78,0.935,35.2,28.2,63.4,44.4%,51.4%,14.1%,12.1%,8.3%,42.3%
993,Haskell Indians,22,100%,85.2,87,1.02,32.7,31.2,63.9,48.9%,57.6%,14.5%,12.9%,8.2%,46.1%
994,Harvard Crimson,31,100%,75.2,65.9,0.876,31.7,22.6,54.3,41.6%,48.4%,16.3%,13.7%,9.2%,40%
995,Hartwick,25,100%,87.7,81.4,0.927,36.4,29.9,66.3,45.1%,51.7%,14.5%,11.9%,7.6%,42.3%
996,Hartford Hawks,33,100%,77.3,69.7,0.901,31.8,24.7,56.5,43.7%,50.7%,15.8%,13.4%,9.3%,41.2%
997,Harris-Stowe State Hornets,33,100%,85.5,70,0.818,34.1,23.7,57.8,41%,46.8%,18.7%,15.6%,9.7%,38.7%
998,Hardin-Simmons Cowboys,26,100%,91.3,82.2,0.9,34.3,29.9,64.2,46.6%,52.3%,18.8%,13.3%,8.9%,42.1%
999,Harding Bison,27,100%,84.6,79.2,0.937,34.4,27.6,62,44.5%,50.7%,14.6%,14.5%,9.9%,43.2%
1000,Hanover Panthers,29,100%,74.6,66.1,0.887,30.9,25,55.9,44.7%,50.6%,17.3%,10%,7.7%,40.2%
1001,Hannibal-LaGrange Trojans,29,100%,81.9,71.9,0.879,34.5,25.5,60,42.5%,48.3%,15.3%,13.7%,9.9%,40.6%
1002,Hampton Pirates,33,100%,85.4,74.5,0.873,36.6,26.4,63,41.8%,47.6%,14.3%,14.1%,9.4%,41%
1003,Hampden-Sydney Tigers,26,100%,84.5,77.2,0.914,35.1,27.6,62.7,44%,51.2%,15.9%,12.2%,8.9%,41.1%
1004,Hamline Pipers,25,100%,78.5,68.8,0.877,32,25.7,57.7,44.6%,51%,17.8%,10.7%,7.9%,39.8%
1005,Hamilton College,29,100%,89.3,73.3,0.821,36.9,25.5,62.4,40.9%,46.6%,19.5%,13.6%,9.9%,37.9%
1006,Gwynedd Mercy University Griffins,26,100%,82.9,71.2,0.858,35.7,24.5,60.2,40.8%,46.5%,16%,13.5%,9%,39.9%
1007,Gustavus Adolphus,24,100%,76.4,69.2,0.906,31.7,25.3,57,44.4%,51.8%,16.6%,10.3%,7.1%,40.6%
1008,Guilford College Quakers,27,100%,78.8,72,0.914,34.7,24,58.8,40.9%,50.4%,15%,12.2%,8.2%,39.8%
1009,Guelph Gryphons,27,100%,94.5,84.8,0.897,39.3,31.7,71.1,44.7%,50.6%,16.5%,10.3%,8.2%,41.4%
1010,Grove City Wolverines,26,100%,79.2,63.5,0.801,35,21.7,56.7,38.3%,44.4%,16.5%,14%,10.5%,36.9%
1011,Grinnell,6,100%,107.7,101,0.938,33.5,39.2,72.7,53.9%,58.1%,22.3%,13.3%,7.9%,44.4%
1012,Greenville Panthers,18,100%,123.7,122.1,0.987,33.7,45.4,79.1,57.4%,62.4%,23.1%,15.2%,8.2%,47.8%
1013,Greensboro College The Pride,28,100%,94.8,91.6,0.967,32.4,32.9,65.3,50.4%,56.5%,18.8%,14.8%,10.8%,45.3%
1014,Green Mountain,4,100%,86.8,80.3,0.925,37.5,29,66.5,43.6%,51.1%,13%,12.1%,7.8%,42.1%
1015,Great Lake Christian Crusaders,11,100%,90.2,96.7,1.073,30.3,35.5,65.7,53.9%,61.3%,15.6%,14%,10.4%,49.4%
1016,Grand View Vikings,28,100%,86.5,76.8,0.887,37.7,27.8,65.5,42.4%,48.1%,13.9%,12.8%,9.5%,40.9%
1017,Grand Valley State Lakers,29,100%,78.4,71.2,0.908,34.3,24.6,58.9,41.7%,49%,14%,12.8%,8.4%,41%
1018,Grand Canyon University Antelopes,34,100%,80.8,64.2,0.794,33.7,22.3,56.1,39.8%,44%,18.2%,14.5%,9.3%,38.2%
1019,Grambling State Tigers,31,100%,85,73.4,0.863,33.7,25.1,58.8,42.7%,48.3%,17.4%,15.8%,9.9%,41.1%
1020,Graceland University  Yellowjackets,35,100%,80.3,71.7,0.893,34.3,25.4,59.7,42.6%,50.3%,15.9%,11.8%,9%,40%
1021,Grace College Lancers,30,100%,82.4,82.7,1.004,32,30.8,62.8,49%,54.9%,13.2%,12.6%,8.7%,46.7%
1022,Grace Christian University,16,100%,86.2,78.8,0.914,35.6,28.1,63.7,44.1%,50.7%,14.9%,12.8%,8.1%,42.4%
1023,Governor State University,27,100%,84.6,72.4,0.856,33.9,26.3,60.2,43.6%,49.2%,19%,11.3%,7.5%,39.6%
1024,Goucher Gophers,25,100%,85.7,81.6,0.952,34,28.4,62.5,45.5%,53%,15%,14.2%,9.5%,43.5%
1025,Goshen College Maple Leafs,32,100%,88.2,87,0.986,31.9,31.2,63.1,49.5%,55.5%,16.2%,15.2%,9.5%,45.9%
1026,Gordon College,28,100%,92.5,81,0.876,42,29.5,71.5,41.3%,48.6%,14%,10.6%,7.6%,39%
1027,Gonzaga Bulldogs,37,100%,79,67.5,0.854,35.2,24,59.2,40.5%,46.7%,15%,11.7%,8.3%,39.2%
1028,Goldey-Beacom Lightening,30,100%,84,71.6,0.852,31.1,24.5,55.5,44.1%,50.4%,22.1%,14.3%,8.9%,39.2%
1029,Glenville State Pioneers,30,100%,85.4,80,0.936,35.4,28.6,64,44.7%,51.5%,14.3%,12.7%,9.3%,43.2%
1030,Gettysburg College Bullets,25,100%,77.1,66.7,0.865,34.2,24.2,58.4,41.5%,48.3%,15.1%,11.4%,8.2%,38.8%
1031,Georgian Court Lions,26,100%,83.8,74.8,0.892,35.9,25,60.9,41.1%,47.8%,13.7%,15.6%,10.3%,41.4%
1032,Georgia Tech Yellow Jackets,33,100%,76.2,66.9,0.878,32.2,23.7,56,42.4%,48.8%,15.8%,12.6%,8.8%,40.2%
1033,Georgia State Panthers,35,100%,79.7,66.7,0.838,34.6,22.1,56.7,38.9%,46.7%,17.2%,13.6%,9.6%,37.5%
1034,Georgia Southwestern Hurricanes,28,100%,81.3,73.1,0.899,34.2,27.1,61.4,44.2%,49.8%,14.3%,12.5%,9.6%,41.7%
1035,Georgia Southern Eagles,33,100%,81,69.6,0.859,33.4,24.5,58,42.3%,48.7%,16.9%,13.6%,9%,39.6%
1036,Georgia Northwestern Technical College,2,100%,104,119,1.144,44,41.5,85.5,48.5%,62%,9.1%,9.6%,9.6%,47.1%
1037,Georgia College and State Bobcats,28,100%,81.4,71.2,0.875,32.1,24.2,56.3,43%,49.8%,18.2%,14.7%,9.7%,40.4%
1038,Georgia Bulldogs,33,100%,77,66.5,0.864,36.7,23.5,60.3,39.1%,45.3%,12%,11.7%,8.9%,39.1%
1039,Georgetown Hoyas,30,100%,82.2,75.9,0.923,35.4,27.2,62.6,43.5%,50.3%,14%,11.6%,7.7%,41.7%
1040,Georgetown (KY) College Tigers,30,100%,90.8,71.7,0.79,40.3,26.3,66.6,39.5%,45.1%,18.1%,10%,7.5%,36.2%
1041,George Washington Colonials,33,100%,76.1,70,0.92,31.9,25.9,57.8,44.9%,50.8%,14.3%,11.5%,8.5%,42.4%
1042,George Mason Patriots,33,100%,78.7,74.2,0.942,32.9,26.8,59.7,44.8%,51.8%,13.7%,12.9%,9.5%,42.8%
1043,George Fox Bruins,26,100%,92.5,87.8,0.95,33.8,31.2,65,48%,54.9%,17.8%,14.6%,9.2%,43.7%
1044,Geneva Golden Tornadoes,27,100%,81.7,68.2,0.834,36.7,25.2,61.9,40.7%,47.2%,15.8%,10.1%,7.8%,37.9%
1045,Gardner-Webb Runnin' Bulldogs,32,100%,79.4,71.8,0.903,33.3,24.8,58.1,42.7%,49.6%,15.3%,13.8%,9.6%,41.1%
1046,Gannon University,32,100%,74.5,64.2,0.861,30.9,23.5,54.4,43.2%,49.6%,17.9%,11.2%,7.9%,39.1%
1047,Gallaudet University Bison,23,100%,88,81,0.92,32.7,29.1,61.8,47.1%,55.4%,20.2%,11.8%,7.8%,41.2%
1048,Furman Paladins,33,100%,79.8,68,0.852,33.1,24.8,57.9,42.9%,48.7%,18.1%,11.7%,9.2%,39.1%
1049,Frostburg State Bobcats,27,100%,89.8,79.5,0.886,36.1,29.1,65.2,44.7%,49.6%,16%,14.3%,10.1%,41.8%
1050,Friends University Falcons,31,100%,84.4,79.5,0.943,33.7,28.9,62.6,46.1%,52.2%,14.5%,13.7%,9.3%,43.7%
1051,Fresno State Bulldogs,32,100%,76.3,68.5,0.897,30.6,23.3,53.9,43.2%,49.6%,16.9%,14.7%,10.2%,41%
1052,Fresno Pacific Sunbirds,28,100%,82.8,80.3,0.971,33.3,28,61.3,45.7%,53.6%,14.3%,13.5%,8.5%,44.4%
1053,Freed-Hardeman Lions,25,100%,84.9,77.8,0.916,34.7,26.8,61.5,43.6%,50.5%,14.8%,14.8%,9.4%,42.6%
1054,Fredonia State Blue Devils,24,100%,81.3,73.4,0.903,33.1,26.2,59.3,44.2%,50.1%,15.4%,13.5%,8.7%,42.3%
1055,Fraser Valley Cascades,23,100%,93.3,85.2,0.914,41.3,31.1,72.4,42.9%,49%,12.6%,12%,10.4%,42.2%
1056,Franklin Pierce Ravens,26,100%,86.3,78.7,0.911,37.6,27.8,65.4,42.5%,49.5%,13.7%,12.3%,9.2%,41.1%
1057,Franklin Grizzlies,25,100%,80,75.3,0.941,32.8,26.9,59.6,45.1%,50.4%,13.6%,14.6%,10.1%,44.2%
1058,Franklin & Marshall Diplomats,29,100%,80.6,64.9,0.806,31.9,22.5,54.4,41.4%,47%,21.1%,13.5%,8.5%,37.5%
1059,Franciscan University of Steubenville Barons,26,100%,81.9,74.2,0.906,32.6,25.9,58.5,44.3%,49.6%,15.5%,14.8%,10.1%,43%
1060,Francis Marion,30,100%,81.9,72.9,0.89,31.4,26.8,58.1,46%,52.1%,19%,12.2%,9%,41.4%
1061,Framingham State Rams,9,100%,77.6,67.1,0.865,34,26.1,60.1,43.4%,48.3%,14.3%,10.3%,8%,40.7%
1062,Fort Valley State Wildcats,27,100%,81.8,67.9,0.83,35.8,23.7,59.6,39.9%,45.6%,15.2%,13.9%,10%,38.8%
1063,Fort Lewis Skyhawks,31,100%,85.4,74.5,0.873,35.8,26.2,62,42.2%,48.3%,16.4%,12.7%,8.4%,40.4%
1064,Fort Hays State Tigers,31,100%,76.8,68.5,0.892,30.1,23,53.1,43.3%,49.5%,17.6%,16%,10.7%,41.4%
1065,Fordham Rams,31,100%,78,69.7,0.894,30.5,25.9,56.5,45.9%,51.7%,17.8%,11.8%,9.1%,41.4%
1066,Fontbonne Griffins,16,100%,96.3,92.7,0.963,39,33.8,72.8,46.4%,53.6%,13.6%,12.3%,9%,44.4%
1067,Florida Tech Panthers,30,100%,84.8,82.4,0.972,33.1,29.5,62.6,47.1%,54.7%,16.4%,12.2%,9.2%,43.6%
1068,Florida State Seminoles,35,100%,82.9,72,0.869,35.7,25.1,60.8,41.3%,47.9%,15.9%,12.9%,9%,39.6%
1069,Florida Southern Mocs,32,100%,91.4,82.6,0.904,35.9,28.9,64.8,44.6%,50.4%,17.3%,14.2%,10.4%,41.9%
1070,Florida National University Conquistadors,15,100%,92.8,86.4,0.931,34.8,30.1,64.9,46.4%,53.9%,18.5%,13.5%,7.7%,42.5%
1071,Florida Memorial Lions,29,100%,85.2,72.1,0.847,34.4,24.8,59.2,41.9%,49.1%,18.9%,13.3%,8.9%,38.7%
1072,Florida International Panthers,32,100%,80.5,69.8,0.868,32.7,24.6,57.3,42.9%,49.2%,17.2%,13.7%,9.2%,40.1%
1073,Florida Gulf Coast Eagles,35,100%,82.2,71.1,0.864,34.9,25.1,60,41.8%,48.1%,16.1%,13.2%,8.9%,39.9%
1074,Florida Gators,34,100%,79.4,69.1,0.87,33.1,24.4,57.6,42.4%,48.3%,16.9%,12.9%,9.1%,40.2%
1075,Florida College Falcons,29,100%,94.5,76.7,0.812,43.6,28.2,71.8,39.3%,45.2%,15.3%,10.5%,8.1%,37%
1076,Florida Atlantic Owls,31,100%,80.5,69.8,0.868,34.3,25.4,59.6,42.5%,47.7%,15.2%,13.1%,8.8%,40.6%
1077,Florida A&M Rattlers,33,100%,82.7,78.2,0.946,31.7,28.1,59.8,47%,53%,16%,13.9%,10.9%,44%
1078,Flagler College Saints,26,100%,84.2,76.1,0.903,37.7,28.8,66.5,43.3%,48.6%,12.1%,11.5%,8.8%,41.9%
1079,Fitchburg State,6,100%,89.3,86.5,0.968,34,29.2,63.2,46.2%,53%,15.3%,16.2%,9.3%,44.6%
1080,Fisk Bulldogs,16,100%,87.3,76.1,0.872,34.8,27.1,61.9,43.8%,51.2%,18.3%,12.8%,9.1%,40%
1081,Fisher College Falcons,24,100%,91.1,74.7,0.82,39.8,25.5,65.3,39.1%,45.7%,17.5%,12.6%,8.1%,37.5%
1082,Finlandia Lions,14,100%,84.6,81.9,0.969,35.7,31.3,67,46.7%,52.6%,11.8%,11.1%,8.4%,44.7%
1083,Findlay Oilers,33,100%,78.6,68.7,0.875,31.6,26.5,58.1,45.6%,52.5%,19.4%,8.3%,6.6%,39.3%
1084,Ferrum Panthers,26,100%,81.5,79.6,0.977,31.6,29.7,61.3,48.5%,56%,15.8%,10.6%,8.4%,44.2%
1085,Ferris State Bulldogs,39,100%,83.4,69.6,0.835,36.5,25.8,62.4,41.4%,46.8%,16.2%,10.6%,7.5%,38.6%
1086,Felician Golden Falcons,27,100%,83.4,74.4,0.891,35.7,26.8,62.5,42.8%,49.1%,15.7%,11.7%,8.5%,40.5%
1087,Fayatteville State Broncos,26,100%,80.9,74.3,0.919,32.8,27.6,60.3,45.7%,51.1%,14.9%,12.6%,9%,43.1%
1088,Faulkner Eagles,29,100%,86.1,69,0.801,38,24.2,62.2,38.9%,44.8%,16.7%,12.7%,8%,37.2%
1089,Farmingdale State Rams,26,100%,85.5,68.5,0.801,37.3,24.6,61.9,39.8%,46.2%,18.3%,10.9%,7.7%,36.6%
1090,Faith Baptist Bible Eagles,7,100%,87.9,91.4,1.041,33.7,36.9,70.6,52.2%,60%,13.8%,7.5%,6.2%,46.8%
1091,Fairmont State Falcons,29,100%,82.8,78.7,0.95,33.3,29.8,63.2,47.2%,51.9%,14.1%,12.1%,8.9%,44.7%
1092,Fairleigh Dickinson Knights,31,100%,82.1,74.8,0.911,33.5,25.9,59.4,43.6%,50.3%,16.4%,13.6%,10%,41.6%
1093,Fairleigh Dickinson - Florham Devils,23,100%,84.4,77.3,0.917,31.2,28.4,59.6,47.7%,53.2%,17.9%,13.7%,8.1%,43.2%
1094,Fairhaven Baptist Boble,1,100%,86,111,1.291,29,43,72,59.7%,71.5%,14%,7%,7%,52.3%
1095,Fairfield Stags,33,100%,82.5,76.8,0.931,32.5,26.7,59.1,45.1%,52%,16.1%,14.5%,9.3%,42.7%
1096,Evergreen State College Geoducks,29,100%,84.1,79.8,0.949,33.9,28.9,62.8,46%,54%,15.6%,11.4%,8%,42.6%
1097,Evansville Aces,32,100%,74.1,63.5,0.857,31.1,22.1,53.2,41.5%,48.7%,17.7%,12.8%,8.5%,38.6%
1098,Evangel Crusaders,31,100%,84.3,81.9,0.972,32.3,29.2,61.5,47.5%,53.9%,14.4%,15.2%,9.6%,45.4%
1099,Eureka Red Devils,22,100%,96,82.5,0.86,45.2,31.6,76.9,41.2%,47.7%,13.1%,9.3%,7.6%,38.3%
1100,Erskine Flying Fleet,27,100%,76.7,69.1,0.901,33,24.1,57,42.2%,50.6%,15.9%,11.4%,9.1%,39.8%
1101,Endicott College Gulls,28,100%,88,75.5,0.858,39.5,27.6,67.1,41.1%,47.4%,15.4%,10.5%,7.7%,38.6%
1102,Emporia State Hornets,30,100%,76.3,71.1,0.931,27.7,24.7,52.4,47.1%,53.2%,18.5%,15%,8.3%,43.3%
1103,Emory University Eagles,29,100%,83.9,74.2,0.885,33.7,26.4,60.1,43.9%,50.7%,17.9%,13.1%,9.1%,39.9%
1104,Emory & Henry Wasps,29,100%,82.3,74.7,0.908,34.4,27.1,61.5,44.1%,51.2%,16.4%,11.4%,8.2%,40.6%
1105,Emmaus Eagles,4,100%,96.5,112.3,1.163,33.3,44.8,78,57.4%,66.7%,13.7%,7.5%,6.7%,51.6%
1106,Emmanuel College Lions,30,100%,87.9,75.8,0.863,35.3,26.7,62,43%,48.7%,17.4%,14%,10.1%,40.5%
1107,Emmanuel (MA) Saints,22,100%,83.3,76.4,0.917,30.4,26.4,56.8,46.5%,53.5%,18.8%,15.5%,9.4%,42.6%
1108,Emerson College Lions,26,100%,81.3,76,0.934,34.4,27.6,62,44.5%,50.4%,13%,13.3%,9.1%,43%
1109,Embry-Riddle Eagles (FL),28,100%,82.8,83.6,1.01,34.9,30.9,65.8,47%,54.7%,12.1%,10.4%,8%,44.8%
1110,Embry-Riddle Eagles (AZ),27,100%,81.7,70.6,0.864,33.9,23.1,56.9,40.5%,48%,17.5%,15%,10.1%,39.4%
1111,Elon Phoenix,32,100%,80.5,76,0.944,36.2,27.8,64,43.5%,51.5%,12.3%,10%,6.7%,41.3%
1112,Elms,4,100%,89,77.3,0.868,34.5,27,61.5,43.9%,51%,19.1%,14.3%,10.1%,39.9%
1113,Elmira,24,100%,88.7,93.5,1.055,31.3,33.8,65.1,51.9%,58.3%,14.1%,15%,9.4%,49%
1114,Elmhurst College Blue Jays,25,100%,79,75.3,0.954,29.7,26.4,56.1,47.1%,53.4%,15.6%,15%,8.7%,44.8%
1115,Elizabethtown College,23,100%,82.7,78,0.943,32.6,28,60.6,46.3%,52.6%,14.6%,14.1%,9.5%,44.3%
1116,Elizabeth City State University Vikings,19,100%,79.1,71.2,0.9,30,25.4,55.4,45.9%,51.3%,17.7%,15%,10.9%,42.7%
1117,Edward Waters Tigers,29,100%,82.4,73.4,0.892,34.1,26.4,60.5,43.7%,49.6%,15.2%,13.4%,9.9%,41.5%
1118,Edinboro Fighting Scots,28,100%,81.6,75.1,0.92,34,28.3,62.3,45.4%,50.7%,14.5%,11.5%,8.8%,42.7%
1119,Edgewood College (WI) Eagles,28,100%,80.1,71.4,0.892,33.2,26.1,59.3,44%,49.1%,14.7%,13.3%,9.1%,42.2%
1120,Eckerd College Tritons,33,100%,80.9,73,0.902,33.3,25.1,58.4,42.9%,50.1%,16.3%,13.8%,9.7%,41%
1121,Ecclesia Royals,20,100%,86.1,91.9,1.067,32.3,35.1,67.4,52.1%,58.8%,13.1%,11.4%,9.5%,48.7%
1122,East-West Phantoms,17,100%,93.5,95.7,1.023,33.9,33.4,67.3,49.6%,57.4%,14.2%,15.5%,9.7%,47%
1123,Eastern Washington Eagles,35,100%,78,71.3,0.915,31.7,25.1,56.8,44.1%,50.2%,15.1%,14.2%,9.7%,42.3%
1124,Eastern Oregon Mountaineers,29,100%,85.1,79.7,0.936,33.1,29.7,62.8,47.3%,54.1%,17%,11.1%,7.6%,42.6%
1125,Eastern New Mexico Greyhounds,30,100%,85.6,78.1,0.912,33.2,27.5,60.6,45.3%,51.5%,16.7%,14.9%,9.9%,42.1%
1126,Eastern Nazarene College Lions,24,100%,83,77.8,0.937,32.9,27.8,60.7,45.8%,53.1%,16.2%,12.7%,9.1%,42.3%
1127,Eastern Michigan Eagles,35,100%,79.4,66.1,0.833,35,23.2,58.2,39.8%,46.6%,17%,11.4%,8.4%,37.7%
1128,Eastern Kentucky Colonels,31,100%,79.7,75.9,0.951,30.7,27.2,58,47%,54.1%,16.1%,13.8%,10.2%,43.4%
1129,Eastern Illinois Panthers,31,100%,76,68,0.895,31,23.8,54.8,43.4%,50.6%,17%,12.7%,9.1%,40.4%
1130,Eastern Eagles,26,100%,84.5,76.3,0.903,36.5,27.1,63.6,42.6%,49.4%,13.5%,13.2%,9.8%,41.6%
1131,Eastern Connecticut State University Warriors,18,100%,81.7,69.4,0.85,30.4,25.3,55.8,45.4%,51.6%,21.7%,12.5%,8.6%,38.9%
1132,East Texas Baptist Tigers,29,100%,92.3,84,0.91,39.3,29.4,68.7,42.7%,47.9%,12.8%,15.1%,10.9%,42.9%
1133,East Tennessee State Buccaneers,34,100%,79.1,65.5,0.828,34,22.8,56.8,40.1%,46.5%,17.7%,12.5%,8.7%,37.7%
1134,East Stroudsburg Warriors,34,100%,92.6,76.7,0.828,33.1,27.7,60.8,45.5%,49.9%,23%,13.2%,8.3%,39.5%
1135,East Mennonite Royals,27,100%,86.3,75.5,0.875,37,27.8,64.9,42.9%,48.8%,14.4%,12.5%,8.8%,40.6%
1136,East Central Tigers,28,100%,84.6,78.3,0.925,33.2,26.9,60.1,44.7%,52%,16.5%,14.1%,9.9%,42.7%
1137,East Carolina Pirates,30,100%,80.5,74.5,0.925,33.1,27.3,60.4,45.2%,51.4%,14.4%,12.9%,9.5%,42.6%
1138,Earlham College Quakers,25,100%,82.3,77.1,0.936,29.4,27.2,56.6,48%,54.3%,19.6%,13.7%,8.8%,43.4%
1139,D'Youville,23,100%,93.9,83.5,0.889,39.2,30.6,69.8,43.8%,48.8%,14.8%,12.3%,8.4%,41.9%
1140,Duquesne Dukes,32,100%,76.6,69.9,0.912,30.5,25.1,55.6,45.1%,50.5%,15.4%,14.2%,9.3%,43.1%
1141,Duke Blue Devils,37,100%,82.2,69.5,0.846,38.1,25.8,64,40.4%,46.3%,14.3%,9.7%,7.1%,38.2%
1142,Dubuque,26,100%,81.9,74.5,0.909,32.9,25.1,58,43.3%,49.8%,15.4%,16.2%,10.5%,42.6%
1143,Drury Panthers,28,100%,78.7,72.3,0.919,32.1,24.7,56.8,43.5%,51.3%,16.6%,13.5%,9.3%,41%
1144,Drexel Dragons,33,100%,81.6,77.9,0.955,33.8,28.6,62.3,45.8%,51.8%,13.2%,13.4%,9.6%,43.5%
1145,Drew Rangers,26,100%,84.2,75,0.891,35.4,26.8,62.2,43.1%,49.9%,16.2%,11.9%,8%,40.7%
1146,Drake Bulldogs,34,100%,79.7,72.6,0.911,33.8,27.4,61.2,44.8%,51%,14.8%,10.2%,7.3%,41.5%
1147,Douglas College Royals,2,100%,94.5,92.5,0.979,35,37.5,72.5,51.7%,56.6%,13.8%,10.1%,3.2%,46%
1148,Dordt College Defenders,31,100%,85.5,81,0.948,28.2,28.6,56.9,50.4%,56.4%,21.1%,14.5%,9.5%,44.5%
1149,Dominican (NY) Chargers,31,100%,82.2,67.7,0.824,33,24.1,57.1,42.2%,47.3%,19.6%,13%,9.4%,38.6%
1150,Dominican (IL) Stars,25,100%,83,75.2,0.906,31.1,27.6,58.7,47%,51.9%,19.2%,12.7%,9.2%,42.3%
1151,Dominican (CA) Penguins,26,100%,79.5,76.4,0.961,32.4,28.3,60.7,46.6%,52.6%,12.7%,13.4%,9.3%,44.5%
1152,Doane Tigers,34,100%,83.1,79.1,0.952,35.2,28.3,63.5,44.6%,50.8%,12.8%,13.4%,9.9%,43.5%
1153,Dixie State University Trailblazers,30,100%,80.9,67.4,0.834,34.4,22.9,57.3,40%,47.4%,17.5%,13.3%,8.2%,37.8%
1154,District of Columbia Firebirds,27,100%,93.4,83.7,0.896,36.7,30,66.7,45%,51.3%,17.8%,12.6%,8.6%,41.5%
1155,Dillard Bleu Devils,13,100%,85.2,73.5,0.864,34.4,26.6,61,43.6%,49.3%,17.9%,13.4%,9.8%,39.9%
1156,Dickinson State Blue Hawks,27,100%,83.6,75.9,0.908,35.9,27.3,63.3,43.2%,50.2%,15.1%,11.1%,7.4%,41%
1157,Dickinson (PA) Red Devils,26,100%,77.5,66.3,0.856,30.9,23.2,54,42.8%,48.9%,18.2%,14%,8.5%,40.1%
1158,Detroit Titans,32,100%,86.5,85.4,0.987,32.6,29.9,62.5,47.9%,55.3%,15.1%,14.6%,9%,45.5%
1159,DeSales,27,100%,82.7,67.6,0.817,36,24,60,40.1%,46.2%,17.2%,12%,8.6%,37.4%
1160,DePauw University Tigers,26,100%,76.7,70.9,0.924,33.6,26.3,59.9,43.9%,50.7%,14%,10%,7%,41.2%
1161,DePaul Blue Demons,31,100%,80.5,73.6,0.914,32.7,25.4,58,43.7%,51.6%,17.3%,12.3%,8.5%,41.1%
1162,Denver Pioneers,30,100%,77.9,72.6,0.932,32.8,24.8,57.6,43.1%,50.3%,14%,14.5%,9.8%,42.5%
1163,Denison (OH) Big Red,27,100%,79.1,72.6,0.919,31.6,26.6,58.3,45.7%,52.5%,17.2%,11.1%,7.8%,41.6%
1164,Delta State Statesmen,31,100%,71.5,61.6,0.862,29.6,22.1,51.6,42.7%,48.9%,17.2%,12.9%,9.5%,39.7%
1165,Delaware Valley,25,100%,82.9,73.3,0.884,32.2,24.7,56.9,43.5%,49.4%,18.2%,15.9%,10.3%,41.5%
1166,Delaware State Hornets,31,100%,78.3,75.9,0.969,30.4,26.2,56.5,46.3%,54.9%,16%,13.7%,10%,43.5%
1167,Delaware Fightin Blue Hens,33,100%,75.2,72.3,0.962,31.5,25.9,57.4,45.2%,52.3%,13.3%,12.5%,9.2%,43.5%
1168,Defiance Yellow Jackets,26,100%,81.5,83.7,1.027,30.1,31,61.1,50.7%,57.3%,14.8%,13.3%,9.6%,46.9%
1169,Dean College Bulldogs,8,100%,85.6,74.8,0.873,35,26.3,61.3,42.9%,49.8%,17.2%,13%,8.5%,40.1%
1170,Dayton Flyers,31,100%,76.3,72.8,0.954,30.2,26.4,56.6,46.7%,54%,15.8%,11.9%,8.2%,43%
