#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
859,LeMoyne-Owen College Magicians,20,100%,83,74.1,0.893,32.7,25.7,58.4,44%,51%,17.6%,14.2%,9.9%,41.1%
860,Lehman,23,100%,90.8,68.1,0.75,39.1,24.2,63.3,38.2%,44.2%,20.7%,11.3%,7.6%,34.4%
861,Lehigh Mountain Hawks,30,100%,82,77.5,0.946,34.5,27.6,62.1,44.5%,52%,13.9%,12.4%,8%,42.5%
862,Lees-McRae Bobcats,32,100%,91.2,84.3,0.924,33.2,28.6,61.8,46.3%,52.9%,18.7%,16.4%,11.2%,43.1%
863,Lee University Flames,28,100%,77,68,0.884,31.8,22.5,54.3,41.5%,47.5%,16%,16.2%,11.2%,40.9%
864,Lebanon Valley,28,100%,85.3,74.9,0.878,37.8,27.5,65.3,42.2%,48%,14.6%,10.8%,7.7%,40%
865,Le Moyne Dolphins,34,100%,73.3,62.8,0.857,32.8,23,55.8,41.2%,47.8%,16%,9.8%,7.7%,38.2%
866,Lawrence Tech Blue Devils,26,100%,76.1,75.7,0.995,31,28.6,59.6,48%,54.8%,13.1%,10.9%,8.2%,45%
867,Lawrence,15,100%,82.7,73.9,0.893,33.8,26.2,60,43.7%,49.8%,16%,13.7%,9.8%,41.5%
868,Laval University,21,100%,94.8,73.3,0.773,42.3,27.8,70.1,39.7%,45.2%,19%,8.7%,6.5%,35.7%
869,Laurentian Voyageurs,27,100%,90.1,76.6,0.85,39.4,28.4,67.8,41.8%,47.1%,15.3%,11.6%,9.1%,40%
870,Lasell,27,100%,82.3,74.9,0.91,35.6,27.7,63.3,43.8%,49.5%,13.5%,12.2%,9.4%,41.9%
871,Langston University Lions,16,100%,90.8,83.2,0.916,34.3,29,63.3,45.8%,51.9%,17.5%,15%,8.3%,42.6%
872,Langara College,1,100%,98,118,1.204,39,49,88,55.7%,61.9%,5.1%,7.1%,7.1%,55.1%
873,Lane Dragons,18,100%,78.1,65.6,0.84,29.6,22.3,51.9,42.9%,48.7%,19.9%,15.9%,10.2%,39.7%
874,Lander Bearcats,28,100%,85.2,80.5,0.944,33.5,28.5,62,46%,52.6%,15.1%,14.8%,10.2%,43.5%
875,Lancaster Bible Chargers,28,100%,85.5,69.1,0.809,35.9,24.4,60.3,40.5%,47.4%,19.8%,11.4%,7.7%,36.4%
876,Lambton Lions,1,100%,94,95,1.011,37,34,71,47.9%,51.4%,12.8%,13.8%,9.6%,47.9%
877,Lamar Cardinals,33,100%,81.8,69.4,0.848,30.9,24.5,55.4,44.2%,50.1%,20.1%,14%,7.7%,39.5%
878,Lakeland (WI) Muskies,26,100%,91.5,80.8,0.884,37.5,29.8,67.3,44.3%,48.6%,15.5%,13.1%,9%,41.8%
879,Lakehead University Thunderwolves,28,100%,94.4,84.2,0.892,42.7,31.7,74.4,42.6%,47.8%,12.4%,10.7%,9.2%,41.6%
880,Lake Superior State Lakers,33,100%,77.3,68.7,0.888,30.1,25.2,55.3,45.6%,51.9%,19.4%,11.6%,8.4%,40.2%
881,Lake Forest Foresters,17,100%,76.9,69.2,0.9,32.6,25.6,58.3,44%,50.1%,14.9%,12%,7.7%,41%
882,Lake Erie College Storm,31,100%,80.8,71.8,0.889,33.7,25.3,59,42.9%,48.9%,14.5%,14.5%,10.1%,41.9%
883,LaGrange Panthers,25,100%,92.3,82,0.889,37.9,30.2,68,44.3%,49.6%,15.5%,13.6%,10.1%,41.9%
884,Lafayette Leopards,31,100%,78.6,74.1,0.943,33.5,27.5,61,45.1%,51.6%,12.8%,11.8%,7.8%,43%
885,La Verne Leopards,26,100%,86,79.9,0.93,33.6,29.5,63.1,46.7%,51.9%,15.4%,13.9%,9.8%,43.4%
886,La Sierra University Golden Eagles,26,100%,86.2,80.5,0.934,35,27.7,62.6,44.2%,50.1%,13.4%,16.3%,10.5%,44.2%
887,La Salle Explorers,32,100%,78.4,73.3,0.934,31.9,26,57.9,44.9%,51.4%,14.9%,13.8%,10.3%,43.1%
888,La Roche Redhawks,27,100%,83,67.1,0.809,35.9,24.7,60.6,40.8%,45.9%,17.8%,11.2%,8.3%,37.8%
889,Kutztown Golden Bears,28,100%,91.3,78.7,0.862,37.2,28.5,65.7,43.4%,48.2%,17.4%,12.8%,9.5%,40.5%
890,Knox,17,100%,81.6,77.6,0.95,31.4,28.4,59.7,47.5%,53.9%,16.6%,12.8%,8.4%,43.3%
891,Kings (PA),24,100%,90.4,83.2,0.92,29.4,30.7,60.1,51%,57.4%,22.1%,13.6%,8.7%,43.1%
892,King University (TN) Tornados,29,100%,82.9,76.9,0.928,35.6,28,63.6,44.1%,50.8%,14.4%,11.9%,9.5%,41.8%
893,Keystone,24,100%,89.7,81.5,0.909,33.8,30,63.7,47%,52.2%,17.6%,13.7%,8.4%,42.9%
894,Keuka,11,100%,79.9,68,0.851,34.7,23.9,58.6,40.8%,47.5%,15.2%,13.3%,9.7%,38.6%
895,Kenyon Lords,25,100%,78.3,75.6,0.966,33.4,27.7,61.2,45.3%,52.4%,12.4%,11.7%,8.3%,43.7%
896,Kentucky Wildcats,38,100%,81.3,69.6,0.856,36.7,24.4,61.1,39.9%,46.3%,14%,12.7%,8.5%,39.1%
897,Kentucky Wesleyan Panthers,32,100%,85.8,78.4,0.914,36.5,29.2,65.7,44.4%,50.4%,13.9%,11.6%,8.5%,42.1%
898,Kentucky State Thorobreads,24,100%,92,84.4,0.918,36,30.9,66.8,46.2%,50.8%,15.5%,14.3%,10.3%,44.1%
899,Kentucky Christian Knights,6,100%,93.2,101.2,1.086,35.2,40.3,75.5,53.4%,60.2%,13.1%,8.8%,7.5%,49.2%
900,Kent State-Tuscarawas,5,100%,87.8,99,1.128,32.2,39.6,71.8,55.2%,63.6%,12.1%,8.4%,7.3%,49.7%
901,Kent State Golden Flashes,34,100%,80.3,72.5,0.904,33,26,59,44.1%,50.2%,15.6%,12.9%,8.8%,41.8%
902,Kennesaw State Fighting Owls,30,100%,81,76,0.938,31.4,28.2,59.6,47.3%,52.8%,15.9%,12.6%,8.9%,44%
903,Keiser Seahawks,32,100%,89.6,76.7,0.856,42.7,27.1,69.8,38.9%,45.2%,11.6%,11.8%,8.2%,38.9%
904,Keene State Owls,16,100%,90.1,66.7,0.74,37.9,23.6,61.4,38.4%,43.5%,20.8%,13%,7.7%,34.9%
905,Kean University Cougars,27,100%,84.5,77.7,0.919,33,27.7,60.7,45.7%,53%,17.9%,11.9%,7.9%,42%
906,Kansas Wesleyan Coyotes,32,100%,81.3,72.1,0.887,32.1,26,58.1,44.8%,50.7%,17.5%,13.8%,9.8%,41.3%
907,Kansas State Wildcats,38,100%,76.4,66.1,0.866,30.9,22.5,53.3,42.1%,48.6%,18.3%,14%,9.5%,39.6%
908,Kansas Jayhawks,39,100%,81.3,71.5,0.879,35.7,26.4,62.2,42.5%,48.9%,15%,10.3%,8.2%,39.9%
909,Kansas Christian College,7,100%,92.3,100.3,1.087,30.3,39.1,69.4,56.4%,62.7%,15.9%,12.5%,10.2%,50.5%
910,Kalamazoo College Hornets,25,100%,82.6,72.5,0.877,34,24.5,58.4,41.9%,49.1%,17.2%,13.7%,8.7%,39.9%
911,Juniata,29,100%,78.1,63.7,0.816,31.4,22.4,53.9,41.6%,47.6%,19.9%,13.2%,9.9%,38.1%
912,Judson (IL) Eagles,30,100%,83.6,76.3,0.913,35.4,28.4,63.8,44.5%,51.4%,15.2%,10.6%,7.3%,41.4%
913,Johnson University Florida,8,100%,93.1,87.6,0.941,34.4,31.6,66,47.9%,54.3%,18%,13.7%,9.8%,43.6%
914,Johnson University (TN) Royals,9,100%,97.9,96.6,0.986,36.9,37,73.9,50.1%,55.5%,12.9%,13.4%,9.4%,46.9%
915,Johnson State,4,100%,99.5,85,0.854,39.5,29.8,69.3,43%,48%,18.3%,13.6%,9%,40.5%
916,Johnson C. Smith Bulls,27,100%,84.5,70,0.828,35.2,23.6,58.8,40.2%,46.8%,18%,14.6%,11.2%,38.4%
917,Johnson & Wales Denver Wildcats,21,100%,84.8,86,1.014,29.9,32.4,62.3,52.1%,58.3%,17%,12%,9.2%,46.9%
918,Johnson & Wales (RI) University Wildcats,20,100%,86.3,73.3,0.849,34.9,26.3,61.2,43%,48.5%,18.3%,12.8%,9.3%,39.7%
919,Johnson & Wales (NC) University Wildcats,11,100%,85.6,88.5,1.034,30.9,32.5,63.4,51.2%,58.1%,15.1%,13.6%,10.3%,47.9%
920,Johnson & Wales (FL) University Wildcats,25,100%,85.2,78.9,0.926,33.6,27.6,61.2,45.1%,51.7%,16%,14.5%,10.2%,42.7%
921,Johns Hopkins Blue Jays,29,100%,76.8,60.4,0.787,31.8,21.2,53,40%,44.5%,19.5%,13.8%,8.9%,37.3%
922,John Jay Bloodhounds,25,100%,85.7,74.1,0.864,34.4,25.9,60.3,42.9%,48.9%,18.2%,13.4%,8.4%,40.5%
923,John Carroll University Blue Streaks,31,100%,94.7,81.6,0.862,36.5,28,64.6,43.4%,49.8%,19.9%,13.8%,9.5%,40%
924,John Brown University Golden Eagles,30,100%,82.9,75.7,0.914,33,25.9,58.9,44%,50.5%,16.1%,15%,9.1%,42.2%
925,Jarvis Christian Bulldogs,22,100%,85.4,78.3,0.917,31,27.2,58.2,46.7%,52.8%,17.5%,16.3%,9.6%,43.8%
926,Jamestown Jimmies,33,100%,85.2,76.2,0.895,35.2,27.8,63.1,44.2%,50.4%,15.9%,12%,8.6%,41.1%
927,James Madison Dukes,33,100%,80.3,74.2,0.924,31.6,25.1,56.7,44.3%,51.5%,16.3%,15.4%,9.8%,42.3%
928,Jacksonville State Gamecocks,36,100%,77,65.3,0.848,33.5,22.8,56.3,40.5%,47.3%,16.3%,12.6%,7.8%,38.6%
929,Jacksonville Dolphins,33,100%,83,74.3,0.896,34.6,27.2,61.8,44%,50%,16.3%,11.5%,8.9%,40.9%
930,Jackson State Tigers,32,100%,75.2,66.8,0.888,27.6,22.2,49.8,44.6%,50.9%,19.1%,16.6%,10.3%,41.5%
931,IUPUI Jaguars,29,100%,76.7,72.7,0.948,28.2,25.5,53.7,47.4%,54.1%,18%,14.2%,9.9%,43.8%
932,Ithaca College,25,100%,88.6,74.5,0.841,37,25.2,62.2,40.6%,46%,16.7%,15.1%,9.8%,39.4%
933,Iowa Wesleyan Tigers,19,100%,92.1,93.7,1.017,35.6,35.1,70.7,49.6%,57.1%,14.2%,10.9%,7.8%,45.8%
934,Iowa State Cyclones,31,100%,79.9,74.5,0.932,34.8,27.3,62.1,44%,50.7%,13%,11.6%,8.6%,42%
935,Iowa Hawkeyes,33,100%,81,78.5,0.969,33.8,28.9,62.6,46.1%,53%,12.8%,11.9%,8.4%,44.2%
936,Iona Gaels,33,100%,82.9,76.1,0.918,33.7,28.5,62.2,45.8%,52.1%,15.6%,11.7%,8.3%,41.9%
937,Indianapolis Greyhounds,29,100%,80.3,75.2,0.936,32.3,27,59.3,45.5%,52.5%,15.9%,12.1%,8.2%,42.7%
938,Indiana-(Southeast) Grenadiers,14,100%,90.3,78.5,0.869,35.3,28.3,63.6,44.5%,50.7%,19.1%,12.7%,8.6%,40.2%
939,Indiana-(South Bend) Titans,30,100%,85.2,76.1,0.894,37.8,28.3,66,42.8%,49.6%,14.2%,10%,7.2%,40.1%
940,Indiana-(Northwest) RedHawks,11,100%,90.9,87.5,0.962,35.6,31.5,67.2,47%,54.6%,15.6%,12.7%,8.2%,43.4%
941,Indiana-(Kokomo) Cougars,22,100%,88.5,87.7,0.991,34.7,32.6,67.3,48.4%,55.2%,14.1%,12.2%,9.2%,45%
942,Indiana-(East) Red Wolves,37,100%,86.3,71.3,0.826,36.2,25.7,61.9,41.5%,47.1%,18.3%,11.8%,8.7%,38.3%
943,Indiana Wesleyan Wildcats,37,100%,83,74.8,0.901,33.5,27.2,60.7,44.8%,51.1%,16.9%,12.6%,9%,41.4%
944,Indiana Tech Warriors,23,100%,79.1,69.3,0.876,34.7,25.2,60,42.1%,48.4%,14.9%,10.7%,8.5%,39.9%
945,Indiana State Sycamores,31,100%,79.6,72.2,0.906,31.2,24.4,55.5,43.9%,50.4%,17.1%,15.7%,10.2%,42.3%
946,Indiana Hoosiers,31,100%,78,70,0.898,31.5,24.9,56.4,44.1%,50.7%,17%,13%,8.9%,40.9%
947,Indiana (PA) Crimson Hawks,30,100%,80.9,69.5,0.859,35.8,25.4,61.2,41.5%,47%,15.4%,11.2%,8.3%,39.3%
948,Incarnate Word Cardinals,28,100%,85.4,76.9,0.9,35.3,27.6,62.9,43.9%,49.9%,15.8%,13%,9.4%,41.6%
949,Immaculata,24,100%,87.7,74.6,0.851,33.5,26.7,60.2,44.4%,49.9%,20.3%,13.1%,8.6%,39.9%
950,Illinois-Springfield Praire Stars,29,100%,80.3,73,0.909,32.2,25.9,58.1,44.6%,51.1%,16.4%,13.2%,8.7%,41.8%
951,Illinois-Chicago Flames,36,100%,85,72.5,0.853,37.3,25.9,63.2,40.9%,46.3%,14.4%,12.9%,8.4%,39.9%
952,Illinois Wesleyan Titans,27,100%,78.9,71.3,0.904,32.7,25.6,58.3,43.8%,49.6%,14.7%,13.2%,8.1%,42.1%
953,Illinois Tech Scarlet Hawks,19,100%,78.6,65.9,0.838,33.2,24.5,57.7,42.5%,48.5%,16.8%,10.9%,7.2%,38.6%
954,Illinois State Redbirds,33,100%,81.3,72.6,0.894,34,24.9,58.9,42.3%,48.4%,15.1%,15.1%,10.2%,41.4%
955,Illinois Fighting Illini,32,100%,80.6,73.6,0.913,27.8,24.6,52.4,46.9%,52.9%,20.6%,17%,9.9%,43.2%
956,Illinois College Blue Boys,22,100%,81.5,80.5,0.988,32,29.9,61.8,48.3%,56%,15.3%,10.6%,8.1%,44.5%
957,Idaho Vandals,31,100%,76.5,68.2,0.892,33.8,24.1,57.9,41.6%,48.8%,14.1%,12%,8%,39.9%
958,Idaho State Bengals,30,100%,79.9,74,0.926,32.9,27.2,60.1,45.2%,51%,14.2%,12.5%,8.7%,42.8%
959,Huston-Tilloston Rams,8,100%,89,77.3,0.868,35.6,28.5,64.1,44.4%,49%,16.7%,12.9%,9.3%,41.9%
960,Husson,24,100%,89.2,68,0.763,37.8,24.5,62.3,39.3%,44.2%,19.2%,13.1%,9.3%,35.8%
961,Huntington University Foresters,30,100%,84.5,85.4,1.011,34.3,32.3,66.6,48.5%,54.5%,12.2%,11.8%,8.8%,46.1%
962,Huntingdon Hawks,24,100%,89.6,78,0.87,35.8,26.5,62.3,42.5%,50.1%,18.7%,13.9%,7.9%,39.6%
963,Hunter College Hawks,24,100%,84.2,70.4,0.837,34.8,26.1,60.9,42.9%,49.2%,18.8%,10.5%,7.4%,38.1%
964,Humboldt State Lumberjacks,27,100%,82.4,73.8,0.895,34.9,26,60.9,42.7%,49.4%,15.2%,12.8%,8.2%,41.3%
965,Howard Payne Yellow Jackets,28,100%,92,87.8,0.955,34.5,30.7,65.2,47%,53.7%,16.4%,15.5%,10.8%,44.2%
966,Howard Bison,32,100%,85.1,79.4,0.932,32.8,28.1,60.9,46.2%,52.4%,16.3%,14.7%,10.4%,43.4%
967,Houston Cougars,35,100%,76.7,64.1,0.836,32.5,21,53.6,39.3%,45.3%,16.5%,16.1%,10.3%,39%
968,Houston Baptist Huskies,31,100%,85.6,83.1,0.971,31.9,29.3,61.2,47.8%,55%,16.9%,13.5%,8.4%,44.3%
969,Houghton College Highlanders,20,100%,84.3,78.6,0.932,36.3,29.6,65.9,44.9%,51.1%,12.5%,11.4%,8.1%,42.9%
970,Hope International Royals,28,100%,84.6,64.6,0.764,39.1,23.1,62.2,37.1%,42%,16.2%,12.1%,8.1%,35.7%
971,Hope College Flying Dutchmen,27,100%,84,79.6,0.947,32.6,28.7,61.4,46.8%,53.3%,15.5%,13.8%,9.5%,43.6%
972,Hood,25,100%,90.6,82.3,0.909,33.7,29.3,63,46.5%,54.6%,20.1%,12.1%,6.8%,41.1%
