#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
218,Howard Payne Yellow Jackets,28,4.7%,4.3,3.5,0.81,1.6,0.9,2.5,35.7%,37.1%,14%,33.1%,24%,45.5%
219,Rose-Hulman,27,4%,3.1,2.6,0.812,1.4,1,2.4,43.1%,43.8%,12.9%,12.9%,8.2%,41.2%
220,Hendrix College,30,4.2%,3.8,3.1,0.814,1.5,1,2.4,39.7%,42.5%,19.5%,20.4%,17.7%,40.7%
221,Finlandia Lions,14,4.6%,3.9,3.1,0.815,1.8,1.4,3.1,43.2%,44.3%,13%,9.3%,9.3%,40.7%
222,Case Western Reserve Spartans,25,3.8%,3.2,2.6,0.815,1.8,1,2.8,37.1%,43.6%,9.9%,8.6%,8.6%,35.8%
223,Birmingham Southern College Panthers,27,3.4%,3,2.4,0.815,1.6,0.9,2.5,37.3%,43.3%,11.1%,9.9%,8.6%,35.8%
224,Piedmont Lions,28,3.6%,3.1,2.5,0.816,1.4,0.8,2.2,35.5%,36.3%,13.8%,23%,16.1%,41.4%
225,Brandeis Judges,25,4.2%,3.5,2.8,0.816,1.3,1.1,2.4,45%,48.3%,23%,12.6%,9.2%,39.1%
226,Ferrum Panthers,26,2.8%,2.3,1.9,0.817,1,0.8,1.8,42.6%,43.6%,15%,8.3%,8.3%,40%
227,Wisconsin-(Oshkosh) Titans,33,6.9%,5.2,4.2,0.819,2.3,1.7,4,42.1%,43.6%,15.8%,9.9%,8.2%,39.2%
228,Berry College Vikings,28,3.9%,3.6,2.9,0.82,1.5,1.1,2.6,43.8%,45.9%,17%,11%,10%,40%
229,Caltech Beavers,25,4.9%,4,3.3,0.822,1.6,1.2,2.8,42.9%,45%,16.8%,13.9%,11.9%,42.6%
230,Albright Lions,26,7.9%,7.2,5.9,0.823,3,2.3,5.3,43.1%,45.3%,15.1%,12.4%,9.7%,39.8%
231,Wheaton (MA) Lyons,26,6.9%,5.5,4.5,0.824,2.5,1.8,4.3,42%,46.4%,14.8%,9.9%,8.5%,37.3%
232,Fairleigh Dickinson - Florham Devils,23,3.5%,3,2.4,0.824,1.1,1,2.1,46.9%,49%,16.2%,13.2%,11.8%,42.6%
233,Eastern Nazarene College Lions,24,4.6%,3.8,3.1,0.824,1.6,1,2.5,37.7%,42.6%,17.6%,17.6%,12.1%,38.5%
234,North Central (IL) College Cardinals,28,7.8%,5.9,4.9,0.825,3,1.8,4.8,37%,40.7%,9%,10.2%,7.2%,39.2%
235,Wilkes,27,5.6%,4.5,3.7,0.826,1.9,1.4,3.3,42.7%,47.2%,18.2%,10.7%,9.1%,38.8%
236,Heidelberg,25,5.3%,4.6,3.8,0.826,2.2,1.2,3.4,35.3%,41.8%,13.9%,14.8%,11.3%,37.4%
237,Dominican (IL) Stars,25,4.4%,3.7,3,0.826,1.5,1.2,2.7,44.8%,46.3%,18.5%,15.2%,13%,39.1%
238,East Texas Baptist Tigers,29,8.6%,8,6.6,0.827,3.8,2.3,6,37.7%,41.1%,10.8%,15.6%,13%,40.7%
239,New York University Violets,24,5.9%,5.1,4.2,0.828,2.5,1.6,4.1,39.8%,43.4%,11.5%,8.2%,4.9%,40.2%
240,Covenant College Scots,28,7.3%,6.7,5.5,0.829,2.4,2,4.4,46%,48%,19.3%,17.6%,16.6%,42.2%
241,Centenary University Cyclones,24,5.9%,4.7,3.9,0.83,1.8,1.4,3.3,43.6%,46.2%,15.2%,17.9%,14.3%,41.1%
242,York (NY) Cardinals,18,4.8%,4.3,3.6,0.831,1.9,1.1,2.9,35.8%,41.5%,15.6%,16.9%,10.4%,39%
243,Muhlenberg Mules,25,4%,3.3,2.8,0.831,1.4,1,2.4,40%,43.3%,18.1%,14.5%,13.3%,37.3%
244,Belhaven Blazers,25,3%,2.8,2.4,0.831,1,0.9,1.9,45.8%,47.9%,14.1%,21.1%,15.5%,40.8%
245,Salem State Vikings,12,5.6%,5,4.2,0.833,1.9,1.8,3.8,48.9%,53.3%,23.3%,3.3%,3.3%,38.3%
246,Pacific Lutheran Lutes,24,5.5%,4.8,4,0.833,1.8,1.2,3,40.3%,44.4%,18.4%,18.4%,14%,42.1%
247,New England Col.,8,4.9%,4.5,3.8,0.833,1.9,1.4,3.3,42.3%,46.2%,16.7%,13.9%,8.3%,38.9%
248,Carroll (WI) Pioneers,25,6.4%,4.8,4,0.833,1.7,1.3,3,43.4%,48.7%,22.5%,18.3%,15%,40%
249,Monmouth (IL),18,5.6%,4.4,3.7,0.835,1.9,1.4,3.3,41.7%,45%,10.1%,17.7%,11.4%,39.2%
250,Spalding Golden Eagles,17,4.1%,3.2,2.7,0.836,1.4,1.1,2.5,44.2%,48.8%,14.5%,10.9%,9.1%,38.2%
251,Clarkson University Golden Knights,25,3.6%,2.9,2.4,0.836,1.2,0.6,1.8,35.6%,37.8%,16.4%,24.7%,17.8%,42.5%
