#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
263,Rhode Island College Anchormen,20,12.1%,10.1,7.3,0.726,4.9,2.4,7.3,32.4%,36.9%,15.4%,12.9%,9.5%,35.3%
264,Rivier,10,11.6%,10.1,7.3,0.723,5.5,2.9,8.4,34.5%,38.1%,11.9%,8.9%,8.9%,32.7%
265,St. Mary's (MD) Seahawks,26,8.8%,7.2,5.2,0.723,2.6,1.9,4.5,41.9%,44.4%,26.6%,13.3%,10.1%,36.2%
266,Brooklyn Bulldogs,22,7.3%,6.2,4.5,0.721,3.2,1.6,4.8,34%,37.7%,15.4%,9.6%,7.4%,33.1%
267,UMass Boston Beacons,25,11.4%,9.8,7,0.721,4.7,2.6,7.4,35.9%,38.9%,15.6%,10.7%,8.2%,34.8%
268,Regis College (MA) Pride,26,10.9%,9.3,6.7,0.72,4.2,2.5,6.7,37.6%,42.2%,20.2%,9.1%,7%,34.2%
269,Wesley Wolverines,26,5.9%,4.9,3.5,0.719,2.1,1.2,3.3,36.5%,40%,23.4%,12.5%,11.7%,34.4%
270,Calvin Knights,26,10.8%,9.2,6.6,0.717,4.6,2.6,7.2,36.4%,41.7%,17.9%,4.2%,3.3%,32.1%
271,SUNY Old Westbury Panthers,10,8.7%,7.4,5.3,0.716,3.3,1.8,5.1,35.3%,39.2%,20.3%,12.2%,8.1%,35.1%
272,Beloit Buccaneers,19,9.4%,7.9,5.6,0.713,4.2,2,6.2,32.2%,39.8%,16%,6%,4.7%,30%
273,Medgar Evers Cougars,18,6.2%,5.8,4.1,0.712,2.7,1.7,4.3,38.5%,44.2%,21.2%,4.8%,3.8%,32.7%
274,City College of New York (CCNY) Beavers,20,13.6%,11.3,8,0.711,5.5,2.9,8.4,34.7%,40.1%,20%,8%,5.8%,31.1%
275,Gallaudet University Bison,23,12.1%,10.7,7.6,0.711,5.3,2.7,8,34.2%,38%,15%,13.4%,12.6%,34.1%
276,La Verne Leopards,26,7.6%,6.4,4.5,0.711,2.5,1.8,4.2,41.8%,43.2%,24.7%,10.8%,8.4%,35.5%
277,Pfeiffer University Falcons,24,1.7%,1.9,1.3,0.711,0.7,0.5,1.2,41.4%,44.8%,26.7%,11.1%,8.9%,33.3%
278,UC Santa Cruz Banana Slugs,25,8.1%,6.9,4.9,0.711,2.6,1.8,4.3,40.7%,44.9%,24.9%,15%,8.7%,34.7%
279,Franciscan University of Steubenville Barons,26,8.3%,7,5,0.71,2.7,1.8,4.5,39.7%,43.1%,26.8%,14.2%,11.5%,33.9%
280,Colby Mules,24,11.6%,10.5,7.4,0.709,4.4,2.7,7.1,37.6%,42.6%,22.7%,10%,8%,33.9%
281,Geneva Golden Tornadoes,27,12.4%,9.8,7,0.709,4.9,2.6,7.5,35.1%,37.4%,14.3%,12.8%,10.9%,35.1%
282,Frostburg State Bobcats,27,6.9%,6.2,4.4,0.708,3,1.8,4.8,36.9%,39.2%,17.3%,7.7%,7.1%,33.9%
283,North Central (MN) Rams,26,7.4%,6.2,4.4,0.708,2.7,1.4,4.1,34.9%,38.7%,21.1%,16.1%,10.6%,34.2%
284,Berkeley (NJ) Knights,1,17%,17,12,0.706,7,4,11,36.4%,40.9%,23.5%,11.8%,11.8%,35.3%
285,North Carolina Wesleyan Battling Bishops,29,7.5%,7,5,0.706,3.3,2,5.3,37.7%,39.9%,16.7%,8.3%,5.9%,34.3%
286,PennState-Altoona,26,5.8%,5.3,3.8,0.705,2.5,1.4,4,35.9%,37.9%,16.5%,9.4%,7.2%,34.5%
287,St. Scholastica Saints,26,5.1%,4.2,2.9,0.704,1.8,1,2.8,35.1%,38.5%,22.2%,12%,8.3%,33.3%
288,Coe College Kohawks,26,10.3%,7.9,5.5,0.702,3.3,2,5.2,37.5%,40.8%,24.4%,11.2%,8.3%,33.7%
289,Randolph-Macon Yellow Jackets,26,9%,6.8,4.8,0.702,3.1,2,5.1,38.6%,39.8%,18%,11.2%,10.1%,35.4%
290,Millsaps Majors,28,9.8%,8.3,5.8,0.701,3.9,2.2,6.1,36.5%,40%,18.6%,9.5%,8.7%,33.3%
291,Rockford Regents,27,9.8%,8.6,6,0.7,3.7,2.6,6.2,41.1%,42.6%,21%,9.9%,7.7%,35.2%
292,Otterbein,24,17.2%,13.6,9.5,0.699,6.3,3.5,9.8,35.9%,39.5%,20.9%,8.3%,7.1%,33.1%
293,D'Youville,23,8.3%,7.8,5.4,0.698,3.3,2,5.3,37.2%,40.5%,22.9%,10.6%,8.4%,34.6%
294,Kean University Cougars,27,4.4%,3.6,2.5,0.698,1.6,0.9,2.4,34.8%,43.2%,22.9%,8.3%,8.3%,31.3%
295,MacMurray College Highlanders,21,8.4%,7.6,5.3,0.698,3.4,1.8,5.2,34.9%,40.4%,23.9%,8.8%,6.9%,30.8%
296,Pacific Lutheran Lutes,24,12.2%,10.2,7.1,0.698,4.3,2.6,6.9,38.2%,40%,20.4%,15.1%,11%,35.5%
297,Ferrum Panthers,26,13.1%,10.3,7.2,0.697,4.4,2.7,7.2,38.2%,42.2%,23.2%,8.2%,6.7%,33%
298,Hardin-Simmons Cowboys,26,10.4%,9.2,6.4,0.696,4.2,2.5,6.7,37.1%,38.9%,19.2%,9.6%,7.5%,34.2%
299,Muhlenberg Mules,25,16.1%,13.4,9.3,0.695,6.3,3.7,10,36.8%,39.8%,18.6%,8.4%,6.6%,33.5%
300,Caltech Beavers,25,10.6%,8.6,6,0.693,3.1,2.2,5.3,41.4%,43.6%,25.1%,14.9%,9.8%,36.3%
301,Franklin & Marshall Diplomats,29,9.8%,8.2,5.7,0.693,4,1.7,5.7,29.1%,35.5%,19.3%,12.6%,11.8%,31.1%
302,Wisconsin Lutheran Warriors,25,12.4%,11,7.6,0.693,5.1,2.8,7.8,35.2%,38.3%,18.2%,12.4%,9.9%,34.3%
303,Connecticut College Camels,23,6.6%,5.5,3.8,0.69,2.6,1.4,4,35.9%,38.6%,19.8%,10.3%,7.9%,32.5%
304,Olivet Comets,29,9.9%,9,6.2,0.69,4,2.4,6.4,37.3%,40.3%,20.3%,8.8%,5.7%,33.7%
305,Green Mountain,4,13.4%,12,8.3,0.688,5.8,3.3,9,36.1%,38.9%,18.8%,8.3%,4.2%,33.3%
306,Berry College Vikings,28,8.2%,7.6,5.3,0.687,3.8,2,5.8,34.2%,37.6%,15.4%,11.2%,9.8%,33.6%
307,Dickinson (PA) Red Devils,26,13.3%,10.1,6.9,0.687,3.9,2.6,6.5,40.2%,42.6%,26.3%,9.9%,6.9%,33.6%
308,Carleton College Knights,26,11.6%,9.1,6.2,0.686,3.2,2.5,5.7,43.6%,46%,27.5%,11.4%,7.6%,34.3%
309,North Park Vikings,26,9.7%,7.3,5,0.686,3.6,1.9,5.5,35%,40.6%,20.4%,6.3%,5.2%,30.4%
310,Fairleigh Dickinson - Florham Devils,23,7.6%,6.3,4.3,0.685,3,1.5,4.5,34%,37.4%,17.1%,13.7%,11%,34.2%
311,Washington (MD)  Shoremen,26,11.9%,9.9,6.8,0.685,4,2.3,6.3,37.2%,38.7%,23.3%,14.8%,10.1%,34.6%
312,Lebanon Valley,28,6.6%,5.5,3.8,0.682,2.6,1.5,4.1,36%,39.5%,20.8%,5.2%,2.6%,31.8%
313,Northwestern (MN),27,8.8%,6.9,4.7,0.681,3.3,2,5.3,38.2%,38.5%,17.8%,5.4%,4.9%,34.1%
314,Trine University Thunder,25,4.9%,4,2.7,0.68,1.9,1.1,3,37.3%,41.3%,20%,6%,3%,32%
315,Washington and Lee Generals,27,7.5%,6.6,4.5,0.68,3.1,1.9,5,37%,40.7%,19.1%,7.9%,6.2%,31.5%
316,Wisconsin-(La Crosse) Eagles,26,12.1%,9.5,6.5,0.68,4.2,2.7,6.9,38.9%,41.9%,23.1%,4.5%,3.2%,32.4%
317,Franklin Grizzlies,25,6.6%,5.2,3.6,0.679,2.6,1.5,4.1,36.9%,38.3%,16.8%,7.6%,6.1%,32.8%
318,St. Lawrence Saints,25,10.9%,9.1,6.2,0.678,4.4,2.3,6.7,34.1%,37.1%,17.6%,9.7%,7%,33%
319,Lake Forest Foresters,17,9.8%,7.5,5.1,0.677,3.2,2.1,5.3,40%,42.2%,24.4%,4.7%,3.9%,33.1%
320,Haverford Fords,24,5.4%,4.5,3,0.676,1.5,1,2.5,41.7%,48.3%,34.3%,11.1%,7.4%,30.6%
321,Westminster (MO) Blue Jays,18,9.9%,8.2,5.6,0.676,4.7,2.1,6.8,31.1%,35.2%,11.5%,7.4%,5.4%,30.4%
322,US Merchant Marine Academy,8,6.1%,5,3.4,0.675,2.9,1.4,4.3,32.4%,36.8%,12.5%,2.5%,0%,30%
323,Rowan University,27,10.7%,9.8,6.6,0.674,4.2,2.2,6.4,34.3%,38.7%,23.1%,12.9%,6.8%,32.2%
324,Wheaton (IL),26,4.2%,3.4,2.3,0.674,1.5,0.6,2.1,27.3%,30%,18%,22.5%,15.7%,36%
325,Elms,4,13.5%,12.3,8.3,0.673,5.5,3,8.5,35.3%,41.2%,24.5%,6.1%,4.1%,30.6%
326,St. Thomas (MN) Tommies,26,5.1%,4,2.7,0.673,1.8,0.9,2.7,34.3%,38.6%,23.1%,9.6%,7.7%,31.7%
327,SUNY Canton Kangaroos,22,14.5%,12.9,8.6,0.671,6.2,3,9.2,32.2%,36.4%,19.1%,11.7%,8.1%,31.1%
328,SUNY New Paltz Hawks,25,9%,7.9,5.3,0.67,3.6,2,5.6,35%,39.3%,21.3%,9.1%,7.1%,31%
329,Saint Vincent Bearcats,26,8.5%,6.7,4.5,0.669,3.2,1.7,4.9,35.2%,36.3%,16%,12.6%,8.6%,34.3%
330,Gettysburg College Bullets,25,7.6%,5.6,3.8,0.667,2.6,1.4,4,34.3%,36.9%,19.9%,12.8%,10.6%,31.9%
331,Farmingdale State Rams,26,12.3%,10.7,7.1,0.665,4.9,2.5,7.3,33.5%,37.7%,23%,9.7%,7.6%,30.9%
332,Iowa Wesleyan Tigers,19,9.9%,8.5,5.6,0.665,4.1,2.2,6.3,34.5%,36.6%,18.6%,8.7%,6.2%,31.7%
333,Linfield College Wildcats,27,5.4%,4.4,2.9,0.664,1.8,1,2.8,34.7%,40.7%,26.1%,10.9%,9.2%,31.9%
334,Morrisville State,16,8.3%,7.1,4.7,0.664,3.9,1.8,5.6,31.1%,35%,15%,7.1%,5.3%,30.1%
335,Occidental Tigers,25,5%,3.9,2.6,0.663,2.2,0.9,3.2,29.1%,31.6%,11.2%,9.2%,9.2%,31.6%
336,Allegheny Gators,25,22.7%,18.5,12.2,0.662,9.2,4.7,14,33.8%,38.1%,17.3%,7.6%,6.7%,31.2%
337,Elmhurst College Blue Jays,25,9.9%,8.2,5.4,0.662,4.1,1.8,6,30.9%,35.6%,16.2%,11.8%,8.3%,30.9%
338,Salve Regina Seahawks,26,12.9%,11.2,7.4,0.662,4.8,2.7,7.5,36.2%,39.3%,23.8%,10.7%,7.9%,31.7%
339,Centenary University Cyclones,24,10%,7.9,5.2,0.661,4,1.9,5.9,32.4%,35.2%,15.9%,9%,4.8%,31.2%
340,Mount St. Vincent Dolphins,11,12.4%,10.7,7.1,0.661,4.8,2.4,7.2,32.9%,34.2%,18.6%,16.1%,10.2%,35.6%
341,Maine Presque Isle Owls,21,10.6%,9,5.9,0.66,3.9,2.2,6.1,36.7%,41.4%,23.9%,8.5%,6.4%,31.4%
342,Wilson,17,6.4%,5.5,3.6,0.66,2.2,1.4,3.5,38.3%,39.2%,27.7%,13.8%,10.6%,30.9%
343,Alfred State Pioneers,15,5.9%,5.3,3.5,0.658,2.1,1.5,3.5,41.5%,42.5%,26.6%,6.3%,3.8%,32.9%
344,Lasell,27,5%,4.1,2.7,0.658,2.2,0.9,3.1,29.4%,32.9%,13.5%,11.7%,6.3%,30.6%
345,Huntingdon Hawks,24,12%,11.5,7.5,0.655,5.5,2.7,8.3,32.8%,37.4%,18.2%,11.3%,8%,31.3%
346,Austin College Roos,24,6.9%,6.4,4.2,0.654,3.1,1.8,4.9,36.8%,40.2%,20.9%,5.2%,5.2%,30.1%
347,Saint Elizabeth Eagles,12,7.4%,6.8,4.4,0.654,2.9,1.5,4.4,34%,37.7%,24.7%,12.3%,8.6%,30.9%
348,University of Dallas,24,15.4%,13.4,8.8,0.654,6,3.4,9.4,36%,37.1%,20.9%,10.9%,8.7%,33.3%
349,Willamette Bearcats,25,5.8%,4.8,3.2,0.653,2,1.1,3.2,35.4%,36.1%,24%,13.2%,7.4%,33.1%
350,Marywood Pacers,26,9%,7.2,4.7,0.652,3,1.5,4.5,33.6%,37.9%,23%,16%,11.8%,32.1%
351,Rosemont Ravens,27,7.1%,6,3.9,0.652,2.6,1.4,4,34.6%,37.9%,23.6%,11.2%,9.3%,32.3%
352,Spalding Golden Eagles,17,15.6%,12,7.8,0.652,5.9,3.1,9,34%,38.2%,19.6%,6.4%,5.4%,29.9%
353,SUNY Cobleskill Fighting Tigers,11,7.3%,6.3,4.1,0.652,2.5,1.4,3.9,34.9%,39.5%,24.6%,14.5%,8.7%,31.9%
354,Pitt Greensburg Bobcats,23,11.9%,9.5,6.2,0.651,4.3,2,6.3,31.7%,36.6%,23.4%,11%,7.3%,31.2%
355,Chatham University Cougars,25,8%,6.2,4,0.649,3,1.4,4.4,31.8%,35.5%,20.1%,9.7%,7.1%,30.5%
356,Bridgewater College Eagles,28,13.1%,11.4,7.4,0.648,5.1,2.5,7.6,33.3%,38.5%,25.8%,9.7%,7.9%,28.9%
357,Amherst College Mammoths,25,10.2%,8.7,5.6,0.647,4,2,6,33.8%,37.4%,22.9%,9.6%,8.3%,30.3%
358,Thomas (ME) Terriers,4,4.9%,4.3,2.8,0.647,2.3,1.3,3.5,35.7%,35.7%,11.8%,5.9%,5.9%,35.3%
359,Ithaca College,25,14.7%,12.8,8.2,0.646,6.3,3.1,9.4,33.1%,34.3%,16%,11%,8.2%,33.2%
360,Albright Lions,26,7.3%,6.6,4.3,0.645,3.3,1.5,4.9,31.5%,36.2%,18%,10.5%,6.4%,29.1%
361,Pine Manor,14,8.8%,8.4,5.4,0.644,4.4,1.6,6,27.4%,32.1%,17.8%,12.7%,9.3%,29.7%
362,Shenandoah University Hornets,28,15.2%,13.6,8.8,0.643,6.7,3.1,9.9,31.9%,36.8%,20.5%,10%,8.7%,29.7%
363,Marymount (VA) Saints,25,5.4%,4.4,2.8,0.642,1.8,1,2.8,36.2%,39.9%,26.6%,11%,11%,32.1%
364,Wisconsin-(River Falls) Falcons,27,7%,5.5,3.5,0.642,2.5,1.3,3.8,34%,35.9%,21.6%,9.5%,6.1%,31.8%
365,Macalester College Scots,24,9.5%,9.2,5.9,0.641,4.4,2.1,6.5,32.5%,37.3%,20.9%,8.2%,7.7%,30.5%
366,Montclair State,25,3.1%,2.8,1.8,0.638,1.3,0.7,2,36%,38%,18.8%,10.1%,4.3%,31.9%
367,Mount Ida College Mustangs,14,5.3%,4.9,3.1,0.638,2.7,1.1,3.8,28.3%,31.1%,14.5%,8.7%,7.2%,30.4%
368,Elizabethtown College,23,12.3%,9.8,6.3,0.637,4.1,2.6,6.7,38.6%,41.2%,26.5%,6.6%,4.9%,30.5%
369,Johnson & Wales (RI) University Wildcats,20,2.3%,2.1,1.3,0.634,0.9,0.5,1.4,37%,37%,24.4%,9.8%,7.3%,34.1%
370,Oneonta State Red Dragons,29,8.8%,7.4,4.7,0.634,3.8,1.6,5.4,29.7%,34.8%,18.5%,11.1%,8.3%,28.7%
371,Ursinus Bears,27,6.4%,5.4,3.4,0.634,2.2,1.3,3.5,36.2%,40.4%,28.3%,9.7%,7.6%,29.7%
372,PennState-Harrisburg,25,6.4%,5.6,3.5,0.633,2.5,1.3,3.8,34%,38.8%,23.7%,10.1%,8.6%,29.5%
373,Clarks Summit University Defenders,26,8.7%,6.8,4.3,0.631,2.6,1.4,4,35%,37.9%,27.8%,14.8%,9.7%,32.4%
374,Delaware Valley,25,7.1%,6,3.8,0.631,2.2,1.2,3.4,34.5%,36.3%,28.2%,17.4%,12.1%,32.2%
375,Saint Mary's (MN) Cardinals,27,9.8%,7.8,4.9,0.63,3.6,1.6,5.3,31%,33.8%,21.8%,10.9%,8.1%,30.8%
376,SUNY Geneseo Knights,26,7.5%,5.9,3.7,0.63,3.1,1.3,4.3,29.2%,32.7%,16.9%,10.4%,8.4%,30.5%
377,Trinity College (CT) Bantams,24,11.3%,9.3,5.9,0.629,4.8,2.5,7.3,33.9%,35.1%,16.1%,8%,7.1%,31.3%
378,Bryn Athyn College,15,8.8%,7.5,4.7,0.628,3.9,1.5,5.4,27.2%,32.1%,19.5%,11.5%,9.7%,27.4%
379,LaGrange Panthers,25,6.3%,5.8,3.6,0.628,3,1.3,4.4,30.3%,33%,17.9%,8.3%,5.5%,29.7%
380,Marian University (WI) Sabres,25,8.1%,6.9,4.3,0.628,3.7,1.7,5.4,31.3%,34.3%,15.7%,7.6%,4.7%,29.1%
381,Hood,25,9.5%,8.9,5.6,0.626,4,2,6.1,33.6%,34.9%,21.6%,12.2%,9.5%,32.4%
382,Rust College Bearcats,7,7.9%,6.9,4.3,0.625,2.9,1.6,4.4,35.5%,48.4%,35.4%,0%,0%,22.9%
383,Vaughn College Warriors,1,19%,16,10,0.625,8,4,12,33.3%,33.3%,18.8%,6.3%,6.3%,31.3%
384,Hunter College Hawks,24,4.3%,3.5,2.2,0.624,1.6,0.8,2.4,31.6%,32.5%,22.4%,12.9%,11.8%,31.8%
385,Concordia (Chicago) Cougars,25,8.9%,8.3,5.2,0.623,4.2,1.9,6.1,31.6%,35.2%,20.3%,7.2%,6.3%,28.5%
386,Millikin Big Blue,24,8.7%,6.8,4.3,0.622,3.5,1.8,5.3,33.3%,36.9%,18.9%,4.9%,1.8%,28.7%
387,Thiel,25,7.1%,5.9,3.7,0.622,3.1,1.5,4.6,33%,36.5%,19.6%,4.1%,3.4%,28.4%
388,Salisbury Sea Gulls,27,7.5%,6.3,3.9,0.62,3.3,1.5,4.7,31.3%,32.4%,15.8%,11.7%,10.5%,31%
389,Baruch Bearcats,27,5.2%,4.2,2.6,0.619,1.8,0.9,2.7,33.3%,35.4%,24.8%,13.3%,6.2%,29.2%
390,Cornell College Rams,14,12.7%,10.3,6.4,0.618,4.6,2.5,7.1,35%,37%,24.3%,10.4%,8.3%,29.9%
391,McMurry,28,10.7%,9.4,5.8,0.617,4.6,2.2,6.8,32.1%,35.5%,20.1%,9.1%,8.3%,29.5%
392,La Roche Redhawks,27,14.4%,12.6,7.7,0.613,6.5,2.7,9.3,29.6%,31.4%,17%,12%,8.2%,29.9%
393,Mary Washington Eagles,27,12.9%,10.6,6.5,0.613,5.3,2.4,7.7,30.8%,34.9%,19.9%,9.8%,7.7%,27.9%
394,Knox,17,12.7%,10,6.1,0.612,4.6,2.4,7,33.6%,38.2%,25.9%,6.5%,5.9%,27.6%
395,Suffolk Rams,17,15%,11.4,6.9,0.611,5.1,2.4,7.5,31.5%,33.5%,21.2%,14%,7.8%,30.6%
396,Saint Joseph's (ME) Monks,24,10%,8.3,5,0.608,4,2,6,32.6%,35.1%,20.6%,8.5%,5.5%,29.6%
397,Castleton,4,7.1%,7,4.3,0.607,2.8,2,4.8,42.1%,44.7%,28.6%,7.1%,7.1%,28.6%
398,Keystone,24,7.6%,7,4.2,0.605,3.5,1.4,4.9,28%,31.8%,19.2%,11.4%,10.2%,29.3%
399,Sarah Lawrence College Gryphons,22,7.1%,5.9,3.5,0.6,2.7,1.2,3.9,30.2%,33.1%,23.8%,13.1%,12.3%,30%
400,Ozarks (AR) Eagles,27,6.5%,5.6,3.4,0.599,2.6,1.3,3.9,34.3%,35.7%,23.7%,9.9%,7.9%,28.3%
401,Wentworth Leopards,26,6.3%,5.1,3,0.598,2.2,1.1,3.3,32.9%,35.3%,26.5%,10.6%,7.6%,29.5%
402,Fredonia State Blue Devils,24,6.9%,5.8,3.5,0.597,3.2,1.4,4.5,30.3%,35.8%,16.5%,5%,2.9%,25.9%
403,Eastern Connecticut State University Warriors,18,11.2%,9.2,5.5,0.596,5.4,2,7.4,27.1%,30.8%,15.1%,7.2%,4.8%,26.5%
404,Sul Ross State Lobos,29,2.3%,2,1.2,0.596,1,0.4,1.4,31.7%,35.4%,22.8%,8.8%,8.8%,28.1%
405,Maine Maritime Academy Mariners,8,4.7%,4,2.4,0.594,2.3,0.9,3.1,28%,32%,18.8%,15.6%,12.5%,25%
406,Washington & Jefferson Presidents,25,7.6%,5.9,3.5,0.592,2.8,1.2,4,29%,29%,18.4%,17%,12.9%,31.3%
407,Bridgewater State Bears,9,10%,8.1,4.8,0.589,3.2,1.8,5,35.6%,42.2%,31.5%,6.8%,2.7%,26%
408,Salem State Vikings,12,9.9%,8.9,5.3,0.589,4.3,1.9,6.3,30.7%,34%,19.6%,13.1%,9.3%,29%
409,Pratt Institute Cannoneers,2,14.9%,12,7,0.583,5.5,2.5,8,31.3%,34.4%,25%,8.3%,8.3%,29.2%
410,John Jay Bloodhounds,25,5.6%,4.8,2.8,0.579,2.4,1,3.4,28.6%,29.8%,18.2%,14%,9.1%,28.9%
411,New England Col.,8,9.1%,8.4,4.8,0.567,4.4,1.8,6.1,28.6%,29.6%,14.9%,13.4%,11.9%,31.3%
412,Endicott College Gulls,28,3.5%,2.9,1.6,0.561,1.4,0.6,2,29.1%,36.4%,26.8%,8.5%,7.3%,24.4%
413,Curry,24,11.2%,9.8,5.4,0.551,4.4,2,6.5,31.6%,35.5%,27.5%,6.8%,4.7%,26.3%
414,Westfield State Owls,8,8.3%,7.8,4.3,0.548,4.1,1.5,5.6,26.7%,31.1%,19.4%,8.1%,8.1%,27.4%
415,Buffalo State Bengals,24,4%,3.6,2,0.54,2,0.8,2.8,27.9%,29.4%,17.2%,5.7%,2.3%,26.4%
416,Worcester State Lancers,9,9.6%,8.6,4.6,0.532,4,1.8,5.8,30.8%,33.7%,28.6%,3.9%,3.9%,24.7%
417,Grove City Wolverines,26,1.6%,1.3,0.7,0.529,0.6,0.3,0.9,34.8%,34.8%,26.5%,5.9%,5.9%,26.5%
418,York (NY) Cardinals,18,4.3%,3.9,2.1,0.529,1.5,0.8,2.3,35.7%,41.7%,35.7%,5.7%,2.9%,22.9%
419,Keuka,11,6.6%,5.3,2.7,0.517,2.3,0.9,3.2,28.6%,34.3%,31%,10.3%,8.6%,24.1%
420,SUNY Purchase Panthers,12,12.2%,10.3,5.3,0.508,5.1,2,7.1,28.2%,31.2%,24.2%,8.1%,4.8%,24.2%
421,Wheelock,7,9.8%,8.7,4.4,0.508,5,1.6,6.6,23.9%,27.2%,16.4%,9.8%,6.6%,24.6%
422,Finlandia Lions,14,13.2%,10.6,5.3,0.5,4.8,1.9,6.7,28.7%,30.3%,28.4%,8.8%,8.1%,25.7%
423,Mitchell College (CT) Mariners,9,10.1%,9.2,4.6,0.494,4.8,1.3,6.1,21.8%,24.5%,24.1%,9.6%,1.2%,22.9%
424,Southern Virginia Knights,25,3.6%,3,1.5,0.487,1.4,0.6,2,29.4%,29.4%,26.3%,6.6%,3.9%,25%
425,PennState-Berks,12,8.8%,8.2,3.9,0.48,3.4,1.3,4.7,26.8%,32.1%,33.7%,10.2%,7.1%,22.4%
426,Lesley Lynx,5,9.1%,6.6,2.8,0.424,2.8,1.4,4.2,33.3%,33.3%,36.4%,3%,3%,21.2%
427,Anna Maria AMCATS,18,2.5%,2,0.8,0.417,1.2,0.3,1.6,21.4%,25%,13.9%,8.3%,8.3%,19.4%
428,Fitchburg State,6,7.1%,6.5,2.7,0.41,2.8,1,3.8,26.1%,26.1%,35.9%,5.1%,2.6%,20.5%
429,St. Joseph's (LI) Eagles,9,11.3%,8.7,3.4,0.397,5.2,1.2,6.4,19%,20.7%,17.9%,7.7%,6.4%,19.2%
430,Newbury,5,3.4%,3.2,1.2,0.375,1.8,0.4,2.2,18.2%,22.7%,18.8%,12.5%,12.5%,18.8%
431,Colby-Sawyer Chargers,3,13%,12,2.3,0.194,8,1,9,11.1%,13%,25%,0%,0%,8.3%
432,Massachusetts College of Liberal Arts (MCLA),8,1.8%,1.5,0.3,0.167,1.3,0.1,1.4,9.1%,9.1%,8.3%,0%,0%,8.3%
