#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
109,Norwich,13,14%,11.2,9.3,0.829,4.2,3.4,7.6,44.4%,53%,24%,9.6%,6.2%,36.3%
110,Brandeis Judges,25,6.3%,5.1,4.2,0.828,2.2,1.7,3.8,43.8%,44.8%,15.6%,14.8%,11.7%,40.6%
111,Eastern Eagles,26,12.2%,10.3,8.5,0.828,4.7,3.2,7.9,40.3%,48.1%,16%,8.6%,4.5%,35.4%
112,Milwaukee School of Engineering,26,11.4%,9.2,7.6,0.828,3.5,2.6,6.1,42.1%,46.9%,19.7%,15.9%,13.4%,40.6%
113,SUNY Delhi Broncos,12,14.9%,13.5,11.2,0.827,7.4,4.3,11.8,36.9%,41.1%,4.3%,11.1%,8.6%,38.3%
114,Sewanee Tigers,25,15.6%,12.6,10.4,0.825,5.2,3.9,9,42.9%,47.6%,19.7%,12.1%,9.2%,37.9%
115,Southwestern University (TX) Pirates,27,8.9%,8,6.6,0.825,3.4,2.3,5.6,40.1%,45.1%,18.4%,13.4%,9.7%,39.2%
116,Bates College Bobcats,22,12.7%,10.6,8.7,0.824,5.3,3.3,8.6,38.4%,42.6%,11.2%,8.6%,6.4%,38.6%
117,Clarkson University Golden Knights,25,24.1%,19.3,15.9,0.824,8.4,5.9,14.3,41.3%,46.6%,17.8%,8.7%,7.5%,37.7%
118,North Central (IL) College Cardinals,28,9.4%,7.2,5.9,0.822,3.1,2.1,5.2,39.7%,42.8%,16.3%,15.3%,10.9%,39.6%
119,Adrian,27,3.8%,2.9,2.4,0.821,1.2,0.9,2.1,42.1%,45.6%,17.9%,11.5%,10.3%,39.7%
120,Maranatha Baptist,10,9%,7.8,6.4,0.821,3.1,2.5,5.6,44.6%,50%,20.5%,7.7%,3.8%,38.5%
121,Ohio Northern Polar Bears,29,10%,8.5,7,0.821,4,2.5,6.5,38.6%,45.2%,14.6%,10.2%,7.7%,36.2%
122,PennState-Abington,13,3.3%,3,2.5,0.821,1,0.8,1.8,45.8%,52.1%,28.2%,10.3%,7.7%,38.5%
123,St. John Fisher Cardinals,25,7.6%,6.5,5.3,0.821,2.2,2,4.2,46.7%,50.5%,24.1%,14.2%,8%,39.5%
124,Belhaven Blazers,25,5.8%,5.3,4.4,0.82,2.2,1.3,3.5,37.5%,42.6%,18.8%,19.5%,15%,39.1%
125,Johnson & Wales Denver Wildcats,21,14.2%,11.9,9.8,0.82,5.8,3.3,9.1,36.6%,41.1%,13.2%,13.2%,8.8%,37.6%
126,Goucher Gophers,25,9.7%,8,6.5,0.819,3.4,2.4,5.7,41.3%,46.9%,17.1%,12.6%,8.5%,38.7%
127,Texas Lutheran Bulldogs,27,11.4%,9.4,7.7,0.818,3.8,2.6,6.4,40.1%,44.8%,19.4%,15%,11.5%,39.1%
128,East Texas Baptist Tigers,29,10.9%,10.2,8.3,0.817,4.5,3.1,7.6,40.6%,43.4%,14.9%,13.6%,10.8%,40%
129,Greensboro College The Pride,28,9.3%,8.6,7,0.817,3.9,2.6,6.5,40.1%,45.3%,17.1%,9.2%,7.5%,37.1%
130,Hope College Flying Dutchmen,27,7.9%,6.7,5.4,0.817,3,2.1,5,41.2%,43.4%,14.4%,11.1%,6.1%,40%
131,Wooster Fighting Scots,28,16.2%,13.4,10.9,0.816,6.6,4.2,10.8,38.7%,42.5%,11%,9.4%,7.5%,39%
132,Worcester Polytechnic Engineers,28,5%,4.1,3.3,0.816,1.6,1.4,3,45.8%,51.2%,18.4%,9.6%,7%,37.7%
133,Cal Lutheran Kingsmen,21,6.3%,5.1,4.2,0.815,2.2,1.5,3.7,41%,45.5%,20.4%,10.2%,7.4%,37%
134,Trinity (TX) Tigers,28,9.9%,8.3,6.8,0.815,3.1,2.1,5.3,40.5%,42.2%,19.3%,20.2%,15.9%,41.6%
135,Averett University Cougars,26,16.5%,15.1,12.3,0.814,6.8,4.6,11.4,40.5%,43.6%,15.1%,11.7%,9.4%,39.3%
136,Wisconsin-(Whitewater) Warhawks,25,10.1%,7.5,6.1,0.814,2.9,2.1,5,42.1%,46.8%,20.7%,13.8%,8.5%,39.4%
137,Elmira,24,3.4%,3.1,2.5,0.813,1.4,0.9,2.3,38.9%,38.9%,13.3%,16%,13.3%,42.7%
138,Johns Hopkins Blue Jays,29,12.5%,9.6,7.8,0.813,3.7,2.7,6.4,42.2%,48.9%,20.9%,14%,10.4%,38.5%
139,Immaculata,24,7.3%,6.4,5.2,0.812,2.9,2,4.9,41.5%,45.8%,15.6%,8.4%,5.2%,37.7%
