#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
167,Guilford College Quakers,27,10.9%,8.6,6.3,0.74,3.7,2.4,6.1,39.2%,44%,19.9%,10%,7.8%,35.1%
168,SUNY Purchase Panthers,12,10.9%,9,6.7,0.741,4.8,2.3,7.2,32.6%,37.8%,12%,9.3%,8.3%,33.3%
169,SUNY Cobleskill Fighting Tigers,11,5.9%,4.9,3.6,0.741,2.2,1.4,3.5,38.5%,41%,18.5%,11.1%,7.4%,35.2%
170,St. Norbert Green Knights,16,14.7%,10.4,7.7,0.741,4.3,2.6,6.9,38.2%,43.6%,24.1%,12.7%,9.6%,34.9%
171,Kean University Cougars,27,2.4%,2,1.5,0.741,0.9,0.5,1.4,35.1%,37.8%,18.5%,14.8%,7.4%,35.2%
172,North Park Vikings,26,7.9%,6.1,4.5,0.742,2.8,1.5,4.3,35.1%,39.2%,17.6%,15.1%,10.1%,35.2%
173,Keystone,24,5.8%,5.2,3.8,0.742,1.8,1.4,3.2,43.4%,47.4%,26.6%,12.9%,10.5%,37.1%
174,Concordia (Moorhead) Cobbers,24,12.7%,9.8,7.3,0.742,4.8,2.4,7.2,33.1%,36.6%,15.3%,14.4%,11%,34.7%
175,Worcester Polytechnic Engineers,28,11.6%,9,6.7,0.743,3.7,2.3,6,37.7%,40.7%,21.7%,13.8%,10.3%,36%
176,Oswego State Lakers,27,9.3%,7.1,5.3,0.743,3.6,1.9,5.5,33.8%,37.2%,12.6%,11%,7.3%,35.6%
177,North Carolina Wesleyan Battling Bishops,29,9.1%,8.6,6.4,0.744,4,2.6,6.6,38.7%,42.4%,17.2%,7.6%,5.2%,35.6%
178,Wisconsin-(Oshkosh) Titans,33,13.6%,10.2,7.6,0.745,5,3.1,8.1,38.2%,40.8%,15.1%,6.2%,4.7%,35.6%
179,Goucher Gophers,25,6.6%,5.7,4.2,0.746,2.2,1.6,3.8,41.7%,43.2%,22.5%,13.4%,8.5%,36.6%
180,Hardin-Simmons Cowboys,26,9.3%,8.5,6.3,0.747,3.9,2.4,6.3,38%,43.6%,19%,10.4%,9.5%,34.4%
181,Gordon College,28,9.6%,8.9,6.6,0.747,4.1,2.4,6.5,37.2%,42.9%,20.1%,9.2%,6.8%,32.9%
182,Caltech Beavers,25,7.5%,6.2,4.6,0.747,2.8,1.7,4.5,37.5%,40.6%,18.2%,12.3%,10.4%,34.4%
183,La Roche Redhawks,27,9.9%,8.2,6.1,0.748,3.5,2.1,5.7,37.9%,42.2%,21.6%,12.6%,11.3%,35.6%
184,Hiram Terriers,26,15.4%,11.8,8.8,0.748,5.9,2.8,8.7,32.2%,36.6%,13.7%,14.4%,10.5%,35%
185,Union (NY) Dutchmen,27,15.9%,13.6,10.2,0.749,6.6,3.8,10.4,36.8%,41.1%,15.8%,9.8%,8.2%,35.1%
186,Monmouth (IL),18,13.7%,10.7,8,0.75,4.4,2.9,7.4,39.8%,43.6%,21.9%,10.4%,7.3%,35.9%
187,Medgar Evers Cougars,18,5%,4.7,3.5,0.75,2.3,1.3,3.6,35.9%,40.6%,14.3%,9.5%,7.1%,35.7%
188,Eureka Red Devils,22,8.7%,8.4,6.3,0.75,4.7,2.5,7.2,35.2%,41.5%,9.8%,4.9%,4.3%,32.1%
189,Spalding Golden Eagles,17,8.7%,6.9,5.2,0.752,3.1,2.1,5.2,39.8%,42.6%,19.7%,8.5%,8.5%,34.2%
190,Gustavus Adolphus,24,14.6%,11.1,8.4,0.753,5,3.2,8.2,38.6%,43.9%,19.1%,7.5%,5.6%,34.8%
