team_name,player_name,gp,team_ast,team_fg,team_id,player_id,MP,PTS,3P,AST,TO,FG,FT,FGA,STL,PF,FTA,TRB,ORB,DRB,BLK,pace_factor,factors,VOP,DRB%,uPER,Pace_Adjustment,aPER,aPER_Weights,PER
Carthage,Jordan_Thomas,24,13,26,7,25,33.9167,17.75,2.63,2.13,1.21,5.75,3.63,13.33,0.96,1.42,4.21,5.5,0.96,4.54,0,80.44,0.59963225,0.979272097,0.732420171,0.336971644,1.029011509,0.3467477,0.002872121,28.97867778
Carthage,Jordan_Vedder,12,13,26,7,26,8.5833,2.58,0.75,0.25,0.67,0.92,0,2.83,0,1.17,0,1.08,0.17,0.92,0.17,80.44,0.59963225,0.979272097,0.732420171,0.001026274,1.029011509,0.001056048,2.21E-06,0.088256868
Carthage,Kamal_Shasi,18,13,26,7,27,26.3889,5,0.78,3.44,1.44,1.56,1.11,4.28,1,2.44,1.28,4.33,0.72,3.61,0.33,80.44,0.59963225,0.979272097,0.732420171,0.151319903,1.029011509,0.155709921,0.00100349,13.01311484
Carthage,Kienan_Baltimore,13,13,26,7,28,27.4615,16.69,1.46,2.15,2.92,5.15,4.92,11.31,0.62,3.54,6.15,3.31,1.08,2.23,0.15,80.44,0.59963225,0.979272097,0.732420171,0.258270097,1.029011509,0.265762902,0.001782355,22.21055112
Carthage,Mike_Canady,19,13,26,7,29,8.4211,1.79,0.32,0.53,0.47,0.58,0.32,1.58,0.16,0.63,0.47,1,0.11,0.89,0,80.44,0.59963225,0.979272097,0.732420171,0.069659944,1.029011509,0.071680884,0.000147417,5.990572492
Carthage,Sean_Johnson,23,13,26,7,30,15.7826,3.83,0,0.39,0.57,1.48,0.87,2.57,0.17,1.65,1.61,3.83,1.3,2.52,2,80.44,0.59963225,0.979272097,0.732420171,0.237522923,1.029011509,0.244413822,0.000942063,20.42634858
Carthage,Steve_Leazer,25,13,26,7,31,16.48,3.04,0.56,0.96,0.4,0.92,0.64,3.48,0.4,1.84,1.24,1.96,0.4,1.56,0.16,80.44,0.59963225,0.979272097,0.732420171,0.036406262,1.029011509,0.037462462,0.000150775,3.130843052
Carthage,Tj_Best,16,13,26,7,32,7.6875,1.25,0.19,0.19,0.44,0.38,0.31,1.19,0.19,0.44,0.38,0.19,0,0.19,0,80.44,0.59963225,0.979272097,0.732420171,-0.002884686,1.029011509,-0.002968375,-5.57E-06,-0.24807543
Chicago,Cole_Schmitz,20,15,21,12,34,7.95,2,0,0.9,0.2,0.95,0.1,2.35,0.3,0.8,0.1,2.1,0.85,1.25,0.05,81.62,0.59963225,0.979272097,0.732420171,0.213656814,1.014134842,0.216676819,0.000420683,18.10828949
Chicago,Collin_Barthel,23,15,21,12,35,31.1304,13.39,0.87,2.3,2.04,4.48,3.57,10.52,1.09,2.04,4.65,8.74,2.43,6.3,0.3,81.62,0.59963225,0.979272097,0.732420171,0.266514157,1.014134842,0.270281292,0.002054831,22.58816564
