Game_Date(mm/dd/yyyy),Team_ID,Game_ID,Team_Game_Status_ID,Game_Name,Final_Points,First_Half,Second_Half,OT,Series_Win,Home_Win,Home_Loss,Away_Win,Away_Loss,Season_Win,Season_Loss,Total_Min,Average_SST,"Average_SST
ex
Pts",Pts,Average_PPP,Total_Ast,Total_T/O,"Average_Ast/
TO",Total_Stl,"Total_Stl
Pos",Total_Blk,"Total_Ttl
Reb","Total_Off
Reb","Total_Def
Reb",Total_FGA,Total_FGM,Total_FGm,Average_FG%,Average_aFG%,"Total_2
FGA","Total_2
FGM","Total_2
FGm","Average_2
FG%","Total_3
FGA","Total_3
FGM","Total_3
FGm","Average_3
FG%",Total_FTA,Total_FTM,Total_FTm,Average_FT%,Total_+1,"Total_PF
Tkn","Total_PF
Com"
12/18/2018,10,10,2,Fontbonne@IllinoisTech,71,27,44,,0,2,5,1,7,3,12,40,0.78,0.23,71,0.82,16,13,1.23,4,10,1,27,4,23,65,27,38,0.415,0.462,47,21,26,0.447,18,6,12,0.333,12,11,1,0.917,2,10,19
12/18/2018,20,10,1,Fontbonne@IllinoisTech,74,39,35,,1,7,3,5,4,12,7,40,0.96,0.36,74,0.82,8,15,0.53,10,4,6,42,12,30,61,29,32,0.475,0.5,44,26,18,0.591,17,3,14,0.176,22,13,9,0.591,1,18,17
12/13/2018,11,11,1,IllinoisTech@CornellCollege,69,28,41,,1,4,2,3,5,7,7,40,0.98,0.41,69,0.86,16,11,1.45,5,6,3,43,13,30,58,24,34,0.414,0.474,38,17,21,0.447,20,7,13,0.35,22,14,8,0.636,1,14,10
12/13/2018,20,11,2,IllinoisTech@CornellCollege,64,34,30,,0,7,3,5,4,12,7,40,0.68,0.32,64,0.83,14,9,1.56,6,5,2,32,7,25,65,26,39,0.4,0.469,43,17,26,0.395,22,9,13,0.409,7,3,4,0.429,1,6,20
12/10/2018,12,12,2,Chicago@IllinoisTech,54,22,32,,0,10,3,3,9,13,12,40,0.54,0.24,54,0.74,15,13,1.15,3,9,4,25,5,20,54,21,33,0.389,0.472,23,12,11,0.522,31,9,22,0.29,10,3,7,0.3,1,9,18
12/10/2018,20,12,1,Chicago@IllinoisTech,61,31,30,,1,7,3,5,4,12,7,40,0.91,0.34,61,0.76,4,10,0.4,10,3,4,40,13,27,56,22,34,0.393,0.393,43,22,21,0.512,13,0,13,0,24,17,7,0.708,0,13,13
12/2/2018,13,13,1,IllinoisTech@Albion,78,38,40,,0,5,6,4,8,9,14,40,1.06,0.32,78,0.95,15,15,1,10,5,3,28,10,18,54,27,27,0.5,0.556,38,21,17,0.553,16,6,10,0.375,25,18,7,0.72,2,22,30
12/2/2018,20,13,2,IllinoisTech@Albion,83,37,46,,1,7,3,5,4,12,7,40,1.08,0.16,83,1.06,14,17,0.82,5,10,1,22,3,19,43,25,18,0.581,0.674,29,17,12,0.586,14,8,6,0.571,32,25,7,0.781,0,20,24
11/29/2018,14,14,1,IllinoisTech@UWPlatteville,89,45,44,,1,16,3,8,2,24,5,40,1.19,0.52,89,1.19,25,8,3.12,8,3,3,38,9,29,61,35,26,0.574,0.664,39,24,15,0.615,22,11,11,0.5,14,8,6,0.571,1,9,24
11/29/2018,20,14,2,IllinoisTech@UWPlatteville,54,32,22,,0,7,3,5,4,12,7,40,0.7,0.22,54,0.62,7,14,0.5,3,8,2,34,13,21,57,16,41,0.281,0.307,43,13,30,0.302,14,3,11,0.214,31,19,12,0.613,1,21,17
11/26/2018,15,15,2,OlivetCollege@IllinoisTech,94,56,38,,1,9,5,6,8,15,13,40,1.15,0.4,94,1.15,18,13,1.38,11,5,6,30,6,24,62,37,25,0.597,0.677,45,27,18,0.6,17,10,7,0.588,15,10,5,0.667,2,11,22
11/26/2018,20,15,1,OlivetCollege@IllinoisTech,79,31,48,,0,7,3,5,4,12,7,40,1.14,0.36,79,0.82,13,15,0.87,6,11,3,40,19,21,70,22,48,0.314,0.386,36,12,24,0.333,34,10,24,0.294,31,25,6,0.806,1,16,17
11/25/2018,16,16,1,IllinoisTech@Kalamazoo,58,26,32,,0,5,7,3,10,8,17,40,0.68,0.23,58,0.67,8,16,0.5,14,5,2,22,8,14,57,20,37,0.351,0.395,40,15,25,0.375,17,5,12,0.294,24,13,11,0.542,0,14,23
11/25/2018,20,16,2,IllinoisTech@Kalamazoo,67,33,34,,1,7,3,5,4,12,7,40,0.92,0.22,67,0.75,13,27,0.48,5,14,4,42,13,29,50,19,31,0.38,0.46,30,11,19,0.367,20,8,12,0.4,24,21,3,0.875,1,17,18
11/21/2018,17,17,1,IllinoisTech@Rose-Hulman,59,27,32,,0,7,6,9,4,16,10,40,0.6,0.22,59,0.73,13,16,0.81,5,8,1,31,8,23,59,22,37,0.373,0.441,34,14,20,0.412,25,8,17,0.32,14,7,7,0.5,1,13,23
11/21/2018,20,17,2,IllinoisTech@Rose-Hulman,70,28,42,,1,7,3,5,4,12,7,40,0.98,0.29,70,0.96,10,13,0.77,8,5,5,33,5,28,48,23,25,0.479,0.531,38,18,20,0.474,10,5,5,0.5,28,19,9,0.679,2,20,17
11/18/2018,18,18,1,IllinoisTech@NorthPark,69,34,35,,0,3,11,2,9,5,20,40,0.93,0.34,70,0.8,13,17,0.76,4,10,3,45,17,28,58,26,32,0.448,0.474,41,23,18,0.561,17,3,14,0.176,27,15,12,0.556,3,18,21
11/18/2018,20,18,2,IllinoisTech@NorthPark,70,36,34,,1,7,3,5,4,12,7,40,0.87,0.29,69,0.9,8,10,0.8,10,4,4,27,7,20,57,23,34,0.404,0.482,30,14,16,0.467,27,9,18,0.333,21,14,7,0.667,1,13,24
11/17/2018,19,19,1,IllinoisTech@GustavusAdolphus,66,32,28,6,0,6,7,6,6,12,13,40,0.67,0.26,66,0.82,19,16,1.19,5,7,4,29,6,23,60,27,33,0.45,0.5,42,21,21,0.5,18,6,12,0.333,8,6,2,0.75,2,7,26
11/17/2018,20,19,2,IllinoisTech@GustavusAdolphus,70,36,24,10,1,7,3,5,4,12,7,40,0.86,0.28,70,0.88,14,10,1.4,8,5,1,31,7,24,56,25,31,0.446,0.464,41,23,18,0.561,15,2,13,0.133,28,18,10,0.643,4,17,13
