team_id,team_name,player_id,player_name,PTS,3P,AST,TO,FG,FT,FGA,STL,PF,FTA,TRB,ORB,DRB,BLK
12,Chicago,47,Ryan_Jacobsen,7.27,0.14,1.09,1.36,2.73,1.68,5,0.45,2.68,3.27,6.09,2.45,3.64,0.32
12,Chicago,48,Ryan_Shearmire,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,Chicago,49,Sam_Sustacek,4,0,0.68,0.6,1.56,0.88,2.64,0.24,1.48,1.68,2.72,1.08,1.64,0.04
11,CornellCollege,50,Austin_Dyer,0.57,0,0.29,0.57,0.29,0,1.14,0,0.43,0,1.57,0.86,0.71,0.14
11,CornellCollege,51,Brad_Hund,8.64,0.43,1.07,1.57,3.57,1.07,6.86,0.29,2,2.29,5.71,1.86,3.86,0.64
11,CornellCollege,52,Carron_Watt,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0
11,CornellCollege,53,Cody_Carter,2.62,0.62,0.62,0.92,0.92,0.15,2.92,0.31,0.46,0.31,1.69,0.38,1.31,0.15
11,CornellCollege,54,Cooper_Kabela,3,0.14,0.43,0.57,1.07,0.71,2.07,0.14,0.43,1,1.86,0.36,1.5,0.14
11,CornellCollege,55,Corey_Davis,12.71,0.21,4.14,3.79,4.43,3.64,9.79,2.86,2,5.64,4.79,0.79,4,0.21
11,CornellCollege,56,Craig_Engle,4.33,0.83,1.17,1.08,1.25,1,4,0.17,1.08,1.08,1.08,0.08,1,0
11,CornellCollege,57,Dylan_Murdock,0.4,0,0.2,0.2,0.2,0,0.4,0.2,0,0,0.6,0,0.6,0
11,CornellCollege,58,Eric_Medenblik,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,CornellCollege,59,Jan_Siegien,4,0.83,0.33,0.83,1.42,0.33,4,0.33,0.75,0.67,1.17,0,1.17,0.08
11,CornellCollege,60,Jon_Anderson,12.79,0,0.29,1.36,4.64,3.5,7.79,0.71,3.14,5.29,6.93,1.71,5.21,0.64
11,CornellCollege,61,Jordan_Heien,0.5,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0
11,CornellCollege,62,Jordan_Venters,3,0.8,0.2,0.4,1,0.2,2.4,0.4,0,0.4,0.2,0,0.2,0
11,CornellCollege,63,Kameron_Williams,1.67,0.33,0,0,0.67,0,3,0.33,0.33,0.33,1,0.33,0.67,0
11,CornellCollege,64,Keegan_Van_Kooten,1.93,0.21,0.5,0.93,0.64,0.43,3.5,0.43,1.5,0.79,1.43,0.5,0.93,0.36
11,CornellCollege,65,Michael_Drew,5.29,0.29,1,1.29,1.79,1.43,4.36,0.71,1.14,1.86,4,0.64,3.36,0
11,CornellCollege,66,Michael_Fiorito,5.07,1.14,1.36,1.5,1.5,0.93,4.29,0.5,1.14,1.57,1.64,0.14,1.5,0
11,CornellCollege,67,Scott_Gasik,3.5,1,0.17,0.17,1.17,0.17,2.5,0.17,0.67,0.67,0.83,0.5,0.33,0
3,DominicanIL,68,Andrew_Wojcik,2.69,0.25,0.88,0.94,0.88,0.69,2.13,0.19,0.88,0.94,0.75,0.06,0.69,0
3,DominicanIL,69,Antonio_Amoah,5.45,0.41,0.64,1.14,2.14,0.77,4.64,0.64,1.27,1.18,2.95,1,1.95,0.05
3,DominicanIL,70,Arrin_Westbrook,2.1,0.1,0.4,0.3,1,0,2.4,0,0.4,0,0.8,0.2,0.6,0
3,DominicanIL,71,Connor_Dartt,2.6,0.12,0.36,1.28,0.88,0.72,3.2,0.44,2.12,1.2,3.4,1.08,2.32,0.2
3,DominicanIL,72,Dennis_Handy,2.7,0.3,0.7,0.83,1.04,0.3,3.35,0.48,1.61,0.61,1.35,0.57,0.78,0.17
3,DominicanIL,73,Domenic_Aiello,7.4,1.64,1.92,1.8,2.44,0.88,6.36,1.28,2.04,1.52,1.4,0.12,1.28,0.04
3,DominicanIL,74,Isaac_Moore,5.68,1.21,0.47,0.74,2,0.47,5.79,0.68,2.47,0.63,3.89,0.42,3.47,0.05
3,DominicanIL,75,Jackson_Smith,5.56,0.84,0.56,0.96,2,0.72,5.32,0.32,1.32,1.28,1.56,0.72,0.84,0.12
3,DominicanIL,76,Jonny_Woolf,14.7,1.3,2.57,2.43,5.39,2.61,10.78,2.04,2.78,3.43,6.3,1.13,5.17,0.96
3,DominicanIL,77,Marin_Bandalo,2,0,0,0,1,0,1.5,0,0.5,0,0,0,0,0
3,DominicanIL,78,Nick_LaVere,4.92,0.29,0.88,0.63,1.96,0.71,4.79,0.46,1.08,1.33,1.71,0.67,1.04,0.08
3,DominicanIL,79,Rory_Cunningham,1.83,0.17,0.25,0.42,0.75,0.17,2.08,0.25,1,0.33,2.33,0.42,1.92,0.5
3,DominicanIL,80,Sean_Ek,2.41,0.47,1.35,1.12,0.76,0.41,1.94,0.35,1.06,0.47,0.88,0.18,0.71,0
3,DominicanIL,81,Tim_Robertson,14.79,0.42,1.71,1.96,5.63,3.13,13.63,0.29,1.54,4.25,4.58,0.96,3.63,0.75
1,EastWest,82,Adonis_Bell,3,0,0,1,1.5,0,4.5,0,1,0,1.5,0.5,1,0
1,EastWest,83,Ahmad_Eshftari,1.2,0,0.4,0.2,0.4,0.4,1.4,0.4,1.6,1.2,2,1,1,0
1,EastWest,84,Amare_Thurman,3.42,0.42,1.08,1.25,1.25,0.5,3.67,0.75,1.17,1,1.92,0.83,1.08,0
1,EastWest,86,Brian_Ashberry,5,0.08,0.15,1.15,1.92,1.08,4.92,0.77,1.85,2.38,3.85,1.46,2.38,0.31
1,EastWest,87,Carl_Moore,12.47,1.73,2.13,3.07,4.47,1.8,12.6,1.2,2,2.27,5.67,1.2,4.47,0.6
1,EastWest,88,Cortland_Gillespie,7.07,0.73,0.87,2.4,2.33,1.67,6.13,0.47,1.4,3,1.73,0.53,1.2,0
1,EastWest,90,Eric_Spencer,4,0.08,0.58,0.83,1.42,1.08,4.5,0.42,2,2.17,2.08,0.75,1.33,0.33
1,EastWest,91,Jeremy_Hargrove,3.46,0.62,0.85,1.62,1,0.85,3.08,0.31,1.54,1.23,1.38,0.23,1.15,0.08
1,EastWest,92,Kinsley_Shaw,6.75,0,0.25,1.25,3,0.75,6.5,0.5,1.5,0.75,2.5,1.25,1.25,0
1,EastWest,93,Manny_Coleman,1.75,0,0.5,0.5,0.5,0.75,3.5,0.5,2,1.75,2.5,0.75,1.75,0
1,EastWest,94,Markus_Johnson,9.47,0.07,0.6,1.4,3.53,2.33,7.13,0.8,3.2,4.27,6.73,3.2,3.53,0.87
1,EastWest,95,Patrick_Rucker,12.06,1.44,2.81,2.44,4,2.63,9.38,1.44,3.06,3.38,4.5,0.69,3.81,0.13
1,EastWest,96,Roland_Watkins,1.25,0,0.25,0.33,0.42,0.42,1.25,0.17,1.33,0.58,0.92,0.25,0.67,0.17
1,EastWest,97,Scherone_Clarke,0.44,0,0.11,0.33,0.22,0,0.89,0,2.22,0.22,1.11,0.33,0.78,0.22
1,EastWest,98,Sherman_Brown,2.45,0,0.36,0.73,1,0.45,2.55,0.36,2.82,0.73,1.73,0.73,1,0.18
1,EastWest,99,Sherman_Carter,15.93,1.79,2.29,3.71,5.21,3.71,15.07,1.14,3.14,5,3.07,1.29,1.79,0.14
1,EastWest,100,Stanley_Thomas,3,0,0.5,0.5,0,3,2,0.5,3,5,2.5,1,1.5,1
10,Fontbonne,101,Anthony_Loper,2.17,0,0.67,0.83,0.83,0.5,2.67,0.5,2.17,1,2.17,0.83,1.33,0
10,Fontbonne,102,Brian_Wacha,0.6,0.2,0,0.2,0.2,0,0.2,0,0.4,0,0.2,0.2,0,0
10,Fontbonne,103,Erich_Schark,7.81,0.19,2.13,1.81,3.25,1.13,5.56,0.44,2.38,1.94,4.75,1.44,3.31,0.88
10,Fontbonne,104,Garrett_Goodnight,0.14,0,0.86,0.57,0,0.14,0.86,0.86,1.29,0.29,0.57,0,0.57,0
10,Fontbonne,105,Jack_Lake,4.8,0.4,0.4,1.6,2,0.4,5.8,0,2.2,0.4,2.2,0.8,1.4,0.4
10,Fontbonne,106,Jacob_Mueller,1.5,0.5,0.25,0.75,0.5,0,0.5,0,0.5,0,0.25,0.25,0,0
10,Fontbonne,107,Jahmad_Wilburn,2.73,0.09,0.55,1,1.09,0.45,2.36,0.27,1.64,0.91,2.82,0.73,2.09,0.09
10,Fontbonne,108,James_Wiggins,6.81,0.13,2.19,2.44,2.38,1.94,5.19,0.69,3.06,2.56,3.25,1.19,2.06,0.13
10,Fontbonne,109,Jared_Woodcock,9.94,0.94,0.94,1.75,3.25,2.5,7.5,0.44,1.69,3.19,3.75,1.31,2.44,0.25
10,Fontbonne,110,Kalin_Mitchell,0.33,0,0,2.33,0,0.33,0,0,0.67,0.67,0.67,0,0.67,0
10,Fontbonne,111,Kris_Mccann,18,1.19,4.75,3.13,6.69,3.44,15,0.88,1.69,4.88,3.69,1.25,2.44,0
10,Fontbonne,112,Logan_KelleyWolff,1.25,0,0.75,0.5,0.63,0,1.63,0.25,1.25,0.13,1.38,0.38,1,0.13
10,Fontbonne,113,Luke_Darst,2,0,0,0,0,2,1,2,0,4,1,0,1,0
10,Fontbonne,114,Luke_Deline,16.33,2.58,2.33,3.5,6,1.75,12.08,1.5,1.67,2.58,6.33,0.92,5.42,0
10,Fontbonne,115,Maguire_Scheer,2.13,0.63,0.75,0.5,0.75,0,2.25,0.25,0.5,0,0.88,0.13,0.75,0
10,Fontbonne,116,Noah_Coddington,7,0.21,1.93,1.64,2.71,1.36,5.36,0.43,2.14,1.86,5.5,1.29,4.21,0.79
10,Fontbonne,117,Thomas_Ritter,7.19,1.31,1,1.25,2.56,0.75,5.25,0.31,1.38,1.06,1.94,0.44,1.5,0.06
10,Fontbonne,118,Tristan_Baker,9.19,0.94,1.38,1.25,2.88,2.5,5,0.5,1.88,3.63,3.56,1.06,2.5,0
9,Knox,119,Aaron_Crose,2.92,0.25,0.42,0.83,0.83,1,2.33,0.08,2.42,1.83,1.17,0.5,0.67,0.08
9,Knox,120,Alik_Airapetyan,1.09,0.18,0.45,0.91,0.45,0,1.36,0.09,0.55,0.09,0.91,0.09,0.82,0
9,Knox,121,Blake_Godbold,8.12,0.76,1.29,1.71,3.06,1.24,7,0.76,1.94,1.35,6.06,1.24,4.82,0.29
9,Knox,122,Bryce_Wilkinson,3.75,0.81,0.5,0.81,1.06,0.81,2.69,0.19,1.25,0.88,1.31,0.56,0.75,0
9,Knox,123,Danny_Serrano,0,0,0.25,0,0,0,0,0.25,0.13,0,0.25,0,0.25,0
9,Knox,124,Deryk_Ruple,10.06,2.12,1.82,1.65,3.76,0.41,10.71,0.88,1.24,0.94,2.88,0.35,2.53,0
9,Knox,125,Dj_Lewis,7.35,0.94,2.35,2,2.76,0.88,7,1.18,2.82,1.59,2.53,0.29,2.24,0.18
9,Knox,126,Eric_Pillath,1.9,0.3,0.3,0.4,0.7,0.2,1.7,0.2,1.2,0.2,1,0.1,0.9,0
9,Knox,127,Eric_Thompson,4.33,0,0.44,0.89,2,0.33,3.67,0.78,2,0.56,2.22,0.67,1.56,0.11
