,team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Format,Type,player_id,player_name,average_pts,average_minutes,overall_average_ppp,element_name,percentage_of_time,type_ppp,field_goal_percentage,Adjusted_Overall_Average_PPP,Adjusted_Type_PPP
24,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,7,Dylan_Bennett,2.947368421,14.84210526,0.831,Spot Up,0.39399999999999996,0.7859999999999999,0.28,0.8645570248379999,0.8177398574279998
25,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,7,Dylan_Bennett,2.947368421,14.84210526,0.831,P&R Ball Handler,0.254,0.611,0.35700000000000004,0.8645570248379999,0.635673095278
26,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,7,Dylan_Bennett,2.947368421,14.84210526,0.831,P&R Roll Man,0.027999999999999997,0.0,0.0,0.8645570248379999,0.0
27,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,7,Dylan_Bennett,2.947368421,14.84210526,0.831,Isolation,0.042,0.33299999999999996,0.0,0.8645570248379999,0.3464470388339999
28,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,6,Corey_Wheeler,13.13636364,23.63636364,0.872,Spot Up,0.44799999999999995,0.792,0.35100000000000003,0.9072126662559999,0.823982146416
29,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,6,Corey_Wheeler,13.13636364,23.63636364,0.872,P&R Roll Man,0.023,0.5,0.33299999999999996,0.9072126662559999,0.520190749
30,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,6,Corey_Wheeler,13.13636364,23.63636364,0.872,Hand Off,0.07,0.833,0.4,0.9072126662559999,0.8666377878339999
31,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,6,Corey_Wheeler,13.13636364,23.63636364,0.872,Isolation,0.09300000000000001,0.75,0.5,0.9072126662559999,0.7802861234999999
32,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,5,Caden_Ebeling,5.48,14.84,0.948,P&R Roll Man,0.113,0.636,0.3,0.9862816601039999,0.661682632728
33,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,5,Caden_Ebeling,5.48,14.84,0.948,P&R Ball Handler,0.01,0.0,,0.9862816601039999,0.0
34,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,5,Caden_Ebeling,5.48,14.84,0.948,Isolation,0.052000000000000005,0.8,0.667,0.9862816601039999,0.8323051984
35,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,4,Austin_Thompson,0.4,2.6,0.4,P&R Ball Handler,0.2,0.0,0.0,0.4161525992,0.0
36,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,4,Austin_Thompson,0.4,2.6,0.4,Spot Up,0.4,0.0,0.0,0.4161525992,0.0
37,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,3,Arshawn_Parker,4.777777778,10.66666667,1.125,Hand Off,0.083,0.0,0.0,1.17042918525,0.0
38,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,3,Arshawn_Parker,4.777777778,10.66666667,1.125,P&R Ball Handler,0.10400000000000001,0.4,0.5,1.17042918525,0.4161525992
39,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,3,Arshawn_Parker,4.777777778,10.66666667,1.125,Off Screen,0.146,0.28600000000000003,0.2,1.17042918525,0.29754910842800003
40,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,2,Aquavius_Burks,5.869565217000001,17.34782609,0.991,Off Screen,0.09699999999999999,0.909,0.4,1.0310180645179998,0.945706781682
41,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,2,Aquavius_Burks,5.869565217000001,17.34782609,0.991,Spot Up,0.575,0.9079999999999999,0.40700000000000003,1.0310180645179998,0.9446664001839998
42,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,2,Aquavius_Burks,5.869565217000001,17.34782609,0.991,Hand Off,0.027000000000000003,0.0,0.0,1.0310180645179998,0.0
43,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,1,Adam_Davis,3.0,11.61111111,0.8109999999999999,P&R Roll Man,0.18899999999999997,0.3,0.111,0.8437493948779998,0.31211444939999994
44,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Strength,1,Adam_Davis,3.0,11.61111111,0.8109999999999999,P&R Ball Handler,0.075,0.5,0.33299999999999996,0.8437493948779998,0.520190749
45,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,16,Ryan_Lowe,7.173913043,14.39130435,0.899,Hand Off,0.038,1.0,0.33299999999999996,0.935302966702,1.040381498
46,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,16,Ryan_Lowe,7.173913043,14.39130435,0.899,P&R Roll Man,0.19,1.0,0.545,0.935302966702,1.040381498
47,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,16,Ryan_Lowe,7.173913043,14.39130435,0.899,Off Screen,0.051,1.25,0.5,0.935302966702,1.3004768725
48,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,15,Robert_Ryan,3.56,18.04,0.9590000000000001,Post-Up,0.054000000000000006,1.0,0.5710000000000001,0.997725856582,1.040381498
49,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,15,Robert_Ryan,3.56,18.04,0.9590000000000001,Isolation,0.07400000000000001,1.182,0.429,0.997725856582,1.2297309306359998
50,Albion,23,90.30434783,86.52173913,1.0961407490000001,1.040381498,Defensive,Weakness,15,Robert_Ryan,3.56,18.04,0.9590000000000001,Spot Up,0.35100000000000003,1.135,0.43799999999999994,0.997725856582,1.1808330002299998
