Game_ID,Session_ID,LineUp_ID,Min,Lineup_Score,Oppo_Score,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_DefReb,Oppo_OffReb,Oppo_TtlReb,Oppo_FTA,Oppo_FTm,Oppo_FTM,Oppo_Ast,Oppo_Stl
13,1,1,4.2,5,5,6,2,4,3,1,2,3,1,2,1,1,2,0,0,0,1,1
13,1,2,0.05,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13,1,3,2.283333333,0,8,4,4,0,4,4,0,0,0,0,2,0,2,1,1,0,3,1
13,1,4,3.466666667,9,2,4,1,3,3,1,2,1,0,1,1,1,2,0,0,0,1,0
13,1,5,3.233333333,6,6,7,3,4,7,3,4,0,0,0,2,2,4,0,0,0,0,2
13,1,6,1.366666667,2,5,2,2,0,1,1,0,1,1,0,1,0,1,0,0,0,2,0
13,1,7,2.033333333,2,7,3,2,1,2,1,1,1,1,0,1,1,2,2,0,2,1,1
13,1,8,2.983333333,10,3,1,1,0,1,1,0,0,0,0,2,1,3,3,2,1,1,0
13,1,9,0.383333333,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
13,2,1,0.766666667,0,4,1,1,0,1,1,0,0,0,0,0,0,0,2,0,2,1,1
13,2,2,0.4,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0
13,2,3,5.5,15,10,3,2,1,2,1,1,1,1,0,1,0,1,7,2,5,0,2
13,2,4,3.683333333,1,4,4,1,3,3,1,2,1,0,1,1,1,2,3,1,2,0,2
13,2,5,1.8,5,0,2,0,2,2,0,2,0,0,0,1,0,1,0,0,0,0,0
13,2,6,5.833333333,19,17,10,5,5,5,4,1,5,1,4,3,3,6,7,1,6,3,0
13,2,7,0.45,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13,2,8,1.5,4,5,3,2,1,1,1,0,2,1,1,0,1,1,0,0,0,2,0
