Game_ID,Session_ID,LineUp_ID,Min,Lineup_Score,Oppo_Score,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_DefReb,Oppo_OffReb,Oppo_TtlReb,Oppo_FTA,Oppo_FTm,Oppo_FTM,Oppo_Ast,Oppo_Stl
10,1,1,5.55,11,2,9,1,8,6,1,5,3,0,3,4,0,4,0,0,0,1,0
10,1,2,2.016666667,5,5,4,2,2,1,1,0,3,1,2,0,0,0,0,0,0,2,1
10,1,3,1.9,2,5,3,2,1,2,1,1,1,1,0,2,0,2,2,2,0,1,0
10,1,4,1.266666667,2,5,2,2,0,1,1,0,1,1,0,1,0,1,0,0,0,2,0
10,1,5,0.933333333,3,2,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
10,1,6,1.6,3,0,2,0,2,1,0,1,1,0,1,1,0,1,0,0,0,0,0
10,1,7,0.85,3,2,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0
10,1,8,1.133333333,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0
10,1,9,1.7,4,1,1,0,1,1,0,1,0,0,0,0,1,1,2,1,1,0,0
10,1,10,1.383333333,5,5,1,1,0,1,1,0,0,0,0,0,0,0,3,0,3,0,0
10,1,11,1.666666667,1,0,3,0,3,2,0,2,1,0,1,3,0,3,0,0,0,0,1
10,2,1,10.51666667,22,21,19,9,10,15,8,7,4,1,3,6,2,8,2,0,2,4,0
10,2,2,3.3,4,10,5,4,1,3,2,1,2,2,0,3,0,3,0,0,0,4,0
10,2,3,1.316666667,3,4,2,1,1,2,1,1,0,0,0,1,0,1,2,0,2,1,0
10,2,4,0.266666667,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
10,2,5,0.466666667,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
10,2,6,0.65,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10,2,7,0.566666667,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
10,2,8,2.883333333,6,5,5,1,4,5,1,4,0,0,0,1,1,2,3,0,3,0,0
