Game_ID,Session_ID,LineUp_ID,Min,Lineup_Score,Oppo_Score,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_DefReb,Oppo_OffReb,Oppo_TtlReb,Oppo_FTA,Oppo_FTm,Oppo_FTM,Oppo_Ast,Oppo_Stl
5,1,1,5.816666667,8,8,11,3,8,7,1,6,4,2,2,3,2,5,0,0,0,2,0
5,1,2,5.966666667,11,8,5,4,1,5,4,1,0,0,0,2,0,2,0,0,0,1,1
5,1,3,2.466666667,7,3,3,1,2,2,1,1,1,0,1,1,0,1,2,1,1,1,0
5,1,4,0.933333333,3,4,2,2,0,2,2,0,0,0,0,0,0,0,1,1,0,2,0
5,1,5,0.9,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
5,1,6,1.25,2,6,2,2,0,0,0,0,2,2,0,1,0,1,0,0,0,1,0
5,1,7,2.1,5,6,5,3,2,3,3,0,2,0,2,1,1,2,0,0,0,2,1
5,2,1,4.55,11,12,9,6,3,6,6,0,3,0,3,0,2,2,0,0,0,3,0
5,2,2,1.733333333,0,6,4,3,1,4,3,1,0,0,0,2,1,3,0,0,0,1,0
5,2,3,7.05,6,16,11,6,5,8,3,5,3,3,0,3,4,7,2,1,1,4,4
5,2,4,0.666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
5,2,5,1.116666667,0,1,0,0,0,0,0,0,0,0,0,2,0,2,4,3,1,0,0
5,2,6,1.166666667,0,0,2,0,2,1,0,1,1,0,1,2,0,2,0,0,0,0,0
5,2,7,0.983333333,0,2,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
5,2,8,2.716666667,2,2,4,1,3,3,1,2,1,0,1,2,0,2,0,0,0,0,0
