Game_ID,Session_ID,LineUp_ID,Min,Lineup_Score,Oppo_Score,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_DefReb,Oppo_OffReb,Oppo_TtlReb,Oppo_FTA,Oppo_FTm,Oppo_FTM,Oppo_Ast,Oppo_Stl
1,1,1,6,11,1,8,0,8,6,0,6,2,0,2,1,1,2,4,3,1,0,2
1,1,2,3.433333333,7,6,7,2,5,5,1,4,2,1,1,3,2,5,2,1,1,1,0
1,1,3,1.4,3,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1
1,1,4,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,5,2.233333333,4,2,5,1,4,3,1,2,2,0,2,2,1,3,0,0,0,0,0
1,1,6,2.166666667,2,2,3,1,2,3,1,2,0,0,0,1,1,2,0,0,0,1,0
1,1,7,3.766666667,6,6,4,2,2,3,2,1,1,0,1,3,0,3,2,0,2,1,0
1,2,1,6.116666667,12,8,10,4,6,10,4,6,0,0,0,3,3,6,3,3,0,2,0
1,2,2,1.183333333,3,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1
1,2,3,1.783333333,1,2,3,0,3,1,0,1,2,0,2,2,3,5,4,2,2,0,0
1,2,4,0.7,0,2,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,0,1
1,2,5,2.083333333,4,0,3,0,3,3,0,3,0,0,0,0,1,1,0,0,0,0,1
1,2,6,0.433333333,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1,2,7,1.966666667,3,0,3,0,3,3,0,3,0,0,0,3,2,5,1,1,0,0,0
1,2,8,3.683333333,13,8,9,4,5,8,4,4,1,0,1,1,3,4,0,0,0,1,0
1,2,9,1.866666667,4,2,3,1,2,2,1,1,1,0,1,1,1,2,0,0,0,1,0
