Game_ID,Session_ID,LineUp_ID,Min,Lineup_Score,Oppo_Score,Oppo_FGA,Oppo_FGM,Oppo_FGm,Oppo_Two_FGA,Oppo_Two_FGM,Oppo_Two_FGm,Oppo_Three_FGA,Oppo_Three_FGM,Oppo_Three_FGm,Oppo_DefReb,Oppo_OffReb,Oppo_TtlReb,Oppo_FTA,Oppo_FTm,Oppo_FTM,Oppo_Ast,Oppo_Stl
11,1,1,3.85,7,7,6,3,3,4,2,2,2,1,1,3,0,3,0,0,0,2,1
11,1,2,1.166666667,3,2,3,1,2,2,1,1,1,0,1,1,1,2,0,0,0,1,0
11,1,3,4.2,5,2,5,1,4,4,1,3,1,0,1,4,2,6,0,0,0,0,1
11,1,4,0.833333333,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
11,1,5,1.45,2,2,3,1,2,2,1,1,1,0,1,3,0,3,0,0,0,1,0
11,1,6,2.05,0,3,3,1,2,2,0,2,1,1,0,2,1,3,0,0,0,1,1
11,1,7,0.683333333,0,1,1,0,1,1,0,1,0,0,0,1,0,1,2,1,1,0,0
11,1,8,0.366666667,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
11,1,9,0.6,5,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
11,1,10,1.816666667,2,2,3,1,2,3,1,2,0,0,0,0,1,1,1,1,0,1,0
11,1,11,0.85,0,7,4,3,1,3,2,1,1,1,0,1,1,2,0,0,0,1,1
11,1,12,2.016666667,7,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0
11,2,1,1.65,6,2,3,1,2,2,1,1,1,0,1,0,1,1,0,0,0,0,0
11,2,2,8.616666667,12,15,9,4,5,5,2,3,4,2,2,8,1,9,11,6,5,3,0
11,2,3,2.083333333,3,3,3,1,2,2,0,2,1,1,0,2,1,3,0,0,0,1,0
11,2,4,3.9,7,8,6,3,3,5,3,2,1,0,1,2,1,3,2,0,2,2,1
11,2,5,0.333333333,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,2,6,1.916666667,2,5,2,1,1,0,0,0,2,1,1,1,1,2,2,0,2,1,0
11,2,7,1.25,0,4,2,1,1,1,1,0,1,0,1,1,1,2,2,0,2,1,0
11,2,8,0.233333333,0,2,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0
