Game_ID,Session_ID,LineUp_ID,Player_Name,Pts,OffReb,DefReb,TtlReb,FGA,FGM,FGm,Two_FGA,Two_FGM,Two_FGm,Three_FGA,Three_FGM,Three_FGm,Ast,Stl,FTA,FTM,FTm
14,2,4,Capriest Gardner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,4,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,2,4,Quentin Forberg,2,0,1,1,2,1,1,1,1,0,1,0,1,0,0,0,0,0
14,2,4,Malik Howze,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
14,2,5,Jake Digiorgio,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
14,2,5,Max Hisatake,0,1,1,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0
14,2,5,Capriest Gardner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,5,Quentin Forberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,5,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,6,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,6,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,6,Capriest Gardner,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,6,Quentin Forberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,6,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,7,Calvin Schmitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,7,Kohl Linder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,7,Jake Digiorgio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,7,Capriest Gardner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,7,Malik Howze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,8,Jake Bruns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,8,Calvin Schmitz,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
14,2,8,Kohl Linder,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
14,2,8,Jake Digiorgio,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1
14,2,8,Malik Howze,0,0,0,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0
14,2,9,Brett Ott,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0
14,2,9,Quentin Forberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,2,9,Calvin Schmitz,0,0,1,1,2,0,2,1,0,1,1,0,1,0,0,1,0,1
14,2,9,Kohl Linder,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2,9,Jake Digiorgio,3,3,0,3,4,1,3,4,1,3,0,0,0,0,0,2,1,1
14,2,10,Brinden Carlson,0,0,0,0,2,0,2,1,0,1,1,0,1,0,0,0,0,0
14,2,10,Brett Ott,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
14,2,10,Quentin Forberg,4,1,1,2,1,1,0,1,1,0,0,0,0,0,0,2,2,0
14,2,10,Calvin Schmitz,2,0,1,1,2,0,2,1,0,1,1,0,1,0,0,2,2,0
14,2,10,Kohl Linder,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
