player_id,team_cumulative_id,team_id,min,sst,sstexpts,pts,ast,turnover,ast_to_ratio,stl,stlpos,blk,ttlreb,offreb,defreb,field_goals_attempt,field_goals_made,field_goals_missed,field_goal_percentage,adjusted_field_goal_percentage,two_field_goals_attempt,two_field_goals_made,two_field_goals_missed,two_field_goal_percentage,three_field_goals_attempt,three_field_goals_made,three_field_goals_missed,three_field_goal_percentage,free_throw_attempts,free_throw_made,free_throw_missed,free_throw_percentage,and_one,personal_fouls_taken,total_personal_fouls_commited,gp
464,538,29,655,1.5,0.5,336,41,71,0.58,16,26,31,230,63,167,236,123,113,0.521,0.521,235,123,112,0.523,1,0,1,0,140,90,50,0.643,9,110,53,23
465,534,29,16,0.93,0.31,8,0,2,0,1,2,0,6,1,5,6,3,3,0.5,0.667,2,1,1,0.5,4,2,2,0.5,0,0,0,,0,0,2,11
466,539,29,67,0.14,0.1,4,2,3,0.67,1,1,0,6,1,5,6,2,4,0.333,0.333,6,2,4,0.333,0,0,0,,0,0,0,,0,1,10,14
467,547,29,19,0.52,0.37,1,3,3,1,0,2,1,4,1,3,1,0,1,0,0,1,0,1,0,0,0,0,,2,1,1,0.5,0,1,0,7
468,548,29,377,1.03,0.27,162,38,30,1.27,17,11,0,43,8,35,138,58,80,0.42,0.446,115,51,64,0.444,23,7,16,0.304,56,39,17,0.696,3,40,41,18
469,529,29,16,0.31,0.13,3,1,2,0.5,1,1,0,2,0,2,3,1,2,0.333,0.5,1,0,1,0,2,1,1,0.5,0,0,0,,0,0,2,7
470,537,29,101,0.42,0.2,28,3,6,0.5,4,2,2,9,5,4,36,12,24,0.333,0.375,22,9,13,0.409,14,3,11,0.214,5,1,4,0.2,1,6,17,7
471,543,29,439,0.94,0.37,165,33,26,1.27,38,16,3,54,11,43,164,61,103,0.372,0.415,112,47,65,0.42,52,14,38,0.269,36,29,7,0.806,4,35,55,21
472,544,29,207,1.07,0.19,98,11,23,0.48,5,8,2,35,14,21,70,32,38,0.457,0.529,48,22,26,0.458,22,10,12,0.454,37,24,13,0.649,2,23,27,15
473,541,29,72,0.49,0.15,17,2,5,0.4,1,2,2,10,1,9,11,6,5,0.546,0.727,3,2,1,0.667,8,4,4,0.5,2,1,1,0.5,0,1,8,14
474,540,29,61,0.51,0.25,14,7,4,1.75,1,4,1,5,0,5,15,5,10,0.333,0.433,2,2,0,1,13,3,10,0.231,2,1,1,0.5,0,1,6,14
475,549,29,17,0.83,0,10,0,1,0,0,0,0,1,1,0,9,4,5,0.444,0.5,8,3,5,0.375,1,1,0,1,1,1,0,1,1,1,4,6
476,536,29,54,0.36,-0.02,14,1,3,0.33,0,1,0,3,0,3,12,4,8,0.333,0.5,1,0,1,0,11,4,7,0.364,3,2,1,0.667,0,2,2,13
477,542,29,290,0.64,0.31,68,18,15,1.2,11,9,0,40,23,17,80,24,56,0.3,0.338,52,18,34,0.346,28,6,22,0.214,21,14,7,0.667,0,19,43,15
478,533,29,357,0.79,0.24,132,35,32,1.09,17,19,4,34,5,29,114,51,63,0.447,0.496,85,40,45,0.471,29,11,18,0.379,34,19,15,0.559,5,23,36,24
479,531,29,311,0.57,0.21,72,20,16,1.25,9,7,2,30,4,26,76,23,53,0.303,0.368,32,13,19,0.406,44,10,34,0.227,20,16,4,0.8,3,15,24,23
480,546,29,319,0.62,0.17,73,8,12,0.67,6,4,2,39,7,32,73,18,55,0.247,0.322,31,7,24,0.226,42,11,31,0.262,30,26,4,0.867,1,17,25,22
481,545,29,368,1.05,0.41,154,10,12,0.83,7,6,18,81,24,57,132,62,70,0.47,0.504,99,53,46,0.535,33,9,24,0.273,30,21,9,0.7,6,27,37,23
482,530,29,684,0.95,0.45,223,65,31,2.1,60,18,1,89,28,61,201,85,116,0.423,0.468,146,67,79,0.459,55,18,37,0.327,50,35,15,0.7,3,34,45,25
483,532,29,343,0.74,0.31,132,14,12,1.17,14,7,6,49,15,34,122,47,75,0.385,0.537,18,10,8,0.556,104,37,67,0.356,3,1,2,0.333,1,6,37,24
484,528,29,326,0.63,0.3,83,15,21,0.71,3,8,9,67,18,49,79,38,41,0.481,0.481,79,38,41,0.481,0,0,0,,12,7,5,0.583,2,14,36,24
