Type,Format,team_name,element_name,percentage_of_time,ppp,overall_average_ppp,field_goal_percentage
Strength,Offensive,EastWest,Cut,0.071,0.955,0.735,0.511
Strength,Offensive,EastWest,Offensive Rebounds (put backs),0.082,0.769,0.735,0.406
Strength,Offensive,EastWest,Transition,0.206,0.911,0.735,0.443
Strength,Offensive,EastWest,Spot Up,0.214,0.78,0.735,0.316
Strength,Offensive,DominicanIL,Cut,0.059,0.89,0.816,0.448
Strength,Offensive,DominicanIL,P&R Ball Handler,0.126,0.886,0.816,0.466
Strength,Offensive,DominicanIL,Transition,0.194,0.87,0.816,0.446
Strength,Offensive,DominicanIL,Spot Up,0.245,0.859,0.816,0.354
Strength,Offensive,DominicanIL,Hand Off,0.031,1,0.816,0.447
Strength,Offensive,DominicanIL,Offensive Rebounds (put backs),0.04,1.025,0.816,0.523
Strength,Offensive,CornellCollege,Cut,0.073,1.241,0.819,0.677
Strength,Offensive,CornellCollege,Post-Up,0.105,0.941,0.819,0.506
Strength,Offensive,CornellCollege,Transition,0.176,0.839,0.819,0.469
Strength,Offensive,CornellCollege,Spot Up,0.237,0.825,0.819,0.323
Strength,Offensive,CornellCollege,Offensive Rebounds (put backs),0.064,1.153,0.819,0.586
Strength,Offensive,CornellCollege,Hand Off,0.018,0.85,0.819,0.294
Strength,Offensive,Chicago,Off Screen,0.137,1.025,0.892,0.398
Strength,Offensive,Chicago,Spot Up,0.217,0.913,0.892,0.346
Strength,Offensive,Chicago,Offensive Rebounds (put backs),0.071,1.041,0.892,0.55
Strength,Offensive,Chicago,P&R Roll Man,0.029,1.017,0.892,0.522
Strength,Offensive,Chicago,Cut,0.085,1.091,0.892,0.546
Strength,Offensive,Chicago,Transition,0.124,0.926,0.892,0.462
Strength,Offensive,Carthage,Cut,0.069,1.072,0.926,0.58
Strength,Offensive,Carthage,Transition,0.103,1.168,0.926,0.539
Strength,Offensive,Carthage,Post-Up,0.133,0.948,0.926,0.522
Strength,Offensive,Carthage,Spot Up,0.245,0.988,0.926,0.374
Strength,Offensive,Carthage,Offensive Rebounds (put backs),0.062,1.136,0.926,0.578
Strength,Offensive,Carthage,P&R Ball Handler,0.094,0.942,0.926,0.489
Strength,Offensive,Albion,Offensive Rebounds (put backs),0.075,1.213,0.87,0.628
Strength,Offensive,Albion,Cut,0.066,1.087,0.87,0.566
Strength,Offensive,Albion,Spot Up,0.315,0.914,0.87,0.36
Strength,Offensive,Albion,Transition,0.136,1.028,0.87,0.456
Weakness,Offensive,WheatonIL,P&R Roll Man,0.01,0.727,0.989,0.35
Weakness,Offensive,WheatonIL,Miscellaneous,0.099,0.651,0.989,0.458
Weakness,Offensive,WheatonIL,P&R Ball Handler,0.042,0.674,0.989,0.273
Weakness,Offensive,WheatonIL,Post-Up,0.043,0.889,0.989,0.507
Weakness,Offensive,WheatonIL,Isolation,0.087,0.875,0.989,0.418
Weakness,Offensive,WheatonIL,Spot Up,0.231,0.918,0.989,0.385
Weakness,Offensive,Wabash,Off Screen,0.048,0.87,0.885,0.33
Weakness,Offensive,Wabash,Miscellaneous,0.075,0.58,0.885,0.308
Weakness,Offensive,Wabash,P&R Ball Handler,0.184,0.76,0.885,0.304
Weakness,Offensive,Wabash,Isolation,0.052,0.759,0.885,0.333
Weakness,Offensive,UWPlatteville,Isolation,0.075,0.88,1,0.403
Weakness,Offensive,UWPlatteville,Post-Up,0.1,0.86,1,0.486
Weakness,Offensive,UWPlatteville,P&R Ball Handler,0.091,0.905,1,0.507
Weakness,Offensive,UWPlatteville,Miscellaneous,0.098,0.571,1,0.5
Weakness,Offensive,UWPlatteville,P&R Roll Man,0.017,0.737,1,0.382
Weakness,Offensive,UWPlatteville,Off Screen,0.058,0.844,1,0.38
Weakness,Offensive,Rose-Hulman,P&R Ball Handler,0.14,0.917,0.964,0.489
Weakness,Offensive,Rose-Hulman,Post-Up,0.114,0.861,0.964,0.465
Weakness,Offensive,Rose-Hulman,Isolation,0.044,0.923,0.964,0.478
Weakness,Offensive,Rose-Hulman,Hand Off,0.012,0.76,0.964,0.389
Weakness,Offensive,Rose-Hulman,Miscellaneous,0.104,0.486,0.964,0.4
Weakness,Offensive,Roosevelt,Isolation,0.053,0.742,0.945,0.364
Weakness,Offensive,Roosevelt,Miscellaneous,0.104,0.585,0.945,0.222
Weakness,Offensive,Roosevelt,P&R Ball Handler,0.097,0.763,0.945,0.365
