,team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Unnamed: 6,Unnamed: 7,Type,Format,element_name,percentage_of_time,ppp,overall_average_ppp,field_goal_percentage
36,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Strength,Offensive,Spot Up,0.237,0.825,0.8190000000000001,0.32299999999999995
37,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Strength,Offensive,Offensive Rebounds (put backs),0.064,1.153,0.8190000000000001,0.586
38,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Strength,Offensive,Hand Off,0.018000000000000002,0.85,0.8190000000000001,0.294
39,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Weakness,Offensive,Miscellaneous,0.096,0.42200000000000004,0.8190000000000001,0.375
40,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Weakness,Offensive,P&R Ball Handler,0.127,0.618,0.8190000000000001,0.35
41,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Weakness,Offensive,P&R Roll Man,0.044000000000000004,0.76,0.8190000000000001,0.371
42,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Weakness,Offensive,Isolation,0.03,0.765,0.8190000000000001,0.318
43,CornellCollege,14.0,80.71428571,81.42857143,0.979733753,0.979138653,,,Weakness,Offensive,Off Screen,0.027999999999999997,0.75,0.8190000000000001,0.37
44,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Strength,Offensive,Cut,0.059000000000000004,0.89,0.816,0.44799999999999995
45,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Strength,Offensive,P&R Ball Handler,0.126,0.8859999999999999,0.816,0.466
46,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Strength,Offensive,Transition,0.19399999999999998,0.87,0.816,0.446
47,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Strength,Offensive,Spot Up,0.245,0.8590000000000001,0.816,0.354
48,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Strength,Offensive,Hand Off,0.031,1.0,0.816,0.447
49,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Strength,Offensive,Offensive Rebounds (put backs),0.04,1.025,0.816,0.523
50,DominicanIL,25.0,80.68,83.04,0.9793175829999999,0.998515292,,,Weakness,Offensive,Miscellaneous,0.066,0.34600000000000003,0.816,0.467
