team_name,number_of_games,team_poss,opp_poss,off_adjustment_factor,def_adjustment_factor,Type,Format,element_name,percentage_of_time,type_ppp,overall_average_ppp,field_goal_percentage
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Strength,Offensive,Spot Up,0.237,0.825,0.819,0.323
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Strength,Offensive,Offensive Rebounds (put backs),0.064,1.153,0.819,0.586
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Strength,Offensive,Hand Off,0.018,0.85,0.819,0.294
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Weakness,Offensive,Miscellaneous,0.096,0.422,0.819,0.375
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Weakness,Offensive,P&R Ball Handler,0.127,0.618,0.819,0.35
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Weakness,Offensive,P&R Roll Man,0.044,0.76,0.819,0.371
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Weakness,Offensive,Isolation,0.03,0.765,0.819,0.318
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Weakness,Offensive,Off Screen,0.028,0.75,0.819,0.37
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Strength,Defensive,Isolation,0.038,0.767,0.89,0.289
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Strength,Defensive,Miscellaneous,0.046,0.596,0.89,0.556
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Strength,Defensive,Transition,0.194,0.842,0.89,0.473
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Strength,Defensive,P&R Ball Handler,0.146,0.778,0.89,0.39
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Strength,Defensive,Off Screen,0.055,0.873,0.89,0.345
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Strength,Defensive,P&R Roll Man,0.047,0.704,0.89,0.357
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Weakness,Defensive,Spot Up,0.223,0.925,0.89,0.367
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Weakness,Defensive,Hand Off,0.039,0.978,0.89,0.421
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Weakness,Defensive,Offensive Rebounds (put backs),0.047,1.278,0.89,0.659
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Weakness,Defensive,Cut,0.065,1.189,0.89,0.603
CornellCollege,14,80.71428571,81.42857143,0.979733753,0.979138653,Weakness,Defensive,Post-Up,0.099,0.938,0.89,0.524
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Strength,Offensive,Cut,0.059,0.89,0.816,0.448
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Strength,Offensive,P&R Ball Handler,0.126,0.886,0.816,0.466
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Strength,Offensive,Transition,0.194,0.87,0.816,0.446
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Strength,Offensive,Spot Up,0.245,0.859,0.816,0.354
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Strength,Offensive,Hand Off,0.031,1,0.816,0.447
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Strength,Offensive,Offensive Rebounds (put backs),0.04,1.025,0.816,0.523
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Weakness,Offensive,Miscellaneous,0.066,0.346,0.816,0.467
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Weakness,Offensive,Post-Up,0.091,0.781,0.816,0.387
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Weakness,Offensive,Isolation,0.055,0.764,0.816,0.376
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Weakness,Offensive,Off Screen,0.052,0.673,0.816,0.281
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Weakness,Offensive,P&R Roll Man,0.042,0.714,0.816,0.314
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Strength,Defensive,Miscellaneous,0.075,0.487,0.906,0.542
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Strength,Defensive,Isolation,0.044,0.826,0.906,0.448
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Strength,Defensive,Hand Off,0.032,0.788,0.906,0.373
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Strength,Defensive,Spot Up,0.203,0.882,0.906,0.368
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Strength,Defensive,P&R Ball Handler,0.112,0.797,0.906,0.425
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Strength,Defensive,Post-Up,0.099,0.732,0.906,0.421
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Weakness,Defensive,Offensive Rebounds (put backs),0.065,1.187,0.906,0.62
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Weakness,Defensive,Cut,0.111,1.229,0.906,0.656
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Weakness,Defensive,Transition,0.175,0.956,0.906,0.496
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Weakness,Defensive,P&R Roll Man,0.029,1.082,0.906,0.468
DominicanIL,25,80.68,83.04,0.979317583,0.998515292,Weakness,Defensive,Off Screen,0.055,1,0.906,0.451
EastWest,17,92.70588235,93.52941176,1.125291282,1.124645326,Strength,Offensive,Hand Off,0.01,0.867,0.735,0.364
EastWest,17,92.70588235,93.52941176,1.125291282,1.124645326,Strength,Offensive,P&R Roll Man,0.018,0.759,0.735,0.3
EastWest,17,92.70588235,93.52941176,1.125291282,1.124645326,Strength,Offensive,Off Screen,0.027,0.907,0.735,0.441
EastWest,17,92.70588235,93.52941176,1.125291282,1.124645326,Strength,Offensive,Cut,0.071,0.955,0.735,0.511
EastWest,17,92.70588235,93.52941176,1.125291282,1.124645326,Strength,Offensive,Offensive Rebounds (put backs),0.082,0.769,0.735,0.406
EastWest,17,92.70588235,93.52941176,1.125291282,1.124645326,Strength,Offensive,Transition,0.206,0.911,0.735,0.443
EastWest,17,92.70588235,93.52941176,1.125291282,1.124645326,Strength,Offensive,Spot Up,0.214,0.78,0.735,0.316
EastWest,17,92.70588235,93.52941176,1.125291282,1.124645326,Weakness,Offensive,Miscellaneous,0.101,0.377,0.735,0.273
EastWest,17,92.70588235,93.52941176,1.125291282,1.124645326,Weakness,Offensive,P&R Ball Handler,0.072,0.482,0.735,0.264
